# Fibre   RA                   DEC                  l                    b                    Mag    MJD     u                  g                  r                  i                  u_{0}              g_{0}              r_{0}              i_{0}              (g-i)_{0}            (u-g)_{0}              U_(Jester_2005)      B_(Jester_2005)      V_(Jester_2005)      R_(Jester_2005)      I_(Jester_2005)      V-V_{HB}              S/N_{red}            S/N_{blue}           V_{hc}-V_{obs}   V_{hc,err}   V_{gsr}-V_{obs}       V_{rad}_(rvreid,_CaT1of3) V_{gsr}_(rvreid,_CaT1of3) V_{err}_(rvreid,_CaT1of3) V_{rad}_(rvreid,_CaT2of3) V_{gsr}_(rvreid,_CaT2of3) V_{err}_(rvreid,_CaT2of3) V_{rad}_(rvreid,_CaT3of3) V_{gsr}_(rvreid,_CaT3of3) V_{err}_(rvreid,_CaT3of3) User_shift_(rvreid,_CaT1of3) User_shift_(rvreid,_CaT2of3) User_shift_(rvreid,_CaT3of3) Fit_pixel_shift_(rvreid,_CaT1of3) Fit_pixel_shift_(rvreid,_CaT2of3) Fit_pixel_shift_(rvreid,_CaT3of3) V_{obs}_(fxcor,_CaT1of3) V_{gsr}_(fxcor,_CaT1of3) V_{rel}_(fxcor,_CaT1of3) V_{helio}_(fxcor,_CaT1of3) V_{err}_(fxcor,_CaT1of3) V_{obs}_(fxcor,_CaT2of3) V_{gsr}_(fxcor,_CaT2of3) V_{rel}_(fxcor,_CaT2of3) V_{helio}_(fxcor,_CaT2of3) V_{err}_(fxcor,_CaT2of3) V_{obs}_(fxcor,_CaT3of3) V_{gsr}_(fxcor,_CaT3of3) V_{rel}_(fxcor,_CaT3of3) Vhc                   V_{helio}_(fxcor,_CaT3of3) V_{err}_(fxcor,_CaT3of3) TDR_(fxcor,_CaT1of3)   TDR_(fxcor,_CaT2of3)   TDR_(fxcor,_CaT3of3)   HGHT_(fxcor,_CaT1of3)   HGHT_(fxcor,_CaT2of3)   HGHT_(fxcor,_CaT3of3)   FWHM_(fxcor,_CaT1of3)   FWHM_(fxcor,_CaT2of3)   FWHM_(fxcor,_CaT3of3)   Pixel_shift_(fxcor,_CaT1of3) Pixel_shift_(fxcor,_CaT2of3) Pixel_shift_(fxcor,_CaT3of3) Interpolated_(CaT1rv) Interpolated_(CaT2rv) Interpolated_(CaT3rv) Doppler_shift           Doppler_centroid_(CaT1) Doppler_centroid_(CaT2) Doppler_centroid_(CaT3) EW_{CaT1}   EW_Flux_(CaT1)   EW_Centroid_(CaT1)   EW_Continuum_(CaT1)   EW_FWHM_(CaT1)   Interpolated_(CaT1ew) EW_{CaT2}   EW_Flux_(CaT2)   EW_Centroid_(CaT2)   EW_Continuum_(CaT2)   EW_FWHM_(CaT2)   Interpolated_(CaT2ew) EW_{CaT3}   EW_{CaT2+3}            EW_Flux_(CaT3)   EW_Centroid_(CaT3)   EW_Continuum_(CaT3)   EW_FWHM_(CaT3)   Interpolated_(CaT3ew) EW_{MgH}               EW_Lines_(MgH)   EW_Flux_(MgH)   EW_Centroid_(MgH)   EW_Continuum_(MgH)   EW_FWHM_(MgH)        Interpolated_(MgHew)   All_interpolated_ranges                                                                                                                                        [Ca/H]_(V-V_{HB},_Starkenburg) [Fe/H]_(V-V_{HB},_Starkenburg) [Fe/H]_(M_{I},_Starkennburg) [Fe/H]_(M_{V},_Starkenburg) [Fe/H]_(Battaglia)    [Fe/H]_{err}_(Battaglia) Vhc                   RAx                  DECx                  NGC5024_dist           NGC5053_dist           NGC5024   NGC5053   NGC5024   NGC5053  
  1       199.16699992439555   17.778282787929125   5.866716015673016    1.3785848842144117   17.6   54937   19.5074272155762   18.3814582824707   17.9107799530029   17.6948871612549   19.4146938323975   18.3132247924805   17.861291885376    17.6573619842529   0.6558628082275995   1.1014690399169993     18.723778209686305   18.098464851379376   18.73678213119507    17.681207771301295   17.250997123718335   2.086782131195072     21.90662000400792    0.0                  -7.07            0            -16.555134652064158   54.2                    37.64486534793585       0.0                     74.8                    58.24486534793584       20.6                    74.8                    58.24486534793584       20.6                    1.51                    1.32                    1.32                    -4925.0                 -4944.0                 -4944.0                 999.0                   -481.3179346520642      -464.7628               999.0                   913.054                 999.0                   -1251.1371346520643     -1234.582               999.0                   405.683                 999.0                   50.590365347935844      67.1455                 60.0755               999.0                   76.838                  0.1                    1.25                   0.64                   0.01                    0.15                    0.08                    1274.73                 1160.42                 160.87                  -13.172                 -35.034                 1.901                   0                    0                    0                    5.549795627604908       8515.45945680144        8544.73972570898        8649.741576433205       1.342       -644.307         8505.994             480.1177              1.078            0                    1.422       -654.882         8543.575             460.5672              4.254            0                    27.71       29.132                 -60396.9         8645.096             2179.626              33.31            0                    999.0                  0                999.0           999.0               999.0                1998.0               0.0                    "3634.32949623 5698.9625434, 8400.54421769 8401.63265306, 8429.93197278 8432.65306121, 8464.76190474 8468.02721086, 8626.39455776 8628.5714285, 8629.6598638..." 11.982037003564775      11.815850127826362      9.793797263615584       10.917618805387596      0.0                   3.0                     60.0755               3.4761198328426786   0.310289579996504     0.9728540239343846     0.09585571090191039    false     false     false     false    
  3       199.23674951454362   17.778468999212542   5.871922576228907    1.3779919658051047   17.2   54937   19.1072292327881   17.9391040802002   17.4481449127197   17.2235240936279   19.0102214813232   17.8677272796631   17.3963756561279   17.184268951416    0.6834583282470987   1.1424942016600994     18.371715774536156   18.21876998901369    18.340578155517594   17.753933296203627   17.319312477111826   1.6905781555175956    29.353023694331732   1.8154889148656348   -7.04            0            -16.360235170823376   43.6                    27.239764829176625      0.0                     65.4                    49.03976482917663       21.8                    65.4                    49.03976482917663       21.8                    1.21                    1.05                    1.05                    -4926.0                 -4944.0                 -4944.0                 999.0                   -1006.8936351708234     -990.5334               999.0                   5439.09                 999.0                   3660.611664829177       3676.9719               999.0                   31.654                  999.0                   3673.825564829177       3690.1858               3683.1458000000002    999.0                   18.626                  0.09                   2.27                   4.15                   0.01                    0.13                    0.13                    7564.03                 131.6                   122.15                  -28.097                 103.493                 103.863                 0                    0                    0                    5.549795627604908       8515.45945680144        8544.73972570898        8651.933357238795       999.0       6.1112772E7      8505.475             -109029.8             522.5            0                    1.375       -1126.72         8543.193             819.6717              3.429            0                    3.993       5.368                  -4271.34         8647.343             1069.692              5.0              0                    -3.42999999999995      3                1510.88         5158.353            27.45425             1019.1               0.0                    "3634.32949623 3638.47951241, 3642.62952858 3646.77954476, 3656.11708115 3666.49212159, 3698.65474695 3702.80476312, 3764.01750171 3776.46755023, 3782.69257..." 0.22232664944386263     -0.014539852689200605   -0.33009627188345136    -0.12000646119702241    0.0                   3.0                     3683.1458000000002    3.477337192846935    0.31029282986792545   1.0338813247627516     0.143315423253676      false     false     false     false    
  4       199.2028745308221    17.791949550216376   5.870034649000547    1.3784836601966766   18.3   54937   20.0645370483398   19.0166358947754   18.5662231445313   18.3687400817871   19.9691066741943   18.946418762207    18.5152969360352   18.3301239013672   0.6162948608397976   1.0226879119873011     19.292155990600545   18.74539649963382    19.365272102355956   18.345812759399386   17.934380035400302   2.715272102355957     18.193405398660254   0.0                  -7.06            0            -16.416801525755442   -75.0                   -91.41680152575545      0.0                     -2.5                    -18.916801525755442     72.5                    -2.5                    -18.916801525755442     72.5                    -2.17                   -0.882                  -0.882                  -4932.0                 -4948.0                 -4948.0                 999.0                   982.5831984742446       999.0                   999.0                   999.0                   999.0                   -47.48040152575544      -31.0636                999.0                   63.377                  999.0                   -38.97590152575545      -22.5591                -29.6191              999.0                   61.288                  999.0                  0.4                    0.55                   999.0                   0.05                    0.07                    999.0                   112.8                   120.79                  999.0                   -0.88                   -0.639                  0                    0                    0                    -10.136986374845037     8509.21732521059        8521.72602725031        8633.506849229354       999.0       1.5917E10        8393.62              -895821.4             16670.0          0                    1.689       -488.535         8540.116             289.303               1.556            0                    180016.0    180017.689             -1.446E11        8643.644             803478.8              169234.0         0                    999.0                  0                999.0           999.0               999.0                1998.0               0.0                    "3634.32949623 5698.9625434, 8400.54421769 8402.17687075, 8414.69387755 8417.95918367, 8429.38775509 8433.1972789, 8451.70068026 8454.96598638, 8464.7619047..." 89402.42968058352       90022.11467756853       76534.30890979539       83844.73500205611       0.0                   3.0                     -29.6191              3.4767459628724655   0.3105281099303733    0.9989222659690336     0.12765615404478683    false     false     false     false    
  6       199.1615831814004    17.766077640977247   5.865741059727988    1.3784478781350207   18.2   54937   19.9294815063477   18.8717594146729   18.4152030944824   18.2311210632324   19.837963104248    18.8044204711914   18.3663635253906   18.1940879821777   0.6103324890137003   1.0335426330566015     19.15686901092536    18.59695674896241    19.222423000335766   18.21023799896241    17.812474327087408   2.5724230003357675    18.212632978237934   19.884667460131183   -7.07            0            -16.60704662787376    50.9                    34.292953372126235      0.0                     79.4                    62.79295337212625       28.4                    53.0                    36.39295337212624       44.0                    1.42                    1.45                    0.965                   -4925.0                 -4944.0                 -4905.0                 999.0                   663.1460533721263       679.7531                999.0                   0.0010                  999.0                   2978.3975533721264      2995.0046               999.0                   132.441                 999.0                   2869.522853372126       2886.1299               2879.0598999999997    999.0                   46.446                  98840.7                1.47                   1.94                   7334.8                  0.11                    0.15                    121.88                  416.05                  173.85                  19.228                  84.394                  81.34                   0                    0                    0                    -1.4899978850735351E-7  8504.9374291897         8541.999999702          8660.63013669851        -24.85      3998.76          8492.578             160.9475              43.36            0                    1.719       -411.591         8544.306             239.4461              5.973            0                    999.0       1000.719               4169146.0        8640.751             -14089.6              265.4            0                    0.3687999999999998     3                397.043         5183.121            626.2401             14.92                0.0                    "3634.32949623 3654.04207306, 3659.22959328 3681.0171782, 3683.09218629 3698.65474695, 3704.87977121 3721.47983591, 3731.85487635 3740.1549087, 3743.2674208..." 492.79455636062994      495.8621205179122       422.8160332036202       461.89331957929346      0.0                   3.0                     2879.0598999999997    3.4760252928175666   0.3100765600064886    0.973157644122986      0.08283587199999591    false     false     false     false    
  7       199.06941661751787   17.719547165476875   5.856677480162975    1.37852552648883     16.4   54937   18.5273475646973   17.2379665374756   16.7018642425537   16.459810256958    18.4417381286621   17.174976348877    16.656177520752    16.4251670837402   0.7498092651368005   1.2667617797850994     17.78276363372807    17.54426689147952    17.657046432495143   17.060428047180206   16.608374061584506   1.0070464324951445    35.66510900025401    0.0                  -7.11            0            -17.01334852020616    45.5                    28.48665147979384       0.0                     73.8                    56.78665147979383       28.2                    77.3                    60.28665147979383       23.6                    1.27                    1.29                    1.67                    -4926.0                 -4944.0                 -4904.0                 999.0                   981.9866514797939       999.0                   999.0                   999.0                   999.0                   7.264851479793837       24.2782                 999.0                   18.153                  999.0                   16.35615147979384       33.3695                 26.259500000000003    999.0                   15.196                  999.0                  7.65                   9.2                    999.0                   0.34                    0.41                    999.0                   200.03                  197.34                  999.0                   0.687                   0.945                   0                    0                    0                    -1.0958905517954918     8507.09959125521        8539.808218896409       8657.342465490125       999.0       2166670.0        8466.735             -1797.724             654.1            0                    1.154       -1557.57         8543.418             1349.91               2.779            0                    1.522       2.676                  -2198.17         8658.731             1444.38               1.229            0                    999.0                  0                999.0           999.0               999.0                1998.0               0.0                    "3634.32949623 5698.9625434, 8400.54421769 8401.63265306, 8429.93197278 8432.65306121, 8464.76190474 8467.48299318, 8661.7687074 8664.48979584, 8757.5510203..." -1.3687719362426825     -1.614812762155841      -1.735724525435739      -1.619888698877951      -1.3489757246093674   0.1608056371459961      26.259500000000003    3.474416682717829    0.30926445017636683   0.9161091914020846     0.04640090689307696    false     true      false     true     
  8       199.03337470741516   17.726488549164888   5.85428343650105     1.3789315635055728   18.3   54937   19.9538841247559   18.9950981140137   18.542932510376    18.3631076812744   19.8717002868652   18.934627532959    18.4990749359131   18.3298511505127   0.6047763824462997   0.9370727539062003     19.202577991485633   18.722842063903833   19.34431276321414    18.340210227966296   17.946788902282663   2.6943127632141426    17.4928556845359     3.090631003533097    -7.13            0            -17.095894286492868   64.2                    47.10410571350714       0.0                     86.0                    68.90410571350714       21.8                    60.7                    43.60410571350714       39.9                    1.8                     1.64                    1.19                    -4925.0                 -4943.0                 -4905.0                 999.0                   1020.6133057135071      1037.7092               999.0                   0.0010                  999.0                   -2974.8068942864925     -2957.711               999.0                   591.167                 999.0                   1068.876905713507       1085.9728               1078.8428             999.0                   261.507                 170056.8               0.29                   0.29                   14000.0                 0.04                    0.04                    118.48                  972.03                  429.09                  29.336                  -84.174                 30.698                  0                    0                    0                    12.67678558827447       8514.37837576868        8560.0821913481         8690.841168880484       2.681       -553.365         8501.298             206.4296              14.83            0                    1.056       -213.881         8543.831             202.4569              2.645            0                    1.031       2.0869999999999997     -319.576         8678.215             309.9358              1.912            0                    -2.82000000000005      3                1411.72         5161.856            37.03712             928.3                0.0                    "3659.22959328 3665.45461755, 3685.16719438 3689.31721055, 3705.91727525 3710.06729143, 3918.60560423 3938.31818107, 3953.88074172 3967.36829429, 3970.48080..." -1.3599171509293637     -1.6044278119694881     -1.8078556010269233     -1.6095499655337717     -1.1330015258788977   0.16215545021057132     1078.8428             3.4737876327298767   0.309385600242791     0.8828805759309456     0.08059319359065137    false     false     false     false    
  9       199.05329129333168   17.737566115175945   5.85629409459879     1.3789322351510243   18.0   54937   19.7789707183838   18.6603736877441   18.2093544006348   18.0176086425781   19.6949348449707   18.5985412597656   18.1645069122314   17.9836025238037   0.6149387359618999   1.0963935852050994     18.99052976608274    18.388782501220707   19.00921005249017    17.994706573486273   17.58912590026844    2.359210052490173     15.614096195425466   33.06055050963308    -7.12            0            -17.003471824822256   60.5                    43.496528175177744      0.0                     95.6                    78.59652817517774       35.1                    95.6                    78.59652817517774       35.1                    1.69                    1.91                    1.91                    -4925.0                 -4943.0                 -4943.0                 999.0                   16.786628175177746      33.7901                 999.0                   11.403                  999.0                   42.315928175177746      59.3194                 999.0                   54.171                  999.0                   51.593328175177746      68.5968                 61.476800000000004    999.0                   41.21                   10.99                  2.31                   3.11                   0.65                    0.14                    0.18                    174.11                  228.32                  215.51                  0.957                   1.68                    1.942                   0                    0                    0                    4.657534062875129       8511.48315286639        8551.31506812575        8670.219177722955       1.096       -298.543         8505.786             272.3223              1.061            0                    1.408       -370.338         8543.852             263.0356              5.007            0                    1.617       3.025                  -403.444         8664.129             249.4921              3.783            0                    2.260000000000005      3                -38161.1        5167.833            994.4141             178.36               0.0                    "3634.32949623 3643.66703263, 3954.91824577 3959.06826194, 3972.55581451 3977.74333473, 4494.42034854 4498.57036472, 4649.00845107 4656.27097938, 4670.79603..." -0.8459174348094346     -1.087419831845788      -1.3618003873452451     -1.1241658059661255     -0.8146464492187673   0.16188736804199214     61.476800000000004    3.4741352427535146   0.30957894020608584   0.8939021154031491     0.06897368485428718    false     false     false     false    
  10      199.55095785051995   17.795713882930386   5.8957871550395575   1.3755054439915166   17.5   54937   19.6260395050049   18.3156871795654   17.7519073486328   17.5362110137939   19.4818496704102   18.2095928192139   17.6749591827393   17.4778633117676   0.7317295074462997   1.2722568511962997     18.88763612747193    18.638317279815634   18.745561313629118   18.183208274841235   17.757511940002335   2.095561313629119     26.892378102354577   0.0                  -6.9             0            -15.423716166865242   1.08                    -14.343716166865242     0.0                     144.0                   128.57628383313477      0.0                     83.3                    67.87628383313475       60.7                    0.0                     2.5                     1.58                    0.0                     -4960.0                 -4893.0                 999.0                   99.76188383313475       115.1856                999.0                   1.878                   999.0                   69.16778383313475       84.5915                 999.0                   11.726                  999.0                   70.89468383313475       86.3184                 79.41839999999999     999.0                   9.737                   92.8                   15.83                  20.19                  0.7                     0.73                    0.8                     224.25                  251.31                  262.67                  3.261                   2.395                   2.444                   0                    0                    0                    3.450573384770299       8500.32432323695        8545.01369845868        8665.01369845868        1.44        -1052.81         8500.856             730.9451              4.857            0                    1.98        -1304.88         8544.779             658.9788              3.792            0                    1.003       2.9829999999999997     -631.352         8665.268             629.4762              1.574            0                    999.0                  0                999.0           999.0               999.0                1998.0               0.0                    "3634.32949623 5698.9625434"                                                                                                                                   -0.9331096789789719     -1.1754712134187053     -1.3496397447945492     -1.2068445392741676     -0.90736993408204     0.1616764490509033      79.41839999999999     3.4828211628988583   0.3105938092885258    1.3103721389663228     0.42900702428329823    false     false     false     false    
  11      199.54520821904583   17.76691645118932    5.893990137258964    1.3751313905974585   17.0   54937   19.0165367126465   17.771053314209    17.244010925293    17.0396003723145   18.8814716339111   17.6716728210449   17.171932220459    16.9849452972412   0.6867275238037003   1.2097988128662003     18.27807689666749    18.072008323669436   18.18659984588624    17.62920082092287    17.214790267944366   1.53659984588624      32.28002478313795    39.319206502675      -6.9             0            -15.52953785877773    1.08                    -14.44953785877773      0.0                     28.4                    12.87046214122227       27.3                    75.6                    60.070462141222265      0.0                     0.0                     0.0                     2.18                    0.0                     0.0                     -4824.0                 999.0                   88.09276214122227       103.6223                999.0                   7.122                   999.0                   95.33196214122228       110.8615                999.0                   27.625                  999.0                   109.20026214122227      124.7298                117.82979999999999    999.0                   17.874                  43.97                  7.97                   11.82                  0.67                    0.48                    0.63                    407.77                  315.4                   291.71                  2.934                   3.139                   3.531                   0                    0                    0                    3.991113901149826       8501.94594478608        8545.56164366008        8664.46575325729        0.5817      -639.17          8501.621             1098.803              1.915            0                    1.821       -1949.84         8545.797             1071.026              3.86             0                    9.499       11.32                  -12408.5         8664.247             1306.255              16.87            0                    -1.8090000000000002    3                -2325.96        5165.746            2198.282             63.919               0.0                    "3954.91824577 3959.06826194, 4495.45785259 4499.60786876, 4649.00845107 4656.27097938, 4671.83354004 4675.98355621, 4680.13357239 4684.28358856, 5247.64828..." 3.0829933530854223      2.8598369517724054      2.2172217626477075      2.5669288599514366      0.0                   3.0                     117.82979999999999    3.482720812839981    0.31009119929913076   1.3137577591874905     0.41799171494242215    false     false     false     false    
  12      199.6580831965178    17.712288363170366   5.89949539165411     1.3733220399078254   16.5   54937   18.6687469482422   17.360876083374    16.8153667449951   16.585241317749    18.5577964782715   17.279239654541    16.7561569213867   16.5403442382813   0.7388954162597017   1.2785568237304972     17.92376399993897    17.672726593017547   17.78362472534177    17.201889877319296   16.761764450073194   1.1336247253417717    36.4417343165772     1.289573572930215    -6.84            0            -15.377680539092431   1.08                    -14.29768053909243      0.0                     28.4                    13.022319460907568      27.3                    19.0                    3.622319460907569       26.0                    0.0                     0.0                     0.0                     0.0                     0.0                     0.0                     999.0                   635.4290194609075       650.8067                999.0                   16.315                  999.0                   3712.1870194609073      3727.5647               999.0                   39.062                  999.0                   79.04581946090758       94.4235                 87.5835               999.0                   39.893                  2.23                   2.87                   4.73                   0.11                    0.13                    0.26                    67.03                   192.38                  291.09                  18.41                   104.909                 2.674                   0                    0                    0                    11.029247641575239      8515.45945680144        8557.342465341111       8685.358014524005       0.5744      -745.771         8500.742             1298.291              1.924            0                    1.49        -1856.71         8544.907             1246.226              3.022            0                    1.923       3.4130000000000003     -3164.87         8674.588             1645.702              1.697            0                    -2.07000000000005      3                835.861         5161.171            20.91335             951.3999999999999    0.0                    "3634.32949623 3635.36700028, 3741.19241274 3745.34242892, 3749.49244509 3756.7549734, 3765.05500575 3778.54255832, 3781.65507045 3835.60528073, 3840.792800..." -0.926720160032163      -1.170617991058114      -1.3352986490497716     -1.2023430491607132     -0.9890512773437568   0.16090689978027342     87.5835               3.4846908527346976   0.3091377590909221    1.4330217712357385     0.5200240309393238     false     false     false     false    
