# Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
15.370 -2.00  3 6.32 3.634  0.91  9 0.82  1.299  0.989  1.352  2.965 14.098    0.145   -0.196 -158.97  -16.67 -228.64   65.26 -1.60   0.90000  -3.10000  0.093 -2.600
15.890 -1.80  3 6.23 3.641  1.04  9 0.82  1.253  0.846  1.305  2.876 14.247    0.233   -0.273  -81.82  -50.06 -274.76  -42.16 -1.85   0.90000  -3.10000  0.093 -2.338
20.630 -1.80  3 6.23 3.641  1.04  9 0.82  1.264  0.967  1.274  2.864 14.910    0.126   -0.261 -216.69   25.29 -348.87   68.46 -1.33   0.90000  -3.10000  0.093 -2.338
34.390 -2.50  3 6.61 3.608  0.47  9 0.82  1.501  1.334  1.605  3.445 15.328    0.091   -0.144 -124.88  -10.50 -304.35  -10.45 -1.57   0.90000  -3.10000  0.093 -3.426
52.130 -2.40  3 6.52 3.616  0.60  9 0.82  1.434  1.228  1.525  3.286 16.205    0.098   -0.098  -92.99  -90.13 -337.35  -58.83 -1.56   0.90000  -3.10000  0.093 -3.184
55.090 -2.00  3 6.32 3.634  0.91  9 0.82  1.296  0.792  1.436  3.007 16.847    0.088   -0.043 -191.60 -139.05 -275.21   84.08 -2.81   0.90000  -3.10000  0.093 -2.600
59.550 -1.60  3 6.15 3.648  1.17  9 0.82  1.222  0.806  1.228  2.777 17.391    0.005   -0.046 -295.81   63.27 -238.10  209.80 -1.66   0.90000  -3.10000  0.093 -2.087
16.330 -1.20  3 6.01 3.660  1.41  9 0.82  1.141  0.677  1.123  2.622 14.975    0.188   -0.200  -80.46  -47.71 -220.85  -22.62 -1.54   0.90000  -1.30000  0.094 -1.610
56.710 -2.00  3 6.32 3.634  0.91  9 0.82  1.301  0.900  1.390  2.982 16.844    0.022   -0.061  -44.22   30.07 -172.58  -42.98 -2.04   0.90000  -1.30000  0.094 -2.600
 9.550 -1.60  3 6.15 3.648  1.17  9 0.82  1.281  1.143  1.215  2.780 13.471   -0.081   -0.232  -51.48   86.26  -86.79    3.75 -0.63   0.90000   0.30000  0.096 -2.087
11.110 -1.40  3 6.08 3.654  1.29  9 0.82  1.184  0.704  1.182  2.704 13.832    0.411   -0.372 -115.10  -86.03 -300.28  -29.23 -1.81   0.90000   0.30000  0.096 -1.845
16.010 -2.50  3 6.61 3.608  0.47  9 0.82  1.502  1.334  1.606  3.448 13.705    0.167   -0.102 -135.47  -63.59 -180.99   59.24 -1.57   0.90000   0.30000  0.096 -3.426
24.270 -1.20  3 6.01 3.660  1.41  9 0.82  1.137  0.657  1.127  2.626 15.807    0.086   -0.346  -44.04  109.71 -363.56 -161.67 -1.64   0.90000   0.30000  0.096 -1.610
26.330 -1.80  3 6.23 3.641  1.04  9 0.82  1.269  1.024  1.268  2.865 15.497    0.093   -0.099  -22.09  -40.69 -155.44  -58.50 -1.13   0.90000   0.30000  0.096 -2.338
36.970 -2.00  3 6.32 3.634  0.91  9 0.82  1.301  0.907  1.388  2.982 15.838   -0.010   -0.130  -50.91  128.99 -187.31  -56.57 -2.00   0.90000   0.30000  0.096 -2.600
42.110 -2.20  3 6.41 3.625  0.76  9 0.82  1.356  1.154  1.423  3.105 16.003    0.054   -0.132 -195.55   46.48 -340.76   30.13 -1.38   0.90000   0.30000  0.096 -2.881
53.370 -1.40  3 6.08 3.654  1.29  9 0.82  1.178  0.675  1.188  2.707 17.282    0.048   -0.005 -177.37  -87.30 -151.74  125.63 -1.95   0.90000   0.30000  0.096 -1.845
58.970 -2.00  3 6.32 3.634  0.91  9 0.82  1.300  0.961  1.365  2.973 16.888    0.075   -0.030 -129.06 -133.97 -220.73   35.14 -1.74   0.90000   0.30000  0.096 -2.600
61.350 -1.60  3 6.15 3.648  1.17  9 0.82  1.241  0.959  1.207  2.773 17.414    0.062   -0.052  -56.54  -79.89 -221.07  -52.62 -1.09   0.90000   0.30000  0.096 -2.087
11.510 -1.60  3 6.15 3.648  1.17  9 0.82  1.216  0.770  1.238  2.781 13.809    0.190   -0.418  -56.26   25.00 -249.04  -57.70 -1.83   2.70000  -3.10000  0.092 -2.087
15.610 -1.20  3 6.01 3.660  1.41  9 0.82  1.116  0.565  1.143  2.633 14.893    0.143   -0.303  -97.18   24.01 -264.09  -19.37 -2.12   2.70000  -3.10000  0.092 -1.610
25.190 -2.40  3 6.52 3.616  0.60  9 0.82  1.421  1.408  1.482  3.267 14.644   -0.059   -0.259  -73.13  217.65 -237.99  -48.01 -0.93   2.70000  -3.10000  0.092 -3.184
67.450 -1.40  3 6.08 3.654  1.29  9 0.82  1.251  1.064  1.162  2.700 17.807   -0.010   -0.029  -28.30   76.57  -69.44   -7.26 -0.65   2.70000  -3.10000  0.092 -1.845
21.130 -1.60  3 6.15 3.648  1.17  9 0.82  1.223  0.813  1.227  2.776 15.175    0.158   -0.183   76.10  -54.20 -178.98 -171.77 -1.63   2.70000  -1.30000  0.094 -2.087
21.370 -1.20  3 6.01 3.660  1.41  9 0.82  1.127  0.615  1.134  2.629 15.635    0.005   -0.319 -100.08  160.88 -292.75  -51.21 -1.85   2.70000  -1.30000  0.094 -1.610
22.790 -1.20  3 6.01 3.660  1.41  9 0.82  1.142  0.679  1.122  2.621 15.748   -0.013   -0.072 -218.20   68.13 -150.79  162.61 -1.53   2.70000  -1.30000  0.094 -1.610
23.030 -2.50  3 6.61 3.608  0.47  9 0.82  1.511  1.302  1.626  3.457 14.435    0.108   -0.272 -117.80   51.74 -334.15  -42.25 -1.75   2.70000  -1.30000  0.094 -3.426
24.690 -1.20  3 6.01 3.660  1.41  9 0.82  1.129  0.623  1.133  2.628 15.872    0.048    0.011 -202.83  -38.34 -108.47  176.70 -1.81   2.70000  -1.30000  0.094 -1.610
59.690 -2.00  3 6.32 3.634  0.91  9 0.82  1.304  0.838  1.416  2.995 16.955    0.026   -0.047 -209.03   17.99 -231.15  116.02 -2.43   2.70000  -1.30000  0.094 -2.600
26.390 -2.20  3 6.41 3.625  0.76  9 0.82  1.361  1.094  1.443  3.112 15.002    0.096   -0.121 -158.61  -15.64 -243.75   51.12 -1.64   2.70000   0.30000  0.095 -2.881
31.890 -1.40  3 6.08 3.654  1.29  9 0.82  1.201  0.800  1.164  2.695 16.279    0.100   -0.058  -98.44  -79.00 -182.74   22.30 -1.40   2.70000   0.30000  0.095 -1.845
34.090 -2.20  3 6.41 3.625  0.76  9 0.82  1.359  1.112  1.434  3.108 15.646    0.088   -0.198  -66.86   37.67 -337.63 -110.18 -1.55   2.70000   0.30000  0.095 -2.881
34.810 -2.40  3 6.52 3.616  0.60  9 0.82  1.434  1.233  1.523  3.286 15.433    0.079   -0.170 -203.87   41.79 -367.12   29.89 -1.54   2.70000   0.30000  0.095 -3.184
57.270 -2.00  3 6.32 3.634  0.91  9 0.82  1.304  1.127  1.327  2.961 16.874    0.093   -0.056   10.96 -147.96 -226.64 -118.79 -1.06   2.70000   0.30000  0.095 -2.600
74.810 -1.60  3 6.15 3.648  1.17  9 0.82  1.235  0.905  1.212  2.773 17.771    0.033   -0.050 -158.09   -1.25 -262.72   38.72 -1.27   2.70000   0.30000  0.095 -2.087
28.410 -2.50  3 6.61 3.608  0.47  9 0.82  1.494  1.364  1.591  3.437 14.886    0.095   -0.036 -214.58  -67.32 -187.67  158.29 -1.44   4.50000  -3.10000  0.092 -3.426
35.070 -2.20  3 6.41 3.625  0.76  9 0.82  1.366  1.049  1.464  3.120 15.520    0.092   -0.165   33.65   -1.75 -271.45 -160.77 -1.86   4.50000  -3.10000  0.092 -2.881
39.730 -2.20  3 6.41 3.625  0.76  9 0.82  1.353  1.200  1.411  3.100 15.846    0.036   -0.156 -147.06   99.09 -319.75    6.23 -1.21   4.50000  -3.10000  0.092 -2.881
