#Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
 9.555 -2.40  3 6.52 3.616  0.60  9 0.82  1.431  1.207  1.527  3.274 12.486   -0.115    0.024  173.71  -37.32 -107.41  141.65 -1.65 179.90003  -3.10000  0.073 -3.184
14.105 -1.40  3 6.08 3.654  1.29  9 0.82  1.204  0.872  1.148  2.676 14.440   -0.216   -0.375   45.55   -2.06 -269.34 -115.43 -1.14 179.90003  -3.10000  0.073 -1.845
45.155 -1.80  3 6.23 3.641  1.04  9 0.82  1.248  0.849  1.294  2.857 16.643   -0.067   -0.058   64.61  -60.35 -187.36  -35.92 -1.82 179.90003  -3.10000  0.073 -2.338
48.705 -1.20  3 6.01 3.660  1.41  9 0.82  1.120  0.609  1.126  2.611 17.293   -0.077   -0.127   86.05   -6.82 -335.70 -108.79 -1.85 179.90003  -3.10000  0.073 -1.610
58.655 -2.20  3 6.41 3.625  0.76  9 0.82  1.359  1.053  1.452  3.102 16.688   -0.067   -0.026   52.72 -123.38 -163.33  -29.16 -1.82 179.90003  -3.10000  0.073 -2.881
 8.985 -1.60  3 6.15 3.648  1.17  9 0.82  1.216  0.807  1.218  2.757 13.253   -0.142   -0.549   18.16   61.32 -208.63 -106.72 -1.63 179.90003  -1.30000  0.072 -2.087
 9.585 -1.80  3 6.23 3.641  1.04  9 0.82  1.243  0.756  1.323  2.871 13.208   -0.419   -0.406   82.40  -72.40 -262.42  -54.20 -2.34 179.90003  -1.30000  0.072 -2.338
17.035 -1.20  3 6.01 3.660  1.41  9 0.82  1.151  0.762  1.106  2.603 15.024    0.079   -0.298  259.80  187.75 -281.30  122.53 -1.22 179.90003  -1.30000  0.072 -1.610
23.435 -1.20  3 6.01 3.660  1.41  9 0.82  1.110  0.563  1.134  2.615 15.753   -0.310   -0.248   83.11 -163.06 -398.49 -127.42 -2.11 179.90003  -1.30000  0.072 -1.610
30.985 -2.40  3 6.52 3.616  0.60  9 0.82  1.435  1.189  1.537  3.278 15.134   -0.179   -0.102   56.13 -153.08 -255.81  -75.09 -1.74 179.90003  -1.30000  0.072 -3.184
42.035 -2.20  3 6.41 3.625  0.76  9 0.82  1.357  1.064  1.446  3.098 15.891   -0.124   -0.044   40.92 -171.00 -194.81  -55.42 -1.76 179.90003  -1.30000  0.072 -2.881
64.685 -2.50  3 6.61 3.608  0.47  9 0.82  1.550  1.196  1.711  3.495 16.653   -0.118   -0.064  218.57 -208.45 -415.95   23.20 -2.44 179.90003  -1.30000  0.072 -3.426
20.835 -2.00  3 6.32 3.634  0.91  9 0.82  1.293  0.903  1.377  2.959 14.734   -0.108   -0.117  195.54  -27.88 -229.58   97.44 -1.99 179.90003   0.30000  0.071 -2.600
24.935 -2.20  3 6.41 3.625  0.76  9 0.82  1.360  1.036  1.460  3.103 14.923   -0.083   -0.131   87.32   -6.30 -201.98  -12.46 -1.90 179.90003   0.30000  0.071 -2.881
35.085 -1.60  3 6.15 3.648  1.17  9 0.82  1.174  0.594  1.271  2.782 16.250    0.058   -0.190  278.09  250.93 -330.14  120.54 -2.98 179.90003   0.30000  0.071 -2.087
38.185 -1.60  3 6.15 3.648  1.17  9 0.82  1.201  0.705  1.244  2.770 16.291   -0.129   -0.085   70.51 -126.08 -253.51  -53.97 -2.14 179.90003   0.30000  0.071 -2.087
57.885 -1.60  3 6.15 3.648  1.17  9 0.82  1.203  0.723  1.240  2.768 17.344   -0.027   -0.080   89.87   45.61 -242.86  -35.25 -2.03 179.90003   0.30000  0.071 -2.087
61.485 -1.20  3 6.01 3.660  1.41  9 0.82  1.213  1.039  1.116  2.611 17.903   -0.092   -0.090  112.52 -100.12 -371.45  -73.16 -0.49 179.90003   0.30000  0.071 -1.610
67.485 -1.20  3 6.01 3.660  1.41  9 0.82  1.105  0.542  1.137  2.616 17.984   -0.028   -0.028  114.95  -29.23 -162.15   42.78 -2.24 179.90003   0.30000  0.071 -1.610
13.155 -1.20  3 6.01 3.660  1.41  9 0.82  1.134  0.671  1.114  2.603 14.480   -0.245   -0.543   71.47   36.35 -351.57 -134.33 -1.55 181.70003  -3.10000  0.073 -1.610
16.355 -2.40  3 6.52 3.616  0.60  9 0.82  1.419  1.294  1.493  3.258 13.739   -0.217   -0.348   58.95  -11.61 -302.55 -113.35 -1.29 181.70003  -3.10000  0.073 -3.184
17.055 -1.60  3 6.15 3.648  1.17  9 0.82  1.215  0.800  1.220  2.759 14.698   -0.115   -0.179  -30.25  -14.96 -131.60 -113.89 -1.66 181.70003  -3.10000  0.073 -2.087
40.505 -1.20  3 6.01 3.660  1.41  9 0.82  1.133  0.664  1.116  2.604 16.905   -0.059   -0.160  149.60   65.24 -351.57  -45.90 -1.58 181.70003  -3.10000  0.073 -1.610
49.255 -2.20  3 6.41 3.625  0.76  9 0.82  1.354  1.091  1.433  3.092 16.433   -0.051   -0.103  207.93   33.24 -335.72   36.33 -1.63 181.70003  -3.10000  0.073 -2.881
51.005 -1.20  3 6.01 3.660  1.41  9 0.82  1.105  0.542  1.138  2.618 17.452   -0.055   -0.075   46.05  -25.10 -215.51  -73.90 -2.24 181.70003  -3.10000  0.073 -1.610
11.085 -1.20  3 6.01 3.660  1.41  9 0.82  1.122  0.619  1.123  2.608 14.028   -0.363   -0.430  111.29  -47.63 -309.28  -43.15 -1.80 181.70003  -1.30000  0.071 -1.610
23.635 -2.20  3 6.41 3.625  0.76  9 0.82  1.353  1.094  1.431  3.090 14.696   -0.173   -0.265   54.86  -20.82 -335.26 -126.00 -1.61 181.70003  -1.30000  0.071 -2.881
48.935 -1.20  3 6.01 3.660  1.41  9 0.82  1.088  0.483  1.148  2.622 17.348   -0.050   -0.084   71.76   -0.68 -231.91  -49.47 -2.67 181.70003  -1.30000  0.071 -1.610
50.985 -2.40  3 6.52 3.616  0.60  9 0.82  1.450  1.126  1.578  3.301 16.125   -0.060   -0.102   59.07   -3.57 -277.43  -89.87 -2.12 181.70003  -1.30000  0.071 -3.184
57.835 -2.00  3 6.32 3.634  0.91  9 0.82  1.295  0.861  1.395  2.969 16.930   -0.061   -0.071   91.26  -43.97 -265.84  -41.86 -2.25 181.70003  -1.30000  0.071 -2.600
65.735 -1.80  3 6.23 3.641  1.04  9 0.82  1.247  0.849  1.293  2.855 17.322   -0.030   -0.102   83.23   80.35 -318.86  -94.23 -1.81 181.70003  -1.30000  0.071 -2.338
 8.685 -1.60  3 6.15 3.648  1.17  9 0.82  1.209  0.765  1.228  2.761 13.136    0.012   -0.392  -38.41   79.57 -100.93 -105.04 -1.83 181.70003   0.30000  0.070 -2.087
11.485 -2.40  3 6.52 3.616  0.60  9 0.82  1.425  1.231  1.511  3.263 12.897   -0.169   -0.429  145.40   43.79 -286.69    7.28 -1.51 181.70003   0.30000  0.070 -3.184
22.885 -1.60  3 6.15 3.648  1.17  9 0.82  1.214  0.799  1.219  2.757 15.194   -0.181   -0.135  228.66  -82.76 -307.91  101.57 -1.67 181.70003   0.30000  0.070 -2.087
28.185 -2.40  3 6.52 3.616  0.60  9 0.82  1.433  1.194  1.533  3.275 14.972    0.084   -0.295   34.60  291.56 -261.49 -126.67 -1.72 181.70003   0.30000  0.070 -3.184
32.435 -2.20  3 6.41 3.625  0.76  9 0.82  1.360  1.036  1.459  3.103 15.375   -0.106   -0.224  147.95   36.06 -403.11  -51.95 -1.90 181.70003   0.30000  0.070 -2.881
43.235 -1.80  3 6.23 3.641  1.04  9 0.82  1.259  0.996  1.260  2.843 16.532   -0.099   -0.055  110.09 -114.63 -230.48   10.97 -1.21 181.70003   0.30000  0.070 -2.338
43.635 -1.60  3 6.15 3.648  1.17  9 0.82  1.223  0.866  1.206  2.752 16.689   -0.081   -0.060  -49.14  -90.28 -146.31 -127.16 -1.39 181.70003   0.30000  0.070 -2.087
52.035 -1.20  3 6.01 3.660  1.41  9 0.82  1.126  0.637  1.119  2.605 17.530   -0.027   -0.057  255.65   29.89 -257.83  149.66 -1.71 181.70003   0.30000  0.070 -1.610
52.485 -2.20  3 6.41 3.625  0.76  9 0.82  1.365  0.996  1.482  3.114 16.455    0.012   -0.042   65.31   82.54  -95.26   15.94 -2.14 181.70003   0.30000  0.070 -2.881
52.685 -1.80  3 6.23 3.641  1.04  9 0.82  1.243  0.781  1.315  2.865 16.918   -0.038   -0.101  -14.16   38.73 -227.05 -141.93 -2.18 181.70003   0.30000  0.070 -2.338
55.785 -1.40  3 6.08 3.654  1.29  9 0.82  1.181  0.725  1.165  2.677 17.489    0.010   -0.034   71.53   71.76  -89.37   27.14 -1.68 181.70003   0.30000  0.070 -1.845
61.735 -2.00  3 6.32 3.634  0.91  9 0.82  1.294  1.073  1.324  2.940 16.945   -0.042   -0.090   93.27   26.63 -298.33  -56.92 -1.24 181.70003   0.30000  0.070 -2.600
72.735 -2.50  3 6.61 3.608  0.47  9 0.82  1.494  1.328  1.596  3.425 16.896   -0.014   -0.067   94.08   75.66 -241.20  -29.40 -1.57 181.70003   0.30000  0.070 -3.426
78.235 -1.60  3 6.15 3.648  1.17  9 0.82  1.208  0.759  1.230  2.762 17.877   -0.033   -0.041  -88.19  -41.33 -128.62 -166.31 -1.85 181.70003   0.30000  0.070 -2.087
12.285 -1.20  3 6.01 3.660  1.41  9 0.82  1.108  0.553  1.136  2.616 14.284   -0.404   -0.254  220.48 -104.63 -329.15   80.54 -2.17 183.50003  -3.10000  0.072 -1.610
28.085 -1.60  3 6.15 3.648  1.17  9 0.82  1.201  0.703  1.245  2.772 15.753   -0.127   -0.186  263.69    6.43 -391.06   77.63 -2.16 183.50003  -3.10000  0.072 -2.087
28.535 -1.40  3 6.08 3.654  1.29  9 0.82  1.174  0.686  1.175  2.685 16.046   -0.120   -0.242  183.77   39.96 -405.78  -29.71 -1.87 183.50003  -3.10000  0.072 -1.845
29.685 -2.50  3 6.61 3.608  0.47  9 0.82  1.496  1.324  1.600  3.429 14.867    0.039   -0.112  171.74  145.86 -174.71   75.82 -1.60 183.50003  -3.10000  0.072 -3.426
68.185 -1.40  3 6.08 3.654  1.29  9 0.82  1.154  0.577  1.196  2.698 17.769   -0.051   -0.022  122.35  -94.85 -191.04   45.41 -2.49 183.50003  -3.10000  0.072 -1.845
72.685 -1.60  3 6.15 3.648  1.17  9 0.82  1.183  0.616  1.266  2.782 17.879   -0.043   -0.066   65.48  -10.29 -267.02  -78.81 -2.79 183.50003  -3.10000  0.072 -2.087
21.735 -2.00  3 6.32 3.634  0.91  9 0.82  1.303  1.170  1.317  2.939 14.757   -0.220   -0.299  190.79  -26.12 -426.54  -12.32 -0.93 183.50003  -1.30000  0.071 -2.600
24.085 -1.60  3 6.15 3.648  1.17  9 0.82  1.200  0.697  1.246  2.771 15.416   -0.212   -0.227   56.33  -79.30 -332.85 -108.15 -2.19 183.50003  -1.30000  0.071 -2.087
31.785 -1.60  3 6.15 3.648  1.17  9 0.82  1.228  0.909  1.201  2.752 15.946   -0.220   -0.030  -97.19 -277.17 -143.69 -153.91 -1.24 183.50003  -1.30000  0.071 -2.087
35.835 -1.40  3 6.08 3.654  1.29  9 0.82  1.160  0.611  1.189  2.693 16.499   -0.090   -0.054   57.97  -80.82 -168.03  -15.20 -2.29 183.50003  -1.30000  0.071 -1.845
37.485 -1.60  3 6.15 3.648  1.17  9 0.82  1.218  0.823  1.213  2.754 16.306   -0.096   -0.065   98.87  -81.24 -213.43    6.86 -1.55 183.50003  -1.30000  0.071 -2.087
