# Fibre RA                 DEC                  l                  b                  Mag  MJD   Object_ID_(SDSS)   u                g                r                i                u_{0}            g_{0}            r_{0}            i_{0}            u_{err}             g_{err}             r_{err}             i_{err}             (g-i)_{0}          (u-g)_{0}            U_(Jester_2005)    B_(Jester_2005)    V_(Jester_2005)    R_(Jester_2005)    I_(Jester_2005)    V-V_{HB}               S/N_{red}          S/N_{blue}         V_{hc}-V_{obs}       V_{hc,err}            V_{gsr}-V_{obs}     V_{rad}_(rvreid,_CaT1of3) V_{gsr}_(rvreid,_CaT1of3) V_{err}_(rvreid,_CaT1of3) V_{rad}_(rvreid,_CaT2of3) V_{gsr}_(rvreid,_CaT2of3) V_{err}_(rvreid,_CaT2of3) V_{rad}_(rvreid,_CaT3of3) V_{gsr}_(rvreid,_CaT3of3) V_{err}_(rvreid,_CaT3of3) User_shift_(rvreid,_CaT1of3) User_shift_(rvreid,_CaT2of3) User_shift_(rvreid,_CaT3of3) Fit_pixel_shift_(rvreid,_CaT1of3) Fit_pixel_shift_(rvreid,_CaT2of3) Fit_pixel_shift_(rvreid,_CaT3of3) V_{obs}_(fxcor,_CaT1of3) V_{gsr}_(fxcor,_CaT1of3) V_{rel}_(fxcor,_CaT1of3) V_{helio}_(fxcor,_CaT1of3) V_{err}_(fxcor,_CaT1of3) V_{obs}_(fxcor,_CaT2of3) V_{gsr}_(fxcor,_CaT2of3) V_{rel}_(fxcor,_CaT2of3) V_{helio}_(fxcor,_CaT2of3) V_{err}_(fxcor,_CaT2of3) V_{obs}_(fxcor,_CaT3of3) V_{gsr}_(fxcor,_CaT3of3) V_{rel}_(fxcor,_CaT3of3) V_{helio}_(fxcor,_CaT3of3) V_{err}_(fxcor,_CaT3of3) TDR_(fxcor,_CaT1of3) TDR_(fxcor,_CaT2of3) TDR_(fxcor,_CaT3of3) HGHT_(fxcor,_CaT1of3) HGHT_(fxcor,_CaT2of3) HGHT_(fxcor,_CaT3of3) FWHM_(fxcor,_CaT1of3) FWHM_(fxcor,_CaT2of3) FWHM_(fxcor,_CaT3of3) Pixel_shift_(fxcor,_CaT1of3) Pixel_shift_(fxcor,_CaT2of3) Pixel_shift_(fxcor,_CaT3of3) Interpolated_(CaT1rv) Interpolated_(CaT2rv) Interpolated_(CaT3rv) Doppler_shift         Doppler_centroid_(CaT1) Doppler_centroid_(CaT2) Doppler_centroid_(CaT3) EW_{CaT1} EW_Flux_(CaT1) EW_Centroid_(CaT1) EW_Continuum_(CaT1) EW_FWHM_(CaT1) Interpolated_(CaT1ew) EW_{CaT2} EW_Flux_(CaT2) EW_Centroid_(CaT2) EW_Continuum_(CaT2) EW_FWHM_(CaT2) Interpolated_(CaT2ew) EW_{CaT3} EW_Flux_(CaT3) EW_Centroid_(CaT3) EW_Continuum_(CaT3) EW_FWHM_(CaT3) Interpolated_(CaT3ew) EW_{MgH}            EW_Lines_(MgH) EW_Flux_(MgH) EW_Centroid_(MgH) EW_Continuum_(MgH) EW_FWHM_(MgH)      Interpolated_(MgHew) All_interpolated_ranges [Ca/H]_(V-V_{HB},_Starkenburg) [Fe/H]_(V-V_{HB},_Starkenburg) [Fe/H]_(M_{I},_Starkennburg) [Fe/H]_(M_{V},_Starkenburg) [Fe/H]_(Battaglia)  [Fe/H]_{err}_(Battaglia) Source_file                           Noise Manual_(MgH) Signal u-g                  g-i                B_{J}_-_R           g-r                 r-i                 RA2000      DEC2000     newgiants Carbon Giants supergiants
  39    185.8067494310544  -1.5507503795672324  5.035033865261435  1.056401330747265  16.0 54937 587725041705091076 18.9216156005859 17.0442237854004 16.3197269439697 16.0497207641602 18.7970371246338 16.9525604248047 16.2532444000244 15.9993095397949 0.0214006304740906  0.00453808344900608 0.00405533285811543 0.00399106554687023 0.9532508850098012 1.844476699829098    18.121143169403062 17.46167692184451  17.536777553558373 16.94737018585215  16.467364006042647 0.38162757523846835    52.124850119688595 47.686476070265456 -9.870000000000001   -0.030000000000001137 -100.75782206231337 35.0                    -65.75782206231337      0.0                     62.3                    -38.45782206231337      27.3                    53.7                    -47.05782206231336      25.4                    0.966                   0.963                   0.99                    -4900.0                 -4918.0                 -4879.0                 999.0                   -68.78062206231337      31.9772                 999.0                   0.748                   999.0                   -65.04182206231337      35.716                  999.0                   2.321                   999.0                   -65.84322206231337      34.9146                 999.0                   2.121                   256.73               107.4                120.64               0.95                  0.93                  0.93                  245.44                320.31                328.55                0.906                   1.011                   0.989                   0                    0                    0                    1.7252862453466757    8499.01369845867        8543.08108013868        8663.08108013869        1.05      -3135.76       8498.928           2985.398            2.686          0                    2.166     -6119.01       8543.009           2825.445            4.138          0                    1.676     -4568.85       8663.185           2725.481            3.058          0                    4.556               3              -3396.03      5173.621          2290.624           11.461             0.0                  5                       -0.8889548389974123     -1.1344571950095603     -1.2769619879623688     -1.1501673179092062     -1.0120536748128472 0.16030530206019078     night5_160409/185m1p1_bright/data.xml false false        true   1.8773918151854971   0.9945030212402024 0.5143067359923599  0.7244968414306996  0.2700061798095028  12:23:13.62 -01:33:02.7 true      false  true   true       
  54    194.42408279827677 -3.169138426849658   5.341164589582939  1.0413508014210624 15.3 54936 587725039561343054 18.7485866546631 16.6041316986084 15.7331504821777 15.3757486343384 18.6313629150391 16.517879486084  15.6705932617188 15.3283138275146 0.0215106811374426  0.00376775092445314 0.00364738958887756 0.00395067129284143 1.189565658569398  2.113483428955103    17.946489238739037 17.108010616302508 17.15381437301637  16.49844260215767  15.93104075431837  -0.0013356053035344928 45.43126676640219  41.617304093369626 -5.49                -0.03000000000000025  -86.04817218435298  -37.7                   -123.74817218435298     0.0                     -10.9                   -96.94817218435298      26.8                    -19.8                   -105.84817218435298     25.2                    -1.1                    -1.12                   -1.11                   -4904.0                 -4922.0                 -4882.0                 999.0                   -124.28717218435298     -38.239                 999.0                   0.611                   999.0                   -125.74737218435297     -39.6992                999.0                   2.401                   999.0                   -124.58697218435299     -38.5388                999.0                   2.211                   309.25               94.84                106.55               0.95                  0.94                  0.94                  241.24                293.04                302.71                -1.083                  -1.124                  -1.091                  0                    0                    0                    -0.4467487335205078   8496.82191765308        8540.91891807318        8660.91891807318        1.071     -2413.26       8496.869           2253.322            2.412          0                    2.387     -5151.06       8540.979           2158.256            3.961          0                    1.903     -3956.42       8661.035           2079.537            3.265          0                    2.383               3              -1465.45      5171.735          1842.349           9.197000000000001  0.0                  5                       -0.7620020999063334     -1.0082799659436614     -1.1784699642467888     -1.0305708282138226     -0.9227761064534754 0.15999893151575717     night4_150409/194m2p7_bright/data.xml false false        true   2.1444549560547017   1.2283830642699982 0.6095680141448376  0.8709812164306978  0.3574018478393004  12:57:41.78 -03:10:08.9 true      false  true   true       
  24    194.60412447215631 -2.931762012326958   5.347810912240703  1.045328175291944  15.7 54936 587724648726528115 19.6390762329102 17.1391315460205 16.1739349365234 15.7601861953735 19.5189762115479 17.0507621765137 16.109842300415  15.7115869522095 0.0403514131903648  0.00418009189888835 0.00372432172298431 0.00375801860354841 1.339175224304201  2.468214035034201    18.795515079498333 17.69859754562379  17.72555822372437  17.0276114177704   16.403862676620502 0.5704082454044652     42.988370520409354 33.85262175962151  -5.445               -0.025000000000000355 -84.92630169004178  48.5                    -36.42630169004178      0.0                     75.0                    -9.926301690041782      26.5                    65.7                    -19.22630169004178      25.3                    1.35                    1.32                    1.33                    -4899.0                 -4918.0                 -4878.0                 999.0                   -39.278501690041786     45.6478                 999.0                   1.944                   999.0                   -40.28590169004178      44.6404                 999.0                   2.847                   999.0                   -41.032301690041784     43.894                  999.0                   2.455                   96.25                80.0                 96.49                0.95                  0.93                  0.93                  240.72                293.62                304.75                1.293                   1.264                   1.243                   0                    0                    0                    2.26829499006332      8499.56164366007        8543.62162065506        8663.62162065506        1.076     -2206.35       8499.291           2050.122            2.416          0                    2.304     -4419.82       8543.406           1918.013            3.738          0                    1.779     -3277.05       8663.49            1842.355            3.126          0                    2.0197000000000003  3              -753.003      5173.577          1192.02            9.018999999999998  0.0                  5                       -0.7188931039223021     -0.9633200642474276     -1.1783128838705919     -0.9893900993878526     -0.8528530380941026 0.16045632659632358     night4_150409/194m2p7_bright/data.xml false false        true   2.499944686889698    1.378945350647001  0.6709861278533893  0.9651966094971023  0.4137487411498988  12:58:24.99 -02:55:54.3 false     false  true   true       
  32    185.27349990295733 -1.1459041311057439  5.0132207438954195 1.0611218857234894 15.8 54937 587722981742411786 18.0602188110352 16.7427463531494 16.0891380310059 15.8650350570679 17.8864002227783 16.6148529052734 15.9963788986206 15.79469871521   0.016136921942234   0.00491866283118725 0.00427025742828846 0.00450678914785385 0.8201541900633984 1.2715473175049006   17.35528211593629  17.118375263214062 17.207653598785367 16.654103021621644 16.220000047683644 0.052503620465461864   60.876925020897694 62.19324722186485  -10.190000000000001  -0.030000000000001137 -100.69636789617645 83.9                    -16.79636789617645      0.0                     109.0                   8.303632103823546       25.2                    99.5                    -1.1963678961764543     24.7                    2.36                    2.29                    2.3                     -4897.0                 -4916.0                 -4876.0                 999.0                   -17.932667896176454     82.7637                 999.0                   2.412                   999.0                   -22.361667896176456     78.3347                 999.0                   2.934                   999.0                   -23.47396789617646      77.2224                 999.0                   2.48                    78.8                 78.36                97.41                0.95                  0.93                  0.94                  245.05                296.52                310.71                2.343                   2.218                   2.187                   0                    0                    0                    2.9914839069030372    8500.10958886146        8544.70270168781        8664.16216117144        0.9774    -4072.28       8500.213           4166.289            2.62           0                    2.035     -7938.77       8544.407           3902.016            4.074          0                    1.515     -5570.17       8664.484           3676.625            3.117          0                    3.5009999999999994  3              -4673.93      5174.622          4015.921           11.009             0.0                  5                       -1.1204416193408826     -1.3674713982910085     -1.4633424897653677     -1.3692270568219866     -1.2332149804769261 0.16004200289637238     night5_160409/185m1p1_bright/data.xml false false        true   1.317472457885799    0.8777112960815003 0.4642722415924183  0.6536083221435014  0.22410297393799894 12:21:05.64 -01:08:45.3 true      false  true   true       
  110   184.88004119067406 -1.7813945399971451  5.0052184079503315 1.0486895085739096 16.0 54937 587724650332880982 18.5953388214111 16.9745807647705 16.3119487762451 16.0149688720703 18.4537086486816 16.8703708648682 16.2363662719727 15.9576568603516 0.0165017917752266  0.0042691552080214  0.0040043001063168  0.00407949881628156 0.9127140045165998 1.583337783813402    17.827198524475076 17.355533638000487 17.443007240295408 16.811825542449956 16.304845638275154 0.2878572619755033     55.344376408086845 60.382116557802114 -10.25               -0.02999999999999936  -103.41185209460845 35.9                    -67.51185209460846      0.0                     62.7                    -40.711852094608446     26.9                    54.6                    -48.81185209460845      24.8                    0.991                   0.975                   1.02                    -4900.0                 -4918.0                 -4879.0                 999.0                   -61.61795209460845      41.7939                 999.0                   1.293                   999.0                   -72.90415209460845      30.5077                 999.0                   3.338                   999.0                   -72.34015209460844      31.0717                 999.0                   2.6                     145.39               67.25                89.67                0.94                  0.93                  0.93                  241.04                290.04                300.19                1.183                   0.864                   0.88                    0                    0                    0                    1.7252862453466757    8499.01369845867        8543.08108013868        8663.08108013869        0.8206    -2833.59       8498.991           3453.275            2.13           0                    1.901     -6232.5        8543.016           3277.937            3.733          0                    1.479     -4463.13       8663.304           3018.086            2.742          0                    1.8788              3              -2380.75      5172.478          3789.136           10.161999999999999 0.0                  5                       -1.151123035479846      -1.3976720013416093     -1.527661578835715      -1.3980365745907677     -1.2417393950276983 0.1602302858095804      night5_160409/185m1p1_bright/data.xml false true         true   1.6207580566406001   0.9596118927002024 0.5437080955505316  0.6626319885254013  0.29697990417480113 12:19:31.21 -01:46:53.0 true      false  true   true       
  201   193.67429131996136 -2.7003271701397646  5.3157121545563    1.0500087460726941 15.2 54936 587725040097886220 17.673038482666  16.1494941711426 15.506103515625  15.2391986846924 17.5575847625732 16.0645446777344 15.4444904327393 15.192479133606  0.0104329809546471  0.00359380058944225 0.00380816217511892 0.00396543368697166 0.8720655441284002 1.4930400848387997   16.918781089782716 16.51909465789798  16.610416526794463 16.008168392181446 15.531263561248846 -0.5447334515254418    50.91168824543142  35.31288716601915  -5.9350000000000005  -0.025000000000000355 -86.44248973086275  47.1                    -39.342489730862745     0.0                     73.1                    -13.342489730862752     26.1                    64.3                    -22.14248973086275      24.7                    1.31                    1.27                    1.29                    -4899.0                 -4918.0                 -4878.0                 999.0                   -42.50808973086275      43.9344                 999.0                   1.606                   999.0                   -42.91838973086275      43.5241                 999.0                   2.563                   999.0                   -41.37448973086275      45.068                  999.0                   2.663                   114.13               85.97                85.22                0.94                  0.93                  0.94                  235.43                283.81                292.28                1.244                   1.232                   1.276                   0                    0                    0                    2.0856465895964598    8499.01369845867        8543.62162065506        8663.62162065506        0.8646    -2433.03       8499.276           2814.065            2.346          0                    1.938     -5276.6        8543.386           2723.24             3.712          0                    1.529     -3971.34       8663.506           2597.58             3.017          0                    1.6312              3              -613.869      5173.325          1292.099           10.525             0.0                  5                       -1.3100324210102166     -1.559039684578564      -1.6398179684776615     -1.5490146050049696     -1.4379169399495646 0.15956421323877965     night4_150409/194m2p7_bright/data.xml false false        true   1.523544311523402    0.9102954864501989 0.5109262657165345  0.6433906555175994  0.2669048309325994  12:54:41.83 -02:42:01.2 true      false  true   true       
  172   189.4811249064394  -2.2550873971215535  5.167528052846948  1.054819284321038  16.5 54925 587724649798041669 19.1135997772217 17.4925556182861 16.8199195861816 16.5471935272217 18.9449901580811 17.3684940338135 16.7299404144287 16.4789638519287 0.0234184432774782  0.00469068437814713 0.00429935799911618 0.00461734784767032 0.8895301818848012 1.5764961242675994   18.349298114776623 17.879410877227755 17.964883670806856 17.362139472961463 16.87941341400156  0.8097336924869509     38.961519477556315 39.20459156782532  -2.185               -0.03500000000000014  -94.77207500067     -20.5                   -115.27207500067        0.0                     1.66                    -93.11207500067         22.2                    8.04                    -86.73207500067         20.2                    -0.616                  -0.76                   -0.308                  -4928.0                 -4947.0                 -4906.0                 999.0                   190.67692499933003      285.449                 999.0                   0.536                   999.0                   190.54362499933         285.3157                999.0                   3.369                   999.0                   190.21202499933003      284.9841                999.0                   2.755                   341.34               65.74                84.58                0.96                  0.9                   0.91                  233.8                 286.24                300.23                8.08                    8.076                   8.067                   0                    0                    0                    8.912747800353221     8506.13698607683        8550.49315047265        8670.10810685158        0.7549    -1260.22       8506.092           1669.473            2.213          0                    1.892     -3018.25       8550.239           1594.85             3.692          0                    1.627     -2474.76       8670.444           1520.646            3.548          0                    2.1539              3              -1061.89      5177.25           1664.77            9.164              0.0                  5                       -0.9498657632494113     -1.1945396832330415     -1.3468491179545479     -1.207302543194579      -1.0336189921956747 0.16064778695398957     night1_040409/190m2_faint/data.xml    false true         true   1.6210441589356002   0.9453620910643998 0.5172714042662925  0.6726360321044993  0.27272605895990054 12:37:55.47 -02:15:18.3 true      false  true   true       
  302   185.0278327891391  -0.35478119632295707 4.997528897290898  1.0734391734897433 15.8 54937 587722982816022547 18.5524082183838 16.8253498077393 16.1659488677979 15.8657236099243 18.4326553344727 16.7372360229492 16.1020412445068 15.8172645568848 0.0160854235291481  0.00389891816303134 0.00357220671139658 0.00372292962856591 0.9199714660644016 1.695419311523498    17.759621734619156 17.204396362304724 17.292516174316447 16.6571508312225   16.1469255733489   0.13736619599654176    67.27555276621665  58.642987645583    -10.45               -0.02999999999999936  -98.85914326244625  1.08                    -97.77914326244625      0.0                     55.6                    -43.25914326244625      0.0                     55.6                    -43.25914326244625      0.0                     0.0                     -0.00459                -0.00459                0.0                     -4939.0                 -4939.0                 999.0                   -241.92584326244625     -143.0667               999.0                   0.595                   999.0                   -240.85554326244625     -141.9964               999.0                   3.06                    999.0                   -239.45524326244626     -140.5961               999.0                   2.835                   321.95               73.58                82.26                0.94                  0.93                  0.94                  244.73                290.59                300.56                -4.052                  -4.022                  -3.982                  0                    0                    0                    -3.1617924571037292   8494.0821916461         8538.21621549129        8658.2162154913         0.8521    -4301.96       8493.859           5048.684            2.416          0                    1.99      -9579.05       8538.091           4814.476            3.865          0                    1.494     -6761.72       8658.089           4525.504            2.882          0                    2.4382              3              -2869.31      5170.371          3672.441           12.350999999999999 0.0                  5                       -1.133665017801545      -1.3805191621255113     -1.5092584789897108     -1.381658803550135      -1.2383576792073738 0.16010989295679723     night5_160409/185m1p1_bright/data.xml false true         true   1.7270584106444993   0.959626197815     0.5472455310822255  0.6594009399413991  0.3002252578736009  12:20:06.68 -00:21:17.2 true      false  true   true       
  246   179.7417499543629  0.278991485098642    4.810720471773397  1.0531264053651648 15.3 54927 588848900449435676 15.9291467666626 16.3579044342041 13.7608652114868 15.3386564254761 15.8031606674194 16.2652053833008 13.6936321258545 15.2876758575439 0.0064259385690093  0.0144193479791284  0.00212153606116772 0.012648843228817   0.9775295257568999 -0.46204471588139917 16.204783973693853 14.841621685028068 17.41492737770081  16.146301250457796 17.545648288726884 0.25977739938090494    87.48714191239762  93.90420650854784  -8.02                -0.019999999999999574 -107.7321076992347  -35.8                   -143.5321076992347      0.0                     -8.47                   -116.2021076992347      27.3                    -16.6                   -124.33210769923471     25.1                    -1.05                   -1.05                   -1.02                   -4906.0                 -4925.0                 -4885.0                 999.0                   -144.2541076992347      -36.522                 999.0                   0.265                   999.0                   -144.7638076992347      -37.0317                999.0                   3.279                   999.0                   -145.5020076992347      -37.7699                999.0                   2.849                   795.03               75.57                89.8                 0.95                  0.92                  0.93                  268.24                319.7                 329.36                -1.034                  -1.049                  -1.07                   0                    0                    0                    -0.3603607416134764   8496.82191765308        8540.91891807318        8661.1780820489         1.052     -9039.0        8496.935           8594.864            2.699          0                    2.338     -19070.8       8541.031           8157.146            4.525          0                    1.797     -13708.3       8661.136           7630.47             3.361          0                    3.1921              3              -9591.11      5171.988          9170.819           10.722000000000001 0.0                  5                       -0.7719526596390118     -1.0174455416259398     -0.9260861921496417     -1.0397630906350652     -0.9174466843343374 0.16020782191950472     night3_060409/180z_bright/data.xml    false false        true   -0.42875766754150213 1.0192480087280007 -1.304679565429728  2.597039222717301   -1.5777912139893004 11:58:58.02 +00:16:44.4 true      false  true   true       
  397   194.96279146824588 -2.6505657856326525  5.360889689553852  1.049853206326039  15.4 54936 587724649263595556 17.6588764190674 16.2580890655518 15.686897277832  15.442982673645  17.5028419494629 16.1432800292969 15.6036281585693 15.3798427581787 0.00987920351326466 0.00326999486424029 0.00332542206160724 0.00322968931868672 0.7634372711181996 1.3595619201660014   16.90346799850469  16.585092220306482 16.690853862762523 16.099225301742653 15.645310697555654 -0.4642961155573815    41.12177038990418  39.16631205513228  -5.335               -0.025000000000000355 -83.24839044329211  -45.3                   -128.5483904432921      0.0                     -19.0                   -102.24839044329211     26.3                    -29.1                   -112.34839044329212     25.7                    -1.32                   -1.35                   -1.37                   -4904.0                 -4923.0                 -4883.0                 999.0                   -128.55389044329212     -45.3055                999.0                   1.908                   999.0                   -129.42049044329212     -46.1721                999.0                   3.159                   999.0                   -127.52129044329212     -44.2729                999.0                   2.892                   99.78                71.7                 81.04                0.94                  0.93                  0.93                  244.78                292.45                302.07                -1.283                  -1.308                  -1.254                  0                    0                    0                    -0.4467487335205078   8496.82191765308        8540.91891807318        8660.91891807318        0.8504    -1591.69       8496.814           1871.746            2.624          0                    1.88      -3366.4        8540.801           1790.46             3.767          0                    1.384     -2355.34       8660.836           1702.165            2.918          0                    2.276               3              -1214.1       5171.384          1595.083           9.657              10.405965121206464   5                       -1.3949941863796733     -1.6439420029297742     -1.7147418242659873     -1.6293733547162759     -1.5045857861409586 0.1596285631075541      night4_150409/194m2p7_bright/data.xml false false        true   1.4007873535156001   0.8151063919068005 0.48586691856382913 0.5711917877198012  0.24391460418699928 12:59:51.07 -02:39:02.0 true      false  true   true       
