# Fibre RA                 DEC                  l                  b                  Mag  MJD   u                g                r                i                u_{0}            g_{0}            r_{0}            i_{0}            (g-i)_{0}          (u-g)_{0}            U_(Jester_2005)    B_(Jester_2005)    V_(Jester_2005)    Rc_(Jester_2005)   Ic_(Jester_2005)   U_{err}_(Jester_2005) B_{err}_(Jester_2005) V_{err}_(Jester_2005) Rc_{err}_(Jester_2005) Ic_{err}_(Jester_2005) V-V_{HB}              S/N_{red}          S/N_{blue}         V_{hc}-V_{obs} V_{hc,err} V_{gsr}-V_{obs}     V_{gsr}_(fxcor,_CaT1of3) V_{rel}_(fxcor,_CaT1of3) V_{helio}_(fxcor,_CaT1of3) V_{err}_(fxcor,_CaT1of3) V_{gsr}_(fxcor,_CaT2of3) V_{rel}_(fxcor,_CaT2of3) V_{helio}_(fxcor,_CaT2of3) V_{err}_(fxcor,_CaT2of3) V_{gsr}_(fxcor,_CaT3of3) V_{rel}_(fxcor,_CaT3of3) V_{helio}_(fxcor,_CaT3of3) V_{err}_(fxcor,_CaT3of3) TDR_(fxcor,_CaT1of3) TDR_(fxcor,_CaT2of3) TDR_(fxcor,_CaT3of3) HGHT_(fxcor,_CaT1of3) HGHT_(fxcor,_CaT2of3) HGHT_(fxcor,_CaT3of3) FWHM_(fxcor,_CaT1of3) FWHM_(fxcor,_CaT2of3) FWHM_(fxcor,_CaT3of3) Pixel_shift_(fxcor,_CaT1of3) Pixel_shift_(fxcor,_CaT2of3) Pixel_shift_(fxcor,_CaT3of3) Interpolated_(CaT1rv) Interpolated_(CaT2rv) Interpolated_(CaT3rv) Doppler_shift         Doppler_centroid_(CaT1) Doppler_centroid_(CaT2) Doppler_centroid_(CaT3) EW_{CaT1} EW_Flux_(CaT1) EW_Centroid_(CaT1) EW_Continuum_(CaT1) EW_FWHM_(CaT1) Interpolated_(CaT1ew) EW_{CaT2} EW_Flux_(CaT2) EW_Centroid_(CaT2) EW_Continuum_(CaT2) EW_FWHM_(CaT2) Interpolated_(CaT2ew) EW_{CaT3} EW_Flux_(CaT3) EW_Centroid_(CaT3) EW_Continuum_(CaT3) EW_FWHM_(CaT3) Interpolated_(CaT3ew) EW_{MgH}            EW_Lines_(MgH) EW_Flux_(MgH) EW_Centroid_(MgH) EW_Continuum_(MgH) EW_FWHM_(MgH)      Interpolated_(MgHew) All_interpolated_ranges [Ca/H]_(V-V_{HB},_Starkenburg) [Fe/H]_(V-V_{HB},_Starkenburg) [Fe/H]_(M_{I},_Starkennburg) [Fe/H]_(M_{V},_Starkenburg) [Fe/H]_(Battaglia)  [Fe/H]_{err}_(Battaglia) Source_file Manual-MgH Noise g-i               
  56    190.0812082424651  -2.038337463223563   5.187981283509316  1.0596023025613424 16.7 54925 19.0894432067871 17.5664196014404 16.9866161346436 16.739652633667  18.9627094268799 17.4731712341309 16.9189834594727 16.6883697509766 0.7848014831542969 1.4895381927490021   18.31050136566158  18.002542953491155 17.21433555603029  16.725145339965792 16.26818183898919  18.390501365661578    18.032542953491156    17.22433555603029     16.76514533996579      16.31818183898919      0.4043355560302899    36.4828726939094   27.784887978899608 -1.91          0.0        -94.69180288548046  -69.38140288548045      25.3104                 999.0                   1.925                   -76.29760288548046      18.3942                 999.0                   6.235                   -78.04730288548046      16.6445                 999.0                   5.624                   107.19               37.02                42.97                0.95                  0.9                   0.91                  265.14                301.83                314.81                0.717                   0.521                   0.471                   0                    0                    0                    1.4488456646661991    8498.70270168782        8542.82191765309        8662.82191765309        0.8638    -1238.99       8498.531           1434.287            2.364          0                    2.034     -2766.84       8542.667           1360.033            3.889          0                    1.647     -2071.81       8662.887           1258.041            3.613          0                    2.1471999999999998  3              -822.964      5173.349          1203.169           9.244              0.0                  3      -0.9657767760337314     -1.211464233241046      -1.3167446649963015     -1.2151388591213876     -1.0764991074218704 0.16032346844482423     n      false      false 0.826766967773402 
  69    190.34995810697578 -2.6291428936727113  5.199183697486363  1.0497165283358756 17.2 54925 19.3688201904297 18.0200996398926 17.4835109710693 17.2712268829346 19.1850452423096 17.884880065918  17.3854370117188 17.1968612670898 0.6880187988281996 1.300165176391598    18.61137125015263  18.43936922073369  17.69351232528685  17.242122669220024 16.81983858108532  18.691371250152628    18.46936922073369     17.70351232528685     17.282122669220023     16.86983858108532      0.8835123252868513    22.142718893577637 19.79646433078392  -1.66          0.0        -95.57056600468115  -169.29486600468115     -73.7243                999.0                   1.057                   -152.10006600468114     -56.5295                999.0                   7.069                   -148.46316600468117     -52.8926                999.0                   6.378                   182.83               30.82                34.68                0.92                  0.77                  0.82                  247.4                 286.38                289.78                -2.088                  -1.601                  -1.498                  0                    0                    0                    -0.9157106280235894   8496.54053962232        8540.6301368475         8660.08219164611        0.6813    -359.825       8496.201           528.1371            2.378          0                    1.597     -799.215       8540.4             500.3946            3.071          0                    1.628     -769.627       8660.024           472.7578            3.186          0                    1.5341              3              -304.102      5172.165          588.9204           7.8469999999999995 0.0                  3      -1.0890701389257549     -1.3341440716053148     -1.4257030848214702     -1.331404264301967      -1.1422029291992228 0.16070680986022948     n      true       false 0.7488727569580007
  85    190.13416615851125 -2.574803576382504   5.191491247073946  1.0503544128023286 16.8 54925 18.6126861572266 17.5347499847412 17.0544414520264 16.8333015441895 18.4293556213379 17.3998565673828 16.9566059112549 16.7591152191162 0.640741348266598  1.029499053955103    17.84326265335084  17.893251800537083 17.246171035766615 16.823876724243192 16.388314018249552 17.90326265335084     17.913251800537083    17.266171035766614    16.86387672424319      16.438314018249553     0.4361710357666162    26.90167281044062  28.321370023358686 -1.77          0.0        -96.00982308137498  -1.1051230813749697     94.9047                 999.0                   2.588                   -9.884023081374977      86.1258                 999.0                   7.669                   -11.018323081374973     84.9915                 999.0                   8.511                   57.35                26.28                25.55                0.84                  0.72                  0.72                  192.28                266.36                287.67                2.687                   2.439                   2.407                   0                    0                    0                    2.4657532572800847    8518.46575146915        8546.93150651456        8666.93150651456        0.3613    -277.413       8516.119           767.7802            1.067          0                    0.9773    -716.252       8544.554           732.9193            2.423          0                    1.037     -742.175       8664.698           715.8491            2.543          0                    1.3966              3              -493.484      5173.649          1146.152           11.842             0.0                  3      -1.919198276919901      -2.1681422312332312     -2.1705308358384348     -2.119396202354541      -1.800882236328121  0.1603489368286133      n      true       false 0.701448440551701 
  90    190.09916645863788 -2.5478115346538908  5.190186899964056  1.050771496218362  16.4 54925 19.0614261627197 17.4535369873047 16.7412872314453 16.4212818145752 18.8807487487793 17.3205966949463 16.6448669433594 16.3481693267822 0.972427368164098  1.5601520538330007   18.315467948913568 17.94131439208987  17.02330963134765  16.454503726959242 15.924498310089142 18.395467948913566    17.97131439208987     17.033309631347652    16.49450372695924      15.974498310089142     0.21330963134765213   34.583232931581165 30.54504869860253  -1.8           0.0        -96.03977234166165  -127.31117234166165     -31.2714                999.0                   1.342                   -149.08417234166166     -53.0444                999.0                   7.334                   -143.05317234166165     -47.0134                999.0                   6.987                   148.58               25.61                28.2                 0.82                  0.8                   0.77                  255.57                248.42                259.78                -0.886                  -1.502                  -1.331                  0                    0                    0                    -0.36776542662664724  8496.54053962232        8540.6301368475         8661.7260272503         0.576     -728.18        8496.729           1264.101            1.713          0                    1.377     -1713.86       8540.736           1244.818            2.848          0                    0.8349    -964.528       8661.129           1155.298            2.06           0                    0.9208              3              -380.944      5171.535          1437.384           8.654              0.0                  3      -1.8366958901465256     -2.085579276175865      -2.140110739836149      -2.040896432538181      -1.7766960078125011 0.16017064770507813     n      false      false 1.0322551727295028
  141   189.71949998639903 -2.365994837525027   5.176299574220582  1.0533195323882403 17.6 54925 19.8397941589355 18.4200134277344 17.8293304443359 17.6035690307617 19.6890068054199 18.3090648651123 17.7488613128662 17.542552947998  0.7665119171143004 1.3799419403075994   19.087808761596676 18.860379791259817 18.06151046752928  17.595430526733406 17.159669113159207 19.167808761596675    18.890379791259818    18.071510467529283    17.635430526733405     17.209669113159208     1.2515104675292825    23.866294224282075 20.787015177749787 -2.02          0.0        -96.58233344671329  72.88016655328671       169.4625                999.0                   1.821                   75.3222665532867        171.9046                999.0                   18.948                  81.19516655328671       177.7775                999.0                   15.01                   121.94               11.1                 14.09                0.93                  0.73                  0.79                  285.12                291.84                288.29                4.798                   4.867                   5.033                   0                    0                    0                    5.810193220783428     8503.56756633521        8547.20547926427        8666.65753406287        1.442     -932.203       8503.099           646.4198            5.247          0                    1.803     -1072.18       8547.08            594.7124            3.459          0                    1.652     -870.672       8667.018           527.0016            3.245          0                    1.9996              3              -437.759      5175.918          682.1032           11.265             0.0                  3      -0.8752789134126331     -1.1187109120824326     -1.24665180207707       -1.1288780609676252     -0.9373746523437543 0.16100120837402343     n      true       false 0.8164443969726989
  153   189.45312445899134 -2.5082774467898643  5.167496416342097  1.0503734176658694 17.1 54925 18.9881572723389 17.7899436950684 17.2975120544434 17.1034393310547 18.8155574798584 17.6629467010498 17.2054023742676 17.0335960388184 0.6293506622314027 1.1526107788085973   18.24659862518314  18.19199203491215  17.489409027099647 17.057869758605968 16.65379703521727  18.326598625183138    18.22199203491215     17.49940902709965     17.097869758605967     16.70379703521727      0.6794090270996485    31.091799561942373 26.246904579397548 -2.12          0.0        -97.69875063729475  109.38564936270524      207.0844                999.0                   0.986                   98.52554936270525       196.2243                999.0                   7.906                   102.23134936270526      199.9301                999.0                   6.322                   182.51               26.19                33.53                0.95                  0.79                  0.82                  230.4                 273.72                277.92                5.862                   5.555                   5.66                    0                    0                    0                    6.540786822643592     8503.56756633521        8547.75342446566        8668.30136966706        0.6675    -693.729       8503.737           1039.228            1.826          0                    1.28      -1271.4        8547.802           993.2952            2.604          0                    1.471     -1370.19       8668.221           931.4493            3.121          0                    2.2959              3              -753.929      5176.365          1176.838           12.357             0.0                  3      -1.4020186212725012     -1.648681279584369      -1.697888893665003      -1.6279471518722761     -1.4082384179687388 0.16054352722167972     n      true       false 0.6865043640136967
  172   189.4811249064394  -2.2550873971215535  5.167528052846948  1.054819284321038  16.5 54925 19.1135997772217 17.4925556182861 16.8199195861816 16.5471935272217 18.9449901580811 17.3684940338135 16.7299404144287 16.4789638519287 0.8895301818848012 1.5764961242675994   18.349298114776623 17.964883670806856 17.085700359344443 16.56842895507815  16.08570289611825  18.42929811477662     17.994883670806857    17.095700359344445    16.60842895507815      16.13570289611825      0.2757003593444445    39.63584236521283  31.095015677757747 -2.15          0.0        -96.92207500067002  188.46092499932996      285.383                 999.0                   0.524                   186.50842499932997      283.4305                999.0                   2.863                   188.04182499933         284.9639                999.0                   2.366                   353.06               77.15                97.79                0.96                  0.91                  0.91                  236.28                284.84                297.55                8.078                   8.023                   8.066                   0                    0                    0                    8.902874886996264     8506.27026891709        8550.49315047265        8669.94520527125        0.7553    -1260.91       8506.087           1669.491            2.214          0                    1.895     -3023.36       8550.244           1595.343            3.697          0                    1.615     -2452.56       8670.441           1518.187            3.522          0                    2.1539              3              -1061.89      5177.25           1664.77            9.164              0.0                  3      -1.0861181074088029     -1.332497512584294      -1.4339887555257562     -1.3290684193461924     -1.1879627788086045 0.16022056028747556     n      true       false 0.9453620910643998
  184   189.03595789906117 -2.2502344445967952  5.151885186352601  1.0540244863261565 17.1 54925 19.327917098999  18.1006355285645 17.5285263061523 17.116678237915  19.1444282531738 17.9656257629395 17.430606842041  17.0424289703369 0.9231967926025995 1.1788024902343004   18.61103775024417  18.53375812530526  17.7530910873413   17.084176692962643 16.46232862472534  18.691037750244167    18.56375812530526     17.7630910873413      17.124176692962642     16.512328624725342     0.9430910873413012    33.24154027718932  29.448259710889538 -2.37          0.0        -98.12441286708021  -75.62351286708021      22.5009                 999.0                   2.59                    -80.94331286708021      17.1811                 999.0                   7.624                   -77.4500128670802       20.6744                 999.0                   5.743                   71.45                28.61                38.59                0.95                  0.87                  0.9                   238.96                287.43                289.46                0.637                   0.487                   0.585                   0                    0                    0                    1.2661972641999455    8498.70270168782        8542.27397245169        8662.82191765309        0.6556    -783.728       8498.588           1195.361            2.383          0                    2.013     -2333.57       8542.554           1159.042            4.901          0                    1.484     -1581.65       8662.873           1065.56             3.434          0                    2.9795000000000003  3              -1217.79      5173.289          1291.589           10.744             0.0                  3      -0.9286664769067416     -1.17296587270482       -1.3652539166823487     -1.1796261584459535     -1.0057455498046897 0.16075447286987304     n      false      false 0.9839572906494993
  189   189.0497083131865  -2.1695849053541805  5.152025199261607  1.0554506959399637 16.0 54925 18.3058567047119 16.8850440979004 16.2826499938965 16.0400257110596 18.1026153564453 16.7355003356934 16.1741886138916 15.9577827453613 0.7777175903320988 1.3671150207518998   17.558211631774896 17.329977798461925 16.519631576538096 16.035171108245876 15.582546825408976 17.638211631774894    17.359977798461927    16.529631576538097    16.075171108245875     15.632546825408976     -0.29036842346190284  47.77028364998475  38.535697735995385 -2.38          0.0        -97.86642175012305  139.22177824987693      237.0882                999.0                   1.96                    134.71847824987697      232.5849                999.0                   4.778                   136.64337824987695      234.5098                999.0                   4.231                   95.77                45.11                53.13                0.95                  0.91                  0.92                  241.47                280.54                291.57                6.711                   6.584                   6.638                   0                    0                    0                    7.449092368292743     8504.64864736796        8548.84931486846        8668.84931486846        0.7418    -1801.2        8504.572           2428.016            2.505          0                    1.738     -4040.38       8548.862           2324.267            3.521          0                    1.523     -3337.2        8669.086           2190.675            3.294          0                    1.9184999999999999  3              -1683.44      5176.765          2435.757           10.530999999999999 0.0                  3      -1.3543606794296956     -1.6028009523214        -1.6537472170225083     -1.5833761899502445     -1.4569277480468719 0.1597677052612305      n      true       false 0.8450183868408025
  205   189.30408323957514 -1.9513338220329475  5.160097469785463  1.0597505426821152 16.0 54925 18.5427532196045 16.9904117584229 16.3474655151367 16.0901737213135 18.4035720825195 16.8880023956299 16.2731895446777 16.0338535308838 0.8541488647461009 1.5155696868895987   17.781987133026167 17.45116079330452  16.601073474884043 16.100625419616755 15.633333625793554 17.861987133026165    17.48116079330452     16.611073474884044    16.140625419616754     15.683333625793555     -0.208926525115956    50.44799302251776  38.379682124790975 -2.3           0.0        -96.57430571807765  -29.897305718077646     66.677                  999.0                   0.821                   -33.91120571807765      62.6631                 999.0                   3.904                   -34.384505718077655     62.1898                 999.0                   4.3                     221.26               58.42                54.59                0.96                  0.93                  0.92                  232.36                295.38                304.36                1.888                   1.774                   1.761                   0                    0                    0                    2.5397996107834238    8499.78378272058        8543.91780805588        8663.91780805589        0.8511    -2322.48       8499.698           2728.864            2.194          0                    1.916     -4946.3        8543.848           2580.993            3.687          0                    1.674     -4113.55       8664.011           2457.145            3.437          0                    2.0883              3              -1720.27      5174.443          2534.096           9.175              0.0                  3      -1.1645499464728073     -1.4123700574542442     -1.4860869897300375     -1.4035957635433474     -1.2892337094726534 0.15983285877990724     n      false      false 0.9002380371093999
