,\HD\,41667} \\
  {[O  ,  +0.03  ,   +0.08  ,-0.01  ,  0.07  ,  0.11 \\
 {[Na  ,  +0.13  ,   +0.00  ,-0.02  ,  0.10  ,  0.16 \\
 {[Mg  ,  +0.08  ,   +0.01  ,-0.01  ,  0.05  ,  0.10 \\
 {[Al  ,  +0.10  ,   +0.01  ,-0.01  ,  0.06  ,  0.11 \\
 {[Si  ,  +0.02  ,   +0.03  ,-0.02  ,  0.04  ,  0.06 \\
  {[K  ,  +0.14  , -0.03  ,-0.17  ,  0.10  ,  0.24 \\
 {[Ca  ,  +0.13  , -0.01  ,-0.10  ,  0.05  ,  0.17 \\
{[Sc II/H]}  ,-0.03  ,   +0.08  ,-0.08  ,  0.05  ,  0.13 \\
 {[Ti  ,  +0.22  ,   +0.01  ,-0.01  ,  0.05  ,  0.22 \\
{[Ti II/H]}  ,-0.04  ,   +0.07  ,-0.15  ,  0.14  ,  0.23 \\
  {[V  ,  +0.25  ,   +0.01  ,-0.03  ,  0.05  ,  0.26 \\
 {[Cr  ,  +0.23  ,   +0.00  ,-0.20  ,  0.03  ,  0.31 \\
{[Cr II/H]}  ,-0.07  ,   +0.08  ,-0.06  ,  0.07  ,  0.14 \\
 {[Mn  ,  +0.17  ,   +0.01  ,-0.07  ,  0.06  ,  0.19 \\
 {[Fe  ,  +0.16  ,   +0.01  ,-0.07  ,  0.02  ,  0.17 \\
{[Fe II/H]}  ,-0.10  ,   +0.08  ,-0.04  ,  0.03  ,  0.14 \\
 {[Co  ,  +0.18  ,   +0.03  ,-0.01  ,  0.04  ,  0.19 \\
 {[Ni  ,  +0.12  ,   +0.03  ,-0.01  ,  0.05  ,  0.13 \\
 {[Cu  ,  +0.19  ,   +0.03  ,-0.16  ,  0.10  ,  0.27 \\
 {[Zn  ,-0.03  ,   +0.06  ,-0.09  ,  0.07  ,  0.14 \\
 {[Sr  ,  +0.24  ,   +0.01  ,-0.06  ,  0.10  ,  0.27 \\
 {[Y II/H]}  ,  +0.00  ,   +0.08  ,-0.09  ,  0.09  ,  0.15 \\
 {[Zr  ,  +0.27  ,   +0.01  ,-0.00  ,  0.07  ,  0.28 \\
{[Zr II/H]}  ,  +0.00  ,   +0.08  ,-0.01  ,  0.10  ,  0.13 \\
{[Ba II/H]}  ,  +0.01  ,   +0.06  ,-0.21  ,  0.07  ,  0.23 \\
{[La II/H]}  ,  +0.01  ,   +0.07  ,-0.02  ,  0.07  ,  0.10 \\
{[Ce II/H]}  ,  +0.04  ,   +0.08  ,-0.04  ,  0.09  ,  0.13 \\
{[Nd II/H]}  ,  +0.02  ,   +0.06  ,-0.07  ,  0.03  ,  0.10 \\
{[Eu II/H]}  ,-0.05  ,   +0.04  ,-0.06  ,  0.10  ,  0.13 \\
\}{HD\,44007} \\
  {[O  ,  +0.06  ,   +0.07  ,  +0.00  ,  0.10  ,  0.14 \\
 {[Na  ,  +0.08  , -0.00  ,-0.00  ,  0.07  ,  0.11 \\
 {[Mg  ,  +0.05  , -0.01  ,  +0.00  ,  0.07  ,  0.09 \\
 {[Al  ,  +0.04  , -0.01  ,  +0.00  ,  0.10  ,  0.11 \\
 {[Si  ,  +0.05  ,   +0.01  ,-0.00  ,  0.04  ,  0.07 \\
  {[K  ,  +0.16  , -0.06  ,-0.14  ,  0.10  ,  0.24 \\
 {[Ca  ,  +0.10  , -0.02  ,-0.04  ,  0.05  ,  0.12 \\
{[Sc II/H]}  ,  +0.02  ,   +0.06  ,-0.03  ,  0.04  ,  0.08 \\
 {[Ti  ,  +0.18  ,   +0.00  ,  +0.00  ,  0.10  ,  0.21 \\
{[Ti II/H]}  ,  +0.01  ,   +0.04  ,-0.09  ,  0.07  ,  0.12 \\
  {[V  ,  +0.19  ,   +0.00  ,-0.00  ,  0.05  ,  0.20 \\
 {[Cr  ,  +0.18  , -0.02  ,-0.08  ,  0.03  ,  0.20 \\
{[Cr II/H]}  ,-0.05  ,   +0.04  ,-0.04  ,  0.06  ,  0.09 \\
 {[Mn  ,  +0.13  ,   +0.00  ,-0.00  ,  0.06  ,  0.14 \\
 {[Fe  ,  +0.14  , -0.00  ,-0.02  ,  0.02  ,  0.14 \\
{[Fe II/H]}  ,-0.04  ,   +0.06  ,-0.02  ,  0.03  ,  0.08 \\
 {[Co  ,  +0.18  ,   +0.01  ,  +0.00  ,  0.10  ,  0.21 \\
 {[Ni  ,  +0.11  ,   +0.00  ,-0.01  ,  0.05  ,  0.12 \\
 {[Cu  ,  +0.18  ,   +0.01  ,-0.02  ,  0.10  ,  0.21 \\
 {[Zn  ,  +0.01  ,   +0.02  ,-0.04  ,  0.07  ,  0.09 \\
 {[Sr  ,  +0.17  ,   +0.00  ,-0.01  ,  0.10  ,  0.20 \\
 {[Y II/H]}  ,  +0.03  ,   +0.06  ,-0.04  ,  0.05  ,  0.09 \\
{[Zr II/H]}  ,  +0.03  ,   +0.07  ,  +0.00  ,  0.10  ,  0.13 \\
{[Ba II/H]}  ,  +0.05  ,   +0.04  ,-0.14  ,  0.07  ,  0.18 \\
{[La II/H]}  ,  +0.06  ,   +0.07  ,  +0.00  ,  0.07  ,  0.12 \\
{[Ce II/H]}  ,  +0.06  ,   +0.07  ,-0.01  ,  0.07  ,  0.12 \\
{[Nd II/H]}  ,  +0.07  ,   +0.07  ,-0.01  ,  0.04  ,  0.10 \\
{[Eu II/H]}  ,  +0.07  ,   +0.04  ,-0.22  ,  0.10  ,  0.25 \\
\}{HD\,76932} \\
 {[Na  ,  +0.06  ,   +0.00  ,-0.01  ,  0.06  ,  0.09 \\
 {[Mg  ,  +0.04  ,   +0.01  ,  +0.00  ,  0.11  ,  0.12 \\
 {[Al  ,  +0.05  ,   +0.00  ,-0.00  ,  0.05  ,  0.07 \\
 {[Si  ,  +0.05  ,   +0.02  ,-0.00  ,  0.04  ,  0.07 \\
  {[K  ,  +0.13  , -0.07  ,-0.09  ,  0.10  ,  0.20 \\
 {[Ca  ,  +0.08  , -0.01  ,-0.03  ,  0.05  ,  0.10 \\
{[Sc II/H]}  ,  +0.03  ,   +0.08  ,-0.02  ,  0.04  ,  0.10 \\
 {[Ti  ,  +0.09  ,   +0.00  ,  +0.00  ,  0.10  ,  0.13 \\
{[Ti II/H]}  ,  +0.03  ,   +0.09  ,-0.06  ,  0.06  ,  0.12 \\
  {[V  ,  +0.12  ,   +0.01  ,-0.00  ,  0.08  ,  0.14 \\
 {[Cr  ,  +0.13  , -0.00  ,-0.06  ,  0.03  ,  0.14 \\
{[Cr II/H]}  ,-0.01  ,   +0.09  ,-0.05  ,  0.06  ,  0.12 \\
 {[Mn  ,  +0.09  ,   +0.01  ,-0.01  ,  0.06  ,  0.10 \\
 {[Fe  ,  +0.09  ,   +0.00  ,-0.02  ,  0.01  ,  0.09 \\
{[Fe II/H]}  ,-0.01  ,   +0.09  ,-0.02  ,  0.03  ,  0.09 \\
 {[Co  ,  +0.11  ,   +0.01  ,-0.00  ,  0.06  ,  0.13 \\
 {[Ni  ,  +0.06  ,   +0.01  ,-0.01  ,  0.04  ,  0.08 \\
 {[Cu  ,  +0.12  ,   +0.01  ,-0.02  ,  0.10  ,  0.16 \\
 {[Zn  ,  +0.05  ,   +0.04  ,-0.05  ,  0.07  ,  0.11 \\
 {[Sr  ,  +0.11  ,   +0.01  ,-0.01  ,  0.10  ,  0.15 \\
 {[Y II/H]}  ,  +0.04  ,   +0.09  ,-0.02  ,  0.04  ,  0.11 \\
{[Ba II/H]}  ,  +0.06  ,   +0.09  ,-0.05  ,  0.10  ,  0.16 \\
{[La II/H]}  ,  +0.05  ,   +0.09  ,  +0.00  ,  0.10  ,  0.14 \\
{[Ce II/H]}  ,  +0.05  ,   +0.09  ,  +0.00  ,  0.07  ,  0.12 \\
{[Nd II/H]}  ,  +0.05  ,   +0.08  ,-0.01  ,  0.06  ,  0.11 \\
{[Eu II/H]}  ,  +0.06  ,   +0.08  ,-0.06  ,  0.10  ,  0.15 \\
\}{HD\,136316} \\
  {[O  ,  +0.03  ,   +0.07  ,  +0.00  ,  0.10  ,  0.13 \\
 {[Na  ,  +0.10  , -0.02  ,-0.00  ,  0.07  ,  0.13 \\
 {[Mg  ,  +0.06  , -0.02  ,  +0.00  ,  0.17  ,  0.18 \\
 {[Si  ,  +0.04  ,   +0.00  ,-0.01  ,  0.05  ,  0.06 \\
  {[K  ,  +0.24  , -0.01  ,-0.14  ,  0.10  ,  0.30 \\
 {[Ca  ,  +0.13  , -0.03  ,-0.04  ,  0.05  ,  0.15 \\
{[Sc II/H]}  ,-0.03  ,   +0.06  ,-0.06  ,  0.04  ,  0.10 \\
 {[Ti  ,  +0.21  , -0.03  ,  +0.00  ,  0.06  ,  0.22 \\
{[Ti II/H]}  ,-0.03  ,   +0.04  ,-0.14  ,  0.06  ,  0.16 \\
  {[V  ,  +0.27  , -0.02  ,-0.01  ,  0.04  ,  0.27 \\
 {[Cr  ,  +0.27  , -0.04  ,-0.12  ,  0.03  ,  0.30 \\
{[Cr II/H]}  ,-0.10  ,   +0.05  ,-0.04  ,  0.07  ,  0.14 \\
 {[Mn  ,  +0.16  , -0.03  ,-0.02  ,  0.06  ,  0.17 \\
 {[Fe  ,  +0.17  , -0.02  ,-0.03  ,  0.01  ,  0.18 \\
{[Fe II/H]}  ,-0.09  ,   +0.07  ,-0.03  ,  0.03  ,  0.12 \\
 {[Co  ,  +0.20  , -0.01  ,-0.01  ,  0.04  ,  0.20 \\
 {[Ni  ,  +0.15  , -0.01  ,-0.01  ,  0.05  ,  0.15 \\
 {[Cu  ,  +0.21  , -0.03  ,-0.06  ,  0.10  ,  0.24 \\
 {[Zn  ,-0.05  ,   +0.03  ,-0.05  ,  0.07  ,  0.11 \\
 {[Sr  ,  +0.22  , -0.03  ,-0.02  ,  0.10  ,  0.24 \\
 {[Y II/H]}  ,-0.01  ,   +0.05  ,-0.06  ,  0.04  ,  0.09 \\
 {[Zr  ,  +0.29  , -0.02  ,  +0.00  ,  0.10  ,  0.31 \\
{[Zr II/H]}  ,-0.02  ,   +0.06  ,-0.01  ,  0.10  ,  0.12 \\
{[Ba II/H]}  ,  +0.02  ,   +0.04  ,-0.17  ,  0.10  ,  0.20 \\
{[La II/H]}  ,  +0.02  ,   +0.06  ,-0.02  ,  0.07  ,  0.10 \\
{[Ce II/H]}  ,  +0.02  ,   +0.06  ,-0.03  ,  0.08  ,  0.11 \\
{[Nd II/H]}  ,  +0.03  ,   +0.06  ,-0.03  ,  0.03  ,  0.08 \\
{[Eu II/H]}  ,-0.09  , -0.01  ,-0.09  ,  0.10  ,  0.16 \\
\}{HD\,141531} \\
  {[O  ,  +0.02  ,   +0.08  ,-0.00  ,  0.07  ,  0.11 \\
 {[Na  ,  +0.08  , -0.02  ,  +0.00  ,  0.07  ,  0.11 \\
 {[Mg  ,  +0.04  , -0.01  ,-0.01  ,  0.10  ,  0.11 \\
 {[Al  ,  +0.05  , -0.01  ,-0.01  ,  0.07  ,  0.09 \\
 {[Si  ,  +0.01  ,   +0.03  ,-0.00  ,  0.04  ,  0.05 \\
  {[K  ,  +0.23  , -0.01  ,-0.15  ,  0.10  ,  0.29 \\
 {[Ca  ,  +0.12  , -0.01  ,-0.05  ,  0.05  ,  0.15 \\
{[Sc II/H]}  ,-0.02  ,   +0.08  ,-0.06  ,  0.05  ,  0.12 \\
 {[Ti  ,  +0.18  , -0.02  ,-0.00  ,  0.05  ,  0.18 \\
{[Ti II/H]}  ,-0.00  ,   +0.08  ,-0.16  ,  0.05  ,  0.19 \\
  {[V  ,  +0.23  , -0.03  ,-0.02  ,  0.04  ,  0.24 \\
 {[Cr  ,  +0.25  , -0.03  ,-0.15  ,  0.03  ,  0.29 \\
{[Cr II/H]}  ,-0.11  ,   +0.08  ,-0.05  ,  0.07  ,  0.16 \\
 {[Mn  ,  +0.13  , -0.02  ,-0.03  ,  0.06  ,  0.15 \\
 {[Fe  ,  +0.15  , -0.00  ,-0.05  ,  0.01  ,  0.16 \\
{[Fe II/H]}  ,-0.09  ,   +0.10  ,-0.03  ,  0.03  ,  0.15 \\
 {[Co  ,  +0.15  ,   +0.00  ,-0.01  ,  0.04  ,  0.16 \\
 {[Ni  ,  +0.10  ,   +0.01  ,-0.01  ,  0.04  ,  0.11 \\
 {[Cu  ,  +0.18  ,   +0.00  ,-0.11  ,  0.10  ,  0.23 \\
 {[Zn  ,-0.06  ,   +0.07  ,-0.06  ,  0.07  ,  0.13 \\
 {[Sr  ,  +0.18  , -0.04  ,-0.04  ,  0.10  ,  0.21 \\
 {[Y II/H]}  ,-0.00  ,   +0.08  ,-0.07  ,  0.05  ,  0.12 \\
{[Zr II/H]}  ,-0.03  ,   +0.07  ,-0.01  ,  0.10  ,  0.13 \\
{[Ba II/H]}  ,  +0.06  ,   +0.10  ,-0.17  ,  0.10  ,  0.23 \\
{[La II/H]}  ,-0.00  ,   +0.05  ,-0.04  ,  0.07  ,  0.10 \\
{[Ce II/H]}  ,  +0.02  ,   +0.07  ,-0.04  ,  0.06  ,  0.10 \\
{[Nd II/H]}  ,  +0.03  ,   +0.07  ,-0.04  ,  0.03  ,  0.09 \\
{[Eu II/H]}  ,-0.06  ,   +0.04  ,-0.05  ,  0.10  ,  0.13 \\
\}{HD\,142948} \\
  {[O  ,  +0.03  ,   +0.08  ,-0.01  ,  0.07  ,  0.11 \\
 {[Na  ,  +0.10  , -0.02  ,-0.04  ,  0.08  ,  0.13 \\
 {[Mg  ,  +0.06  , -0.01  ,-0.03  ,  0.07  ,  0.10 \\
 {[Al  ,  +0.07  , -0.01  ,-0.02  ,  0.05  ,  0.09 \\
 {[Si  ,  +0.04  ,   +0.02  ,-0.03  ,  0.04  ,  0.07 \\
  {[K  ,  +0.20  , -0.03  ,-0.15  ,  0.10  ,  0.27 \\
 {[Ca  ,  +0.14  , -0.01  ,-0.08  ,  0.05  ,  0.17 \\
{[Sc II/H]}  ,  +0.03  ,   +0.07  ,-0.09  ,  0.05  ,  0.13 \\
 {[Ti  ,  +0.13  , -0.00  ,-0.01  ,  0.05  ,  0.14 \\
{[Ti II/H]}  ,  +0.05  ,   +0.07  ,-0.14  ,  0.12  ,  0.20 \\
  {[V  ,  +0.17  , -0.00  ,-0.03  ,  0.05  ,  0.18 \\
 {[Cr  ,  +0.19  , -0.01  ,-0.16  ,  0.04  ,  0.25 \\
{[Cr II/H]}  ,-0.02  ,   +0.06  ,-0.09  ,  0.06  ,  0.13 \\
 {[Mn  ,  +0.15  , -0.01  ,-0.09  ,  0.06  ,  0.18 \\
 {[Fe  ,  +0.13  ,   +0.00  ,-0.05  ,  0.01  ,  0.14 \\
{[Fe II/H]}  ,-0.02  ,   +0.08  ,-0.04  ,  0.03  ,  0.10 \\
 {[Co  ,  +0.13  ,   +0.02  ,-0.01  ,  0.04  ,  0.14 \\
 {[Ni  ,  +0.08  ,   +0.01  ,-0.03  ,  0.04  ,  0.09 \\
 {[Cu  ,  +0.19  ,   +0.01  ,-0.18  ,  0.10  ,  0.28 \\
 {[Zn  ,  +0.02  ,   +0.04  ,-0.14  ,  0.07  ,  0.16 \\
 {[Sr  ,  +0.14  ,   +0.00  ,-0.04  ,  0.10  ,  0.18 \\
 {[Y II/H]}  ,  +0.02  ,   +0.06  ,-0.09  ,  0.13  ,  0.17 \\
{[Ba II/H]}  ,  +0.08  ,   +0.07  ,-0.18  ,  0.07  ,  0.22 \\
{[La II/H]}  ,-0.01  ,   +0.04  ,-0.05  ,  0.08  ,  0.11 \\
{[Ce II/H]}  ,  +0.04  ,   +0.08  ,-0.02  ,  0.11  ,  0.15 \\
{[Nd II/H]}  ,  +0.04  ,   +0.08  ,-0.03  ,  0.04  ,  0.10 \\
{[Eu II/H]}  ,-0.03  ,   +0.04  ,-0.06  ,  0.10  ,  0.13 \\
\}{C230626-085103} \\
  {[O  ,  +0.03  ,   +0.07  ,-0.02  ,  0.07  ,  0.10 \\
 {[Na  ,  +0.12  , -0.01  ,-0.02  ,  0.07  ,  0.14 \\
 {[Mg  ,  +0.05  , -0.01  ,-0.03  ,  0.07  ,  0.09 \\
 {[Al  ,  +0.08  , -0.02  ,-0.03  ,  0.05  ,  0.10 \\
 {[Si  ,-0.05  ,   +0.02  ,-0.03  ,  0.04  ,  0.08 \\
  {[K  ,  +0.21  ,   +0.01  ,-0.19  ,  0.10  ,  0.30 \\
 {[Ca  ,  +0.18  , -0.01  ,-0.14  ,  0.05  ,  0.23 \\
{[Sc II/H]}  ,-0.00  ,   +0.04  ,-0.13  ,  0.06  ,  0.15 \\
