#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-04-23T09:16:44 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ517651004fa8	
#INFO	-out.max=unlimited	
#INFO	queryParameters=26	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:V/117A&tab:{V/117A/newcat}&key:source=V/117A/newcat&HTTPPRM:&&-ref=VIZ517651004fa8&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/117A/newcat
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Dist
#-out=UVel
#-out=VVel
#-out=WVel
#-out=RVel
#-out=e_RVel
#-out=pmRA
#-out=pmDE
#-out=e_pm
#Tycho-2=Tycho-2
#Simbad=Simbad
#

#RESOURCE=yCat_5117
#Name: V/117A
#Title: Geneva-Copenhagen Survey of Solar neighbourhood (Holmberg+, 2007)
#INFO	status=obsolete	
#    This catalogue is obsoleted by <V/130>
#
#Table	V_117A_newcat:
#Name: V/117A/newcat
#Title: Main catalogue recalibrated data (2007)
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Name	(a11)	Object name (HD,BD,CD or CP) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Right ascension (ICRF)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (ICRF)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(I3)	? Distance	[ucd=pos.distance;pos.heliocentric]
#Column	UVel	(I4)	? Heliocentric space velocity component U (3)	[ucd=pos.cartesian.x]
#Column	VVel	(I4)	? Heliocentric space velocity component V (3)	[ucd=pos.cartesian.y]
#Column	WVel	(I4)	? Heliocentric space velocity component W (3)	[ucd=pos.cartesian.z]
#Column	RVel	(F6.1)	? Mean radial velocity (10)	[ucd=spect.dopplerVeloc;stat.mean]
#Column	e_RVel	(F5.1)	? Standard deviation of RVel measurements	[ucd=stat.error;spect.dopplerVeloc]
#Column	pmRA	(I5)	? Proper motion in right ascension (4)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I5)	? Proper motion in declination (4)	[ucd=pos.pm;pos.eq.dec]
#Column	e_pm	(I2)	? Standard error of total proper motion (4)	[ucd=stat.error]
_RAJ2000;_DEJ2000;Name;RAJ2000;DEJ2000;Dist;UVel;VVel;WVel;RVel;e_RVel;pmRA;pmDE;e_pm
deg;deg; ;"h:m:s";"d:m:s";pc;km/s;km/s;km/s;km/s;km/s;mas/a;mas/a;mas/a
--------;--------;-----------;----------;---------;---;----;----;----;------;-----;-----;-----;--
001.3242;+48.4769;HD 15      ;00 05 17.8;+48 28 37;   ;    ;    ;    ; -22.6;  3.4;   -4;  -10; 2
001.3017;+36.3036;HD 16      ;00 05 12.4;+36 18 13;   ;    ;    ;    ; -10.7;  1.4;   28;   -7; 2
001.2808;-52.1517;HD 23      ;00 05 07.4;-52 09 06; 42;  40; -22; -16;  34.3;  0.3; -111; -131; 2
001.2904;-62.8450;HD 24      ;00 05 09.7;-62 50 42; 70; -31;   7;  14; -26.9; 19.0;   64;   20; 2
001.3429;+49.7697;HD 25      ;00 05 22.3;+49 46 11; 79;  17;   0; -22;  -2.2;     ;  -30;  -68; 2
001.3425; +8.7878;HD 26      ;00 05 22.2;+08 47 16;   ;    ;    ;    ;-215.1;  1.6;  261;  -59; 2
001.3708;+34.1056;HD 39      ;00 05 29.0;+34 06 20; 91;  12; -15;  24; -26.8;  1.4;  -18;   26; 2
001.3896;+46.6628;HD 59      ;00 05 33.5;+46 39 46; 80; -43; -55;  13; -34.2;  0.2;  159;   41; 2
001.3796; -9.6172;HD 63      ;00 05 31.1;-09 37 02; 50; -10; -23;  -9;   0.2;  3.0;   88;  -72; 1
001.3683;-61.2258;HD 67      ;00 05 28.4;-61 13 33; 54; -10; -28;   2;   6.3;  0.1;   84;  -78; 2
001.4233;+58.3131;HD 70      ;00 05 41.6;+58 18 47; 48;   7; -31; -38; -28.4;  0.4;   65; -166; 2
001.4350;+17.8403;HD 85      ;00 05 44.4;+17 50 25; 81; -14; -23;  -1; -12.0;     ;   60;  -18; 2
001.4779;+18.2350;HD 101     ;00 05 54.7;+18 14 06; 38;  45; -34;  17; -45.6;  0.2; -149; -151; 1
001.4687;-41.7531;HD 105     ;00 05 52.5;-41 45 11; 40; -10; -21;  -1;   1.6;  0.5;   99;  -76; 1
001.4875;-30.3281;HD 117     ;00 05 57.0;-30 19 41;117;   8;  -3; -14;  15.0;  0.2;   -7;  -10; 3
001.5658;+58.4367;HD 123     ;00 06 15.8;+58 26 12; 20; -19; -19;  -1;  -8.0;  1.3;  271;   30; 2
001.5333; +9.7147;HD 126     ;00 06 08.0;+09 42 53; 90;  -7;   0; -14;  11.9;  2.4;   20;  -13; 2
001.5796;-49.0750;HD 142     ;00 06 19.1;-49 04 30; 26; -58; -38; -16;   5.3;  0.1;  575;  -37; 1
001.6083;+42.7525;HD 153     ;00 06 26.0;+42 45 09;123; -27; -48;   2; -31.8;  0.2;   78;   -1; 2
001.6037;-18.0381;HD 156     ;00 06 24.9;-18 02 17;168; -10;  -2; -15;  13.6;     ;   16;    1; 2
001.5700;-64.2403;HD 160     ;00 06 16.8;-64 14 25;201; -23;  -4; -31;  17.2;     ;   28;   23; 2
001.6529;+29.0214;HD 166     ;00 06 36.7;+29 01 17; 14; -15; -22; -10;  -6.9;  0.3;  381; -178; 1
001.6646;-24.6208;HD 189     ;00 06 39.5;-24 37 15;140;  37; -31;  -7;   7.6;  0.1;  -25;  -69; 2
001.6954; -4.3500;HD 200     ;00 06 46.9;-04 21 00;110;  -4; -50; -23;  -0.2;  0.2;   59;  -88; 1
001.7083;-23.1075;HD 203     ;00 06 50.0;-23 06 27; 39; -11; -15; -10;   6.5;     ;   97;  -47; 1
001.8071;+73.2103;HD 219     ;00 07 13.7;+73 12 37;   ;    ;    ;    ; -20.0;     ;   43;  -11; 2
001.7696;+67.2742;HD 220     ;00 07 04.7;+67 16 27;133;    ;    ;    ;      ;     ;  -32;   14; 2
001.7583;+22.8444;HD 222     ;00 07 02.0;+22 50 40;119;    ;    ;    ;      ;     ;   13;  -16; 1
001.7817;-15.8500;HD 233     ;00 07 07.6;-15 51 00; 99; -24; -27;   4; -12.2;  0.5;   70;  -23; 2
001.8262; +7.7033;HD 251     ;00 07 18.3;+07 42 12;102;   1;   9; -15;  17.2;  1.9;   -5;   -6; 2
001.8437;-25.3564;HD 268     ;00 07 22.5;-25 21 23; 49; -27; -49; -18;   8.4;  0.1;  213; -133; 2
001.8058;-76.7308;HD 276     ;00 07 13.4;-76 43 51; 84; -16; -30; -19;  23.0;  0.5;   78;   -5; 2
001.8671;-56.0114;HD 285     ;00 07 28.1;-56 00 41;134; -46;  -9; -14;  -0.9;  0.6;   74;   24; 2
001.9183;+39.0347;HD 291     ;00 07 40.4;+39 02 05;104;  45;  -7; -13; -17.6;  0.1;  -68;  -58; 1
