#ra,dec,Dist,UVel,VVel,WVel,RVel,pmRA,pmDE
1.2808,-52.1517,42,40,-22,-16,34.3,-111,-131
1.2904,-62.845,70,-31,7,14,-26.9,64,20
1.3429,49.7697,79,17,0,-22,-2.2,-30,-68
1.3708,34.1056,91,12,-15,24,-26.8,-18,26
1.3896,46.6628,80,-43,-55,13,-34.2,159,41
1.3796,-9.6172,50,-10,-23,-9,0.2,88,-72
1.3683,-61.2258,54,-10,-28,2,6.3,84,-78
1.4233,58.3131,48,7,-31,-38,-28.4,65,-166
1.435,17.8403,81,-14,-23,-1,-12.0,60,-18
1.4779,18.235,38,45,-34,17,-45.6,-149,-151
1.4687,-41.7531,40,-10,-21,-1,1.6,99,-76
1.4875,-30.3281,117,8,-3,-14,15.0,-7,-10
1.5658,58.4367,20,-19,-19,-1,-8.0,271,30
1.5333,9.7147,90,-7,0,-14,11.9,20,-13
1.5796,-49.075,26,-58,-38,-16,5.3,575,-37
1.6083,42.7525,123,-27,-48,2,-31.8,78,-1
1.6037,-18.0381,168,-10,-2,-15,13.6,16,1
1.57,-64.2403,201,-23,-4,-31,17.2,28,23
1.6529,29.0214,14,-15,-22,-10,-6.9,381,-178
1.6646,-24.6208,140,37,-31,-7,7.6,-25,-69
1.6954,-4.35,110,-4,-50,-23,-0.2,59,-88
1.7083,-23.1075,39,-11,-15,-10,6.5,97,-47
1.7817,-15.85,99,-24,-27,4,-12.2,70,-23
1.8262,7.7033,102,1,9,-15,17.2,-5,-6
1.8437,-25.3564,49,-27,-49,-18,8.4,213,-133
1.8058,-76.7308,84,-16,-30,-19,23.0,78,-5
1.8671,-56.0114,134,-46,-9,-14,-0.9,74,24
1.9183,39.0347,104,45,-7,-13,-17.6,-68,-58
1.9296,37.1853,95,-2,-4,-8,0.7,11,-16
1.9667,55.5769,46,-39,-19,-6,1.4,201,8
1.9058,-45.1194,122,12,-60,0,14.6,29,-98
1.9075,-51.9547,98,-64,0,14,-33.4,114,38
1.8946,-60.6417,84,16,-46,-37,56.2,34,-53
2.0192,53.7961,102,-5,-56,-29,-42.5,73,-63
2.0008,-7.5444,94,5,7,30,-25.4,-29,29
2.0679,-14.8244,28,3,2,-7,7.7,-14,-10
2.1471,53.2539,114,-32,-37,-6,-18.1,85,-3
2.1254,52.3364,70,-22,-17,4,-6.2,80,25
2.1183,34.9344,79,-36,-23,-1,-5.7,114,10
2.1071,6.6167,40,-14,-7,-4,1.3,85,-3
2.1058,-21.4086,35,-22,-5,-4,1.2,137,35
2.115,-24.0936,132,-28,-9,-2,-3.0,46,9
2.1704,36.6269,33,28,-10,-8,-15.2,-115,-124
2.2383,66.4564,32,6,-66,-8,-60.8,178,2
2.1463,-66.4169,85,-76,14,-2,-36.2,149,79
2.1921,-34.7942,96,-8,2,20,-20.9,6,7
2.2942,59.1497,17,-40,-8,-22,12.6,523,-180
2.2354,12.8042,78,-8,-10,-18,8.7,38,-38
2.2017,-47.0606,121,-38,-50,-6,5.9,100,-45
2.2679,19.9244,115,-13,11,0,11.3,11,21
2.2483,-39.7369,55,-28,-15,15,-19.4,112,-17
2.2925,44.7217,128,-17,-31,-20,-13.9,53,-33
2.2608,-35.0917,139,-21,-18,13,-16.3,37,-13
2.3154,25.2819,45,-21,-28,-34,5.0,173,-149
2.3308,17.5339,52,21,-40,-1,-31.4,3,-131
2.3671,19.1156,73,-78,-59,13,-31.0,269,29
2.3375,-27.9878,69,-19,-16,-12,7.7,78,-17
2.3471,-41.0444,84,-23,-74,-2,6.0,137,-137
2.4633,8.4531,51,-12,0,-15,13.9,54,-10
2.4229,-37.3147,130,35,2,9,-1.4,-53,-24
2.4583,-33.7889,58,36,-29,-4,11.3,-62,-150
2.4521,-40.8928,72,-20,-59,-12,14.3,138,-118
2.47,-50.2678,53,26,4,-4,11.1,-96,-19
2.5104,-63.2967,104,25,-2,17,-2.9,-47,-39
2.6,58.4894,96,49,3,4,-20.1,-99,-10
2.6096,-14.4522,108,-18,-38,-15,3.5,69,-52
2.5183,-79.0017,90,1,-11,-6,11.2,13,-4
2.6229,15.2317,77,33,-5,-8,-4.6,-70,-63
2.6629,12.82,64,-14,12,-29,32.3,39,-17
2.6696,2.0553,55,-1,13,-12,17.0,-13,17
2.695,37.4739,113,-22,-20,8,-11.8,51,16
2.7333,48.1103,61,-43,-22,-8,1.2,169,0
2.6604,-73.2242,66,-41,-6,-1,-14.0,123,20
2.8158,-15.4678,19,19,-13,-18,14.9,-83,-271
2.8517,23.8181,54,3,11,5,4.1,-34,32
2.825,-32.8003,66,35,15,-8,14.0,-116,-9
2.8967,-3.0778,71,-40,-35,8,-19.8,150,-12
2.9017,-23.6322,107,-25,-13,-2,-2.1,55,1
2.8783,-49.6292,48,12,-5,0,4.9,-39,-38
2.9404,27.51,92,5,-11,-6,-6.8,5,-27
2.92,-9.7028,141,-55,-40,-6,-6.8,101,-11
2.9333,-35.1331,22,-25,3,16,-21.1,169,115
2.8875,-58.9097,59,-68,-35,-7,-4.8,273,-5
2.9587,28.4233,78,26,23,16,0.6,-96,36
2.8988,-57.4725,36,-7,-30,-20,26.1,136,-68
3.0058,28.6064,92,33,-44,-11,-38.8,-14,-92
3.1179,20.2342,51,-30,-61,21,-48.5,216,-21
3.2,46.0953,55,-18,-16,-6,-4.8,93,-15
3.1367,-30.8597,47,29,-42,-12,16.0,-15,-224
3.25,12.3308,169,-36,-21,-7,0.2,53,-2
3.2092,-57.9125,20,9,8,-1,1.0,-118,36
3.3262,-20.6186,94,-35,9,-27,25.2,67,48
3.3233,-23.7325,90,-8,-3,-19,17.5,26,1
3.2917,-43.065,68,-22,-9,7,-10.5,71,-1
3.3783,41.0353,35,35,-18,-10,-25.8,-123,-146
2.7879,-87.4142,96,-14,-2,-3,-3.9,31,6
3.4437,64.8647,107,-39,-11,-1,9.5,78,9
3.3787,-40.3581,33,-18,-4,-15,11.2,123,50
3.5117,44.5119,122,-33,-12,4,2.1,59,18
3.5183,-11.3114,42,-54,-79,1,-24.6,424,-191
3.5542,35.4181,74,-4,3,1,3.3,6,10
3.5375,26.2586,111,-19,-30,-8,-11.9,60,-24
3.4708,-56.9994,70,-42,1,3,-17.4,107,44
3.5983,43.8458,91,7,-2,11,-8.0,-16,19
3.5425,-7.1989,46,-12,-24,-5,-3.2,105,-68
3.4708,-74.6881,44,-9,-20,-2,8.8,83,-45
3.5867,-21.1969,55,46,-46,10,-13.6,-74,-234
3.5842,-27.5314,49,24,-27,-34,34.8,-14,-152
