#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-21T07:31:42 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51eb8df12195	
#INFO	-out.max=9999	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=9999
#-nav=cat:J/A+A/505/117&tab:{J/A+A/505/117/stars}&key:source=J/A+A/505/117&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/505/117/stars
#-order=I
#-out=NGC
#-out=[FeI/H]
#-out=e_[FeI/H]
#-out=[O/Fe]
#-out=e_[O/Fe]
#-out=l_[Na/Fe]
#-out=[Na/Fe]
#-out=e_[Na/Fe]
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35050117
#Name: J/A+A/505/117
#Title: Abundances of red giants in 15 globular clusters (Carretta+, 2009)
#Table	J_A_A_505_117_stars:
#Name: J/A+A/505/117/stars
#Title: ID, positions, magnitudes, RVs, atmospheric parameters and abundances for stars in 15 GCs {\em(tables 2, 3 and 6 of paper)}
#Column	NGC	(I4)	NGC number	[ucd=meta.id.parent]
#Column	[FeI/H]	(F6.3)	? [FeI/H] abundance	[ucd=phys.abund]
#Column	e_[FeI/H]	(F6.3)	? rms uncertainty on [FeI/H]	[ucd=stat.error;phys.abund]
#Column	[O/Fe]	(F6.3)	? [O/Fe] abundance	[ucd=phys.abund]
#Column	e_[O/Fe]	(F6.3)	? rms uncertainty on [Na/Fe]	[ucd=stat.error;phys.abund]
#Column	l_[Na/Fe]	(A1)	Limit flag on [Na/Fe]	[ucd=meta.code.error;phys.abund]
#Column	[Na/Fe]	(F6.3)	? [Na/Fe] abundance	[ucd=phys.abund]
#Column	e_[Na/Fe]	(F6.3)	? rms uncertainty on [Na/Fe]	[ucd=stat.error;phys.abund]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#NGC|[FeI/H]|e_[FeI/H]|[O/Fe]|e_[O/Fe]|l_[Na/Fe]|[Na/Fe]|e_[Na/Fe]|RAJ2000|DEJ2000
# |[Sun]|[Sun]|[Sun]|[Sun]| |[Sun]|[Sun]|"h:m:s"|"d:m:s"
#----|------|------|------|------|-|------|------|------------|------------
 104|-0.775| 0.131| 0.395| 0.069| | 0.175| 0.011|00 24 07.423|-71 56 56.67
 104|-0.770| 0.159|-0.207| 9.999| | 0.615| 0.078|00 25 00.617|-71 55 58.66
 104|-0.737| 0.106|      | 9.999| | 0.440| 0.062|00 24 40.034|-71 55 45.03
 104|-0.800| 0.198| 0.430| 9.999| | 0.249| 0.135|00 23 18.186|-72 11 51.64
 104|-0.711| 0.137| 0.189| 0.002| | 0.489| 0.072|00 23 09.787|-72 11 18.38
 104|-0.792| 0.136| 0.092| 0.018| | 0.697| 0.037|00 24 16.877|-72 11 49.47
 104|-0.747| 0.155| 0.286| 9.999| | 0.423| 0.166|00 21 49.909|-72 11 02.20
 104|-0.831| 0.118| 0.206| 9.999| | 0.215| 0.022|00 23 01.589|-72 11 00.88
 104|-0.731| 0.082|      | 9.999| | 0.307| 0.066|00 22 30.472|-72 10 43.33
 104|-0.743| 0.114| 0.232| 0.069| | 0.421| 0.063|00 21 34.421|-72 08 53.44
 104|-0.739| 0.147| 0.126| 9.999| | 0.426| 0.022|00 23 10.025|-72 09 48.87
 104|-0.738| 0.107| 0.184| 0.043| | 0.438| 0.111|00 24 02.176|-72 10 15.45
 104|-0.781| 0.157|      | 9.999| | 0.526| 0.138|00 26 34.994|-72 06 44.49
 104|-0.733| 0.117|-0.036| 9.999| | 0.597| 0.003|00 26 18.378|-72 06 36.99
 104|-0.725| 0.175| 0.247| 9.999| | 0.256| 0.097|00 22 52.460|-72 08 55.64
 104|-0.721| 0.096| 0.340| 0.062| | 0.334| 0.108|00 24 34.688|-72 09 24.23
 104|-0.736| 0.181| 0.288| 0.057| | 0.435| 0.044|00 25 05.170|-72 09 06.05
 104|-0.700| 0.154| 0.058| 9.999| | 0.497| 0.150|00 24 23.287|-72 09 04.78
 104|-0.725| 0.113| 0.345| 9.999| | 0.327| 0.131|00 26 28.877|-72 04 42.10
 104|-0.719| 0.085| 0.151| 9.999| | 0.396| 0.133|00 26 01.695|-72 04 42.05
 104|-0.757| 0.103| 0.140| 9.999| | 0.314| 0.069|00 24 27.980|-72 08 48.58
 104|-0.795| 0.103| 0.152| 9.999| | 0.401| 0.131|00 24 40.461|-72 08 37.07
 104|-0.757| 0.119| 0.168| 0.080| | 0.524| 0.136|00 23 28.285|-72 07 57.96
 104|-0.735| 0.109| 0.415| 0.096| | 0.267| 0.183|00 23 48.817|-72 08 35.97
 104|-0.722| 0.079|-0.027| 9.999| | 0.567| 0.077|00 24 13.927|-72 08 31.58
 104|-0.753| 0.183|      | 9.999| | 0.393| 0.073|00 23 16.150|-72 07 48.02
 104|-0.774| 0.127|      | 9.999| | 0.457| 0.067|00 24 45.062|-72 08 25.18
 104|-0.721| 0.158|      | 9.999| | 0.661| 0.154|00 23 55.015|-72 08 23.67
 104|-0.727| 0.162| 0.312| 0.111| | 0.349| 0.050|00 23 12.441|-72 07 25.17
 104|-0.743| 0.119| 0.282| 0.095| | 0.229| 0.061|00 22 15.314|-72 07 09.73
 104|-0.720| 0.127| 0.196| 9.999| | 0.404| 0.072|00 24 07.951|-72 07 53.59
 104|-0.700| 0.079| 0.370| 0.028| | 0.433| 0.021|00 25 13.285|-72 07 50.43
 104|-0.728| 0.164| 0.127| 0.104| | 0.481| 0.001|00 23 55.939|-72 07 48.92
 104|-0.749| 0.218| 0.207| 9.999| | 0.245| 0.098|00 23 37.920|-72 06 57.23
 104|-0.758| 0.104| 0.350| 0.053| | 0.356| 0.103|00 24 29.663|-72 07 37.77
 104|-0.666| 0.054| 0.248| 9.999| | 0.363| 0.092|00 24 52.397|-72 07 37.22
 104|-0.786| 0.114| 0.205| 0.077| | 0.402| 0.041|00 22 31.979|-72 06 48.99
 104|-0.810| 0.063| 0.060| 9.999| | 0.458| 0.034|00 22 17.503|-72 06 28.56
 104|-0.759| 0.122|-0.021| 9.999| | 0.665| 0.086|00 23 54.811|-72 07 17.89
 104|-0.692| 0.120|      | 9.999| | 0.389| 0.069|00 23 57.161|-72 07 14.98
 104|-0.750| 0.173| 0.154| 9.999|<| 0.341| 0.035|00 24 25.069|-72 07 08.00
 104|-0.675| 0.148|-0.072| 0.106| | 0.488| 0.148|00 24 36.416|-72 07 01.52
 104|-0.753| 0.173| 0.239| 0.035| | 0.332| 0.122|00 25 47.018|-71 59 03.50
 104|-0.729| 0.123|-0.021| 9.999| | 0.538| 0.122|00 23 54.288|-72 06 55.94
 104|-0.748| 0.170| 0.187| 9.999| | 0.371| 0.132|00 23 36.985|-72 05 58.24
 104|-0.785| 0.137| 0.026| 9.999| | 0.649| 0.055|00 23 30.706|-72 05 55.33
 104|-0.769| 0.138| 0.294| 0.040| | 0.529| 0.132|00 23 56.996|-72 06 48.66
 104|-0.767| 0.154| 0.236| 9.999| | 0.453| 0.130|00 23 49.662|-72 06 48.22
 104|-0.734| 0.188|-0.027| 0.024|<| 0.478| 0.127|00 24 26.662|-72 06 43.34
 104|-0.762| 0.077|      | 9.999| | 0.663| 0.144|00 25 04.269|-72 06 39.87
 104|-0.778| 0.156|      | 9.999| | 0.473| 0.077|00 23 17.536|-72 05 34.42
 104|-0.775| 0.098| 0.152| 0.073| | 0.528| 0.074|00 23 51.069|-72 06 37.07
 104|-0.779| 0.097| 0.107| 9.999| | 0.445| 0.123|00 24 07.264|-72 06 29.19
 104|-0.762| 0.155|      | 9.999| | 0.566| 0.075|00 23 20.972|-72 05 18.25
