#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-01-10T05:27:37 [V1.97 (28-Nov-2012)]
#   In case of problem  please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ50ee50e47802	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ _DEJ
#-sort=_r
#-nav=cat:J/A+A/505/139&tab:{J/A+A/505/139/stars}&key:source=J/A+A/505/139/stars&HTTPPRM:&-ref=VIZ50ee50e47802&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ _DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/505/139/stars
#-order=I
#-out=NGC
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Kmag
#-out=HRV
#-out=Teff
#-out=logg
#-out=[A/H]
#-out=vt
#-out=[FeI/H]
#-out=l_[O/Fe]
#-out=[O/Fe]
#-out=[Na/Fe]
#-out=[Mg/Fe]
#-out=[Al/Fe]
#-out=[Si/Fe]
#

#RESOURCE=yCat_35050139
#Name: J/A+A/505/139
#Title: Abundances of red giants in 17 globular clusters (Carretta+  2009)
#Table	J_A_A_505_139_stars:
#Name: J/A+A/505/139/stars
#Title: ID  positions  magnitudes  RVs  atmospheric parameters and abundances for stars in 17 GCs {\em(tables 3  4 and 9 of paper; error fixed on 2011-07-06)}
#Column	_RAJ2000	(F10.6)	Right ascension (FK5  Equinox=J2000.0) (computed by VizieR  not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5  Equinox=J2000.0) (computed by VizieR  not part of the original data)	[ucd=pos.eq.dec]
#Column	NGC	(I4)	NGC number \linkRole{mean errors}	[ucd=meta.id.parent]
#Column	ID	(I7)	Star ID	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right ascension (J2000.0)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000.0)	[ucd=pos.eq.dec;meta.main]
#Column	Bmag	(F6.3)	? Johnson B magnitude	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F6.3)	? Johnson V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Icmag	(F6.3)	? Cousins I magnitude	[ucd=phot.mag;em.opt.I]
#Column	Kmag	(F6.3)	? 2MASS K magnitude	[ucd=phot.mag;em.IR.K]
#Column	HRV	(F7.2)	Heliocentric radial velocity (in grating HR11)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	Gravity	[ucd=phys.gravity]
#Column	[A/H]	(F5.2)	Input metallicity	[ucd=phys.abund]
#Column	vt	(F5.2)	Microturbulent velocity	[ucd=phys.veloc]
#Column	[FeI/H]	(F6.3)	Metallicity [FeI/H]I	[ucd=phys.abund.Z]
#Column	l_[O/Fe]	(A1)	Limit flag on [O/Fe]	[ucd=meta.code.error;phys.abund]
#Column	[O/Fe]	(F6.3)	? [O/Fe] abundance	[ucd=phys.abund]
#Column	[Na/Fe]	(F6.3)	? [Na/Fe] abundance	[ucd=phys.abund]
#Column	[Mg/Fe]	(F6.3)	? [Mg/Fe] abundance	[ucd=phys.abund]
#Column	[Al/Fe]	(F6.3)	? [Al/Fe] abundance	[ucd=phys.abund]
#Column	[Si/Fe]	(F6.3)	? [Si/Fe] abundance	[ucd=phys.abund]
#_RAJ2000|_DEJ2000|NGC|ID|RAJ2000|DEJ2000|Bmag|Vmag|Icmag|Kmag|HRV|Teff|logg|[A/H]|vt|[FeI/H]|l_[O/Fe]|[O/Fe]|[Na/Fe]|[Mg/Fe]|[Al/Fe]|[Si/Fe]
#deg|deg| | |"h:m:s"|"d:m:s"|mag|mag|mag|mag|km/s|K|[cm/s2]|[Sun]|km/s|[Sun]| |[Sun]|[Sun]|[Sun]|[Sun]|[Sun]
#----------|----------|----|-------|------------|------------|------|------|------|------|-------|----|-----|-----|-----|------|-|------|------|------|------|------
006.070321|-72.197075| 104|   5270|00 24 16.877|-72 11 49.47|13.654|12.272|      | 8.838| -11.66|3999| 1.01|-0.77| 1.48|-0.772| | 0.122| 0.692| 0.550| 0.542| 0.429
005.979229|-72.139908| 104|  12272|00 23 55.015|-72 08 23.67|13.732|12.433|      | 9.122| -13.05|4061| 1.14|-0.75| 1.64|-0.747| | 0.270| 0.603| 0.573| 0.535| 0.429
006.305354|-72.130675| 104|  13795|00 25 13.285|-72 07 50.43|13.813|12.553|      | 9.431| -30.37|4183| 1.30|-0.83| 1.49|-0.832| | 0.359| 0.301| 0.502| 0.285| 0.384
005.633246|-72.113608| 104|  14583|00 22 31.979|-72 06 48.99|14.118|12.878|      | 9.831| -12.97|4231| 1.47|-0.68| 1.54|-0.684| | 0.344| 0.433| 0.545| 0.436| 0.417
006.267787|-72.111075| 104|  17657|00 25 04.269|-72 06 39.87|13.697|12.252|      | 8.628| -25.60|3992| 0.99|-0.84| 1.56|-0.844| |-0.068| 0.852| 0.496| 0.958| 0.364
005.837383|-72.088403| 104|  18623|00 23 20.972|-72 05 18.25|14.042|12.802|      | 9.671| -18.87|4202| 1.42|-0.77| 1.31|-0.773| | 0.123| 0.589| 0.467| 0.461| 0.366
005.871975|-72.080069| 104|  20002|00 23 29.274|-72 04 48.25|13.920|12.644|      | 9.464| -15.24|4142| 1.30|-0.71| 1.54|-0.714| | 0.279| 0.485| 0.527| 0.420| 0.403
006.006463|-72.083161| 104|  23821|00 24 01.551|-72 04 59.38|14.017|12.832|      |      | -11.90|4214| 1.44|-0.78| 1.38|-0.782| | 0.389| 0.441| 0.531| 0.530| 0.394
006.297900|-72.033767| 104|  34847|00 25 11.496|-72 02 01.56|13.781|12.463|      | 9.089| -23.09|4072| 1.16|-0.77| 1.53|-0.769| | 0.387| 0.446| 0.501| 0.456| 0.405
006.130813|-72.023706| 104|  36828|00 24 31.395|-72 01 25.34|13.963|12.702|      | 9.390| -27.81|4164| 1.34|-0.83| 1.47|-0.831| | 0.379| 0.425| 0.509| 0.456| 0.408
006.073371|-71.991936| 104|  41654|00 24 17.609|-71 59 30.97|13.852|12.585|      | 9.255| -27.85|4119| 1.25|-0.70| 1.69|-0.697| | 0.115| 0.604| 0.527| 0.660| 0.393
013.192683|-26.623794| 288| 200002|00 52 46.244|-26 37 25.66|14.400|12.609|      | 9.337| -49.16|4090| 0.66|-1.35| 1.74|-1.349| | 0.521| 0.407| 0.477| 0.509| 0.362
013.180362|-26.615781| 288| 200004|00 52 43.287|-26 36 56.81|14.429|12.910|      | 9.770| -49.37|4172| 0.85|-1.33| 1.88|-1.326| | 0.162| 0.867| 0.421| 0.570| 0.406
013.192725|-26.596956| 288| 200009|00 52 46.254|-26 35 49.04|14.774|13.509|      |10.622| -45.08|4335| 1.21|-1.37| 1.67|-1.372| | 0.249| 0.678| 0.433| 0.380| 0.397
013.162067|-26.592044| 288| 200011|00 52 38.896|-26 35 31.36|13.669|14.880|12.479|10.802| -48.74|4379| 1.28|-1.34| 1.59|-1.346| | 0.345| 0.135| 0.466| 0.373| 0.412
013.253371|-26.612142| 288| 200020|00 53 00.809|-26 36 43.71|15.070|13.952|      |11.229| -41.86|4456| 1.46|-1.30| 1.62|-1.296| | 0.446| 0.140| 0.408| 0.355| 0.354
013.237150|-26.580781| 288| 200021|00 52 56.916|-26 34 50.81|15.136|14.030|      |11.347| -45.02|4478| 1.52|-1.30| 1.44|-1.302| | 0.455| 0.099| 0.467| 0.309| 0.376
013.225017|-26.577989| 288| 200038|00 52 54.004|-26 34 40.76|14.474|15.491|13.393|11.870| -43.57|4599| 1.73|-1.21| 1.80|-1.208| | 0.256| 0.074| 0.481| 0.447| 0.350
013.168917|-26.637764| 288| 200050|00 52 40.540|-26 38 15.95|15.782|14.822|      |12.305| -45.37|4694| 1.92|-1.27| 1.54|-1.271| | 0.517| 0.102| 0.494| 0.286| 0.356
013.168525|-26.582161| 288| 200055|00 52 40.446|-26 34 55.78|14.882|15.870|13.859|12.416| -45.30|4711| 1.97|-1.35| 1.52|-1.345| | 0.168| 0.129| 0.465| 0.389| 0.315
013.243642|-26.515392| 288| 200061|00 52 58.474|-26 30 55.41|15.905|14.983|      |12.670| -48.01|4738| 2.09|-1.23| 1.54|-1.233| | 0.236| 0.311| 0.433| 0.360| 0.390
