# Rest wavelength;Transition; Element; Excitation Potential; Oscillator Strength; Vanderwaal Broadening; Measured Wavelength; Measured FWHM; Measured Trough; Measured Equivalent Width; Measured chi-sq; Measured Line Velocity; Detection Sigma; Abundance; Delta Abundance; Reduced Equivalent Width; Acceptable; Uncertain
3908.762; 24.0; Cr I; 1.004; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; nan; nan; nan; 0.0; 0.0; 0.0; False; False
4254.332; 24.0; Cr I; 0.0; -0.114; 0.0; 4254.32902727; 0.095347384846; 0.168725949771; 182.928161296; 1035.01067874; -0.209481423298; 6.92267511154; 0.0; 0.0; -4.36655080932; False; False
4274.8; 24.0; Cr I; 0.0; -0.22; 0.0; 4274.7850696; 0.114343350051; 0.175449736605; 171.65161616; 3811.56051431; -1.04707485621; 6.51077196825; 0.0; 0.0; -4.3962679039; False; False
4289.72; 24.0; Cr I; 0.0; -0.37; 0.0; 4289.7473845; 0.104294701884; 0.184845994343; 140.751902355; 49.0003380029; 1.91378821815; 15.1718547198; 0.0; 0.0; -4.48397467236; False; False
4337.566; 24.0; Cr I; 0.968; -1.112; 0.0; 4337.54579143; 0.0819990518871; 0.358979611803; 121.582864286; 224.659031199; -1.39672896394; 13.4775403165; 0.0; 0.0; -4.55237372562; False; False
4545.95; 24.0; Cr I; 0.94; -1.37; 0.0; 4545.93909775; 0.0806137441539; 0.500246510609; 102.906980241; 42.0; -0.718974137907; 4.46378772651; 4.33; 0.05; -4.65; True; False
4580.056; 24.0; Cr I; 0.941; -1.65; 0.0; 4580.0537511; 0.0863033801542; 0.451827533555; 117.039432016; 4135.65503477; -0.147203930767; 5.32521614499; 4.94; 0.53; -4.59; False; False
4600.752; 24.0; Cr I; 1.004; -1.26; 0.0; 4600.75399146; 0.0890092054274; 0.507745200558; 105.759450091; 42.0; 0.129766578922; 5.21154959004; 4.35; -0.06; -4.64; False; False
4616.137; 24.0; Cr I; 0.983; -1.19; 0.0; 4616.1148493; 0.0794845935127; 0.470608575403; 104.387755931; 5150.58134016; -1.43857200221; 9.67765388577; 4.22; -0.06; -4.65; True; False
4626.188; 24.0; Cr I; 0.968; -1.32; 0.0; 4626.16610083; 0.0763794644868; 0.485332320846; 96.7873429837; 5163.44600332; -1.41914632282; 13.1816746628; 4.15; -0.13; -4.68; True; False
