#recno|HD|Teff|logg|[Fe/H]|UVel|VVel|WVel|Rm|Zmax|ecc|logt9|Simbad|[C/Fe]|[N/Fe]|[O/Fe]|[O/Fe]n|[Na/Fe]|[Mg/Fe]|[Al/Fe]|[Si/Fe]|[S/Fe]|[K/Fe]|[Ca/Fe]|[Sc/Fe]|[Ti/Fe]|[V/Fe]|[Cr/Fe]|[Mn/Fe]|[Co/Fe]|[Ni/Fe]|[Cu/Fe]|[Zn/Fe]|[Sr/Fe]|[Yr/Fe]|[Ba/Fe]|[Zr/Fe]|[Ce/Fe]|[Nd/Fe]|[Eu/Fe]|_RA|_DE
# | |K|[cm/s2]|[Sun]|km/s|km/s|km/s|kpc|kpc| |[Gyr]| |[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|deg|deg
#--------|------|----|-----|-----|------|-----|-----|-----|------|------|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|---------|---------
       1|    70|5649| 4.37|-0.35| -16.7|-25.9|-29.5| 7.59| 0.241| 0.130|     |Simbad| 0.21|     | 0.29|-0.04| 0.02|-0.02| 0.08| 0.08|  0.10| 0.12| 0.08| 0.08| 0.01|-0.05| 0.01|-0.08| 0.02|-0.02|-0.03| 0.11|-0.12|-0.05|     |-0.10| 0.03|     | 0.08|001.42364|+58.31326
       2|   101|5826| 4.36|-0.29| -55.7|-28.8| 23.9| 7.67| 0.199| 0.220| 0.85|Simbad| 0.19|     | 0.24| 0.09| 0.01| 0.01| 0.04| 0.05|  0.12| 0.11| 0.02| 0.06|-0.01|-0.06|-0.02|-0.13| 0.01|-0.02|-0.11| 0.10|-0.01| 0.08| 0.00| 0.01| 0.05| 0.07|     |001.47812|+18.23500
       3|   153|5791| 3.80|-0.11|  18.3|-43.0|  9.9| 7.11| 0.075| 0.210| 0.56|Simbad| 0.28| 0.42| 0.40| 0.01| 0.11| 0.06| 0.15| 0.11|  0.21| 0.21| 0.00| 0.00|-0.03|-0.04| 0.01|-0.07| 0.00| 0.01|-0.03| 0.05|-0.02| 0.00|-0.03|-0.19|-0.16|-0.10| 0.01|001.60844|+42.75276
       4|   330|5775| 3.84|-0.27|  -4.1|-50.2|-21.8| 6.91| 0.171| 0.230| 0.58|Simbad| 0.33| 0.32| 0.35| 0.12| 0.05| 0.07| 0.09| 0.07|  0.12| 0.18| 0.02| 0.00|-0.03|-0.07|-0.03|-0.15|-0.03|-0.03|-0.07| 0.08|-0.02|-0.01| 0.01|-0.13|-0.07|-0.01| 0.00|002.01955|+53.79625
       5|   912|6011| 3.82|-0.26|  29.4| -5.5|  6.8| 8.26| 0.053| 0.100| 0.43|Simbad| 0.15|     | 0.43|     | 0.08| 0.09| 0.08| 0.08|  0.16| 0.34| 0.06|-0.03| 0.04|-0.05|-0.02|-0.17|-0.08|-0.03|-0.14| 0.00| 0.10| 0.07| 0.04| 0.02| 0.00|-0.06| 0.01|003.44388|+64.86487
       6|  2663|5982| 4.33|-0.41|  47.0|-11.9|-10.1| 8.13| 0.080| 0.160| 0.86|Simbad| 0.20|     | 0.30|     | 0.05| 0.07| 0.04| 0.04|  0.12| 0.22| 0.04| 0.01| 0.00|-0.05|-0.05|-0.18|-0.04|-0.03|-0.13| 0.07| 0.02| 0.01|     |-0.01|-0.01| 0.10|     |007.80379|+69.78526
       7|  3079|5892| 4.20|-0.19|  62.6|-48.2| 17.4| 7.18| 0.140| 0.290| 0.83|Simbad| 0.20| 0.43| 0.27|-0.07| 0.01|-0.03| 0.04| 0.03|  0.15| 0.12|-0.01| 0.02|-0.05|-0.03|-0.06|-0.13|-0.04|-0.05|-0.12| 0.06|-0.02|-0.01| 0.02|-0.09|-0.05| 0.03|-0.06|008.62380|+47.91554
       8|  3440|5830| 4.11|-0.36| -43.9|-16.6|  7.6| 7.96| 0.059| 0.160| 0.91|Simbad| 0.33| 0.25| 0.33|     | 0.03| 0.10| 0.11| 0.06|  0.15| 0.21| 0.03| 0.06| 0.03|-0.03|-0.03|-0.06|-0.03|-0.03|-0.04| 0.08|-0.11|-0.05|     |-0.16|-0.08| 0.03|-0.02|009.94686|+82.49376
       9|  3454|6058| 4.30|-0.58|  23.4| 14.4|-20.9| 8.98| 0.175| 0.090| 0.90|Simbad| 0.22|     | 0.36|     | 0.10| 0.11| 0.07| 0.07|  0.11| 0.28| 0.05| 0.05| 0.04| 0.04|-0.04|-0.13|-0.05|-0.03|-0.13| 0.08| 0.04|-0.06|-0.02|-0.05|-0.05|     | 0.21|009.48747|+47.40771
      10|  3532|6146| 3.98|-0.35|   4.5| -5.6| -5.8| 8.20| 0.043| 0.040| 0.59|Simbad| 0.14|     | 0.37|     | 0.05| 0.11| 0.04| 0.07|  0.06| 0.32| 0.08| 0.04| 0.03| 0.06|-0.02|-0.18| 0.00|-0.05|-0.15| 0.13| 0.08| 0.01| 0.01| 0.06| 0.09|     | 0.04|009.58847|+19.70500
