#recno|Group|HIP|[Fe/H]|Teff|logg|HRV|ULSR|VLSR|WLSR|Rm|e|Zmax|tau9|E_tau9|e_tau9|Pr|e_Pr|[FeI/H]|[C/H]|[O/H]|[Na/H]|[Mg/H]|[Al/H]|[Si/H]|[Ca/H]|[Sc/H]|[Ti/H]|[V/H]|[Cr/H]|[Mn/H]|[Co/H]|[Ni/H]|[Cu/H]|[Zn/H]|[Y/H]|[Ba/H]|[Ce/H]|[Nd/H]|[Eu/H]|_RA|_DE
# | | |Sun|K|[cm/s2]|km/s|km/s|km/s|km/s|kpc| |kpc|Gyr|Gyr|Gyr|%|%|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|deg|deg
#--------|----------------|------|-----|----|-----|------|------|----|----|------|-----|------|-----|----|----|--|--|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-------|-------|-------|---------|---------
       1|Thick disc      |  3086|-0.23|5697| 4.14| -29.2|-159.0| -50|  56|  8.55| 0.51|  0.70| 7.90| 2.4| 1.8|95| 1|-0.23| 0.14| 0.34| 0.08| 0.15| 0.17| 0.09| 0.04|-0.07| 0.04|     |-0.04|-0.18| 0.02|-0.03|-0.06| 0.14|-0.16|-0.15|   0.04|   0.14|   0.23|009.80527|+03.13392
       2|Thick disc      |  3185|-0.65|5344| 3.81| -45.3| -37.0| -84|  45|  6.20| 0.40|  0.43|11.30| 2.7| 2.2|87| 0|-0.65| 0.28| 0.51| 0.19| 0.40| 0.34| 0.25| 0.21| 0.19| 0.27| 0.04| 0.08|-0.19| 0.12| 0.04|-0.09| 0.14| 0.04|-0.06|   0.12|   0.34|   0.60|010.13670|-23.80488
       3|Thick disc      |  3441|-0.50|5723| 4.50|-108.3|  89.0| -66|  86|  7.08| 0.39|  1.13|     |    |    |96| 0|-0.50| 0.35| 0.56| 0.06| 0.32| 0.24| 0.18| 0.10| 0.24| 0.19| 0.06|-0.03|-0.32| 0.08| 0.05|-0.08| 0.23| 0.04|-0.09|   0.18|   0.26|   0.42|010.98788|-07.53360
       4|Thick disc      |  4039|-1.24|5803| 3.92|  -5.3|-116.0| -92|  46|  6.75| 0.52|  0.47|13.00| 2.6| 2.1|95| 1|-1.24|     | 0.71| 0.22| 0.30|-0.12| 0.15| 0.29|-0.13| 0.24|     | 0.07|-0.51| 0.28|-0.08|-0.48| 0.08| 0.05| 0.30|       |       |   0.88|012.95340|+74.47398
       5|Thick disc      |  4544|-0.87|5832| 4.51|-112.2| -33.0|-133| -74|  5.35| 0.61|  0.81|     |    |    |90| 6|-0.87| 0.26| 0.49| 0.09| 0.39| 0.24| 0.21| 0.11| 0.12| 0.22| 0.24|-0.09|-0.40| 0.13|     |-0.05| 0.08|-0.02|-0.14|       |   0.58|   0.53|014.54871|+80.11368
       6|Thick disc      |  5122|-0.62|5204| 3.80|   8.9| -93.0| -73|  48|  6.93| 0.42|  0.50|12.60| 3.0| 2.4|91| 2|-0.62| 0.44| 0.56| 0.11| 0.26| 0.30| 0.20| 0.12| 0.11| 0.18| 0.12|     |-0.22| 0.11| 0.05| 0.11| 0.09|-0.03|-0.16|  -0.02|   0.20|   0.40|016.42311|+87.31899
       7|Thick disc      |  5315|-0.47|5014| 3.45| -94.0|  59.0|-117|  44|  5.68| 0.56|  0.41| 8.80| 6.7| 3.8|96| 1|-0.47| 0.37| 0.51| 0.20| 0.46| 0.32| 0.23| 0.27| 0.22| 0.29| 0.17|     |-0.18| 0.12| 0.03| 0.14| 0.23| 0.07|-0.20|   0.08|   0.19|   0.43|016.99860|+01.99304
       8|Thick disc      |  5336|-0.86|5300| 4.67| -99.6| -31.0|-154| -27|  4.99| 0.72|  0.22|     |    |    |91| 1|-0.86| 0.49| 0.72| 0.13| 0.24| 0.30| 0.28| 0.22| 0.18| 0.26| 0.15|     |-0.23| 0.18| 0.12| 0.02| 0.16|-0.02|-0.23|   0.05|   0.14|   0.34|017.06831|+54.92034
       9|Thick disc      |  5775|-0.59|5547| 4.62|  81.8| -59.0| -97| -74|  6.10| 0.47|  0.90|     |    |    |96| 1|-0.59| 0.48| 0.79| 0.17| 0.32| 0.26| 0.28| 0.22| 0.29| 0.23| 0.25| 0.06|-0.16| 0.12| 0.04|     | 0.21| 0.22| 0.08|   0.07|       |   0.43|018.53017|-16.42639
      10|Thick disc      |  6159|-0.67|5653| 4.56|  -6.7| 148.0| -68| -40|  7.78| 0.52|  0.43|     |    |    |93| 9|-0.67| 0.42| 0.59| 0.10| 0.33| 0.23| 0.18| 0.12| 0.17| 0.20| 0.13|-0.04|-0.26| 0.06| 0.04| 0.03| 0.08|-0.01|-0.14|   0.22|   0.25|   0.46|019.74994|-08.93949
