# Wavelength SMH   Norris diff        
  3758.233   130.7 128    -2.699997   
  3759.291   110.2 108    -2.199997   
  3761.32    113.8 112    -1.800003   
  3787.88    93.1  87     -6.0999985  
  3805.343   34.8  41     6.200001    
  3807.14    60.2  64     3.7999992   
  3815.84    122.7 116    -6.699997   
  3820.425   152.8 157    4.199997    
  3825.881   134.0 134    0.0         
  3827.823   101.2 102    0.80000305  
  3829.355   125.3 136    10.699997   
  3845.468   39.7  38     -1.7000008  
  3849.967   89.8  90     0.19999695  
  3850.818   59.1  61     1.9000015   
  3852.573   27.7  25     -2.7000008  
  3856.372   107.8 109    1.199997    
  3859.911   152.4 153    0.6000061   
  3865.523   86.0  85     -1.0        
  3867.216   24.6  22     -2.6000004  
  3873.12    52.6  53     0.40000153  
  3878.018   95.1  94     -1.0999985  
  3878.573   141.5 150    8.5         
  3899.707   97.9  99     1.0999985   
  3902.946   84.3  87     2.699997    
  3905.523   137.8 143    5.199997    
  3913.461   70.3  76     5.699997    
  3917.181   43.6  39     -4.5999985  
  3920.258   92.7  92     -0.69999695 
  3922.912   95.4  100    4.5999985   
  3949.953   27.1  28     0.8999996   
  3989.76    20.5  23     2.5         
  3998.64    28.4  26     -2.3999996  
  4001.661   9.4   8      -1.3999996  
  4005.242   86.2  83     -3.199997   
  4012.396   38.5  34     -4.5        
  4021.866   24.1  26     1.8999996   
  4025.12    22.3  18     -4.299999   
  4028.338   10.7  14     3.3000002   
  4030.753   69.3  70     0.69999695  
  4033.062   54.0  56     2.0         
  4034.483   48.4  49     0.5999985   
  4045.812   128.4 130    1.6000061   
  4053.829   11.1  7      -4.1000004  
  4057.505   20.3  22     1.7000008   
  4062.441   16.9  17     0.10000038  
  4063.594   109.5 112    2.5         
  4067.271   10.7  11     0.3000002   
  4067.978   17.7  19     1.2999992   
  4071.738   104.0 102    -2.0        
  4076.629   19.8  21     1.2000008   
  4077.714   76.8  76     -0.80000305 
  4079.838   5.8   6      0.19999981  
  4114.445   8.5   9      0.5         
  4120.207   8.6   7      -1.6000004  
  4121.318   31.9  32     0.10000038  
  4132.058   79.0  83     4.0         
  4132.899   14.1  17     2.8999996   
  4134.678   31.2  30     -1.2000008  
  4136.998   11.6  13     1.3999996   
  4143.414   36.6  35     -1.5999985  
  4143.868   86.1  85     -1.0999985  
  4147.669   22.4  25     2.6000004   
  4154.498   24.0  28     4.0         
  4154.805   14.8  20     5.2         
  4156.799   21.6  25     3.3999996   
  4157.78    12.3  15     2.6999998   
  4158.793   6.7   7      0.3000002   
  4167.271   30.8  29     -1.7999992  
  4174.913   16.2  16     -0.20000076 
