#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2012-11-21T04:58:33 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to:   question@simbad.u-strasbg.fr
#
#
#Coosys J2000:  eq_FK5 J2000
#INFO   votable-version=1.91 (20-Jun-2012)  
#INFO   -ref=VIZ50ac5f124423    
#INFO   -out.max=unlimited  
#INFO   queryParameters=27  
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/505/117&tab:{J/A+A/505/117/stars}&key:source=J/A+A/505/117&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/505/117/stars
#-order=I
#-out=NGC
#-out=ID
#-out=Bmag
#-out=Vmag
#-out=Icmag
#-out=Kmag
#-out=RV11
#-out=RV13
#-out=Teff
#-out=[FeI/H]
#-out=e_[FeI/H]
#-out=[O/Fe]
#-out=e_[O/Fe]
#-out=l_[Na/Fe]
#-out=[Na/Fe]
#-out=e_[Na/Fe]
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35050117
#Name: J/A+A/505/117
#Title: Abundances of red giants in 15 globular clusters (Carretta+, 2009)
#Table  J_A_A_505_117_stars:
#Name: J/A+A/505/117/stars
#Title: ID, positions, magnitudes, RVs, atmospheric parameters and abundances for stars in 15 GCs {\em(tables 2, 3 and 6 of paper)}
#Column NGC (I4)    NGC number  [ucd=meta.id.parent]
#Column ID  (I7)    Star ID [ucd=meta.id;meta.main]
#Column Bmag    (F6.3)  Johnson B magnitude [ucd=phot.mag;em.opt.B]
#Column Vmag    (F6.3)  Johnson V magnitude [ucd=phot.mag;em.opt.V]
#Column Icmag   (F6.3)  ? Cousins I magnitude   [ucd=phot.mag;em.opt.I]
#Column Kmag    (F6.3)  ? 2MASS K magnitude [ucd=phot.mag;em.IR.K]
#Column RV11    (F7.2)  ? RV in grating HR11    [ucd=spect.dopplerVeloc;pos.heliocentric]
#Column RV13    (F7.2)  ? RV in grating HR13    [ucd=spect.dopplerVeloc;pos.heliocentric]
#Column Teff    (I4)    Effective temperature   [ucd=phys.temperature.effective]
#Column [FeI/H] (F6.3)  ? [FeI/H] abundance [ucd=phys.abund]
#Column e_[FeI/H]   (F6.3)  ? rms uncertainty on [FeI/H]    [ucd=stat.error;phys.abund]
#Column [O/Fe]  (F6.3)  ? [O/Fe] abundance  [ucd=phys.abund]
#Column e_[O/Fe]    (F6.3)  ? rms uncertainty on [Na/Fe]    [ucd=stat.error;phys.abund]
#Column l_[Na/Fe]   (A1)    Limit flag on [Na/Fe]   [ucd=meta.code.error;phys.abund]
#Column [Na/Fe] (F6.3)  ? [Na/Fe] abundance [ucd=phys.abund]
#Column e_[Na/Fe]   (F6.3)  ? rms uncertainty on [Na/Fe]    [ucd=stat.error;phys.abund]
#Column RAJ2000 (A12)   Right ascension (J2000.0)   [ucd=pos.eq.ra;meta.main]
#Column DEJ2000 (A12)   Declination (J2000.0)   [ucd=pos.eq.dec;meta.main]
NGC;ID;Bmag;Vmag;Icmag;Kmag;RV11;RV13;Teff;[FeI/H];e_[FeI/H];[O/Fe];e_[O/Fe];l_[Na/Fe];[Na/Fe];e_[Na/Fe];RAJ2000;DEJ2000
 ; ;mag;mag;mag;mag;km/s;km/s;K;[Sun];[Sun];[Sun];[Sun]; ;[Sun];[Sun];"h:m:s";"d:m:s"
----;-------;------;------;------;------;-------;-------;----;------;------;------;------;-;------;------;------------;------------
 104;   1389;14.855;13.847;      ;11.099;       ; -16.63;4568;-0.775; 0.131; 0.395; 0.069; ; 0.175; 0.011;00 24 07.423;-71 56 56.67
 104;   2608;13.654;12.250;      ; 8.617; -26.73; -26.97;3991;-0.770; 0.159;-0.207; 9.999; ; 0.615; 0.078;00 25 00.617;-71 55 58.66
 104;   2871;14.950;13.983;      ;11.321; -20.73;       ;4609;-0.737; 0.106;      ; 9.999; ; 0.440; 0.062;00 24 40.034;-71 55 45.03
 104;   4373;15.292;14.345;      ;11.978; -10.94; -11.51;4709;-0.800; 0.198; 0.430; 9.999; ; 0.249; 0.135;00 23 18.186;-72 11 51.64
 104;   5172;14.861;13.823;      ;11.292; -18.01; -18.48;4560;-0.711; 0.137; 0.189; 0.002; ; 0.489; 0.072;00 23 09.787;-72 11 18.38
 104;   5270;13.654;12.272;      ; 8.838;       ; -10.25;3999;-0.792; 0.136; 0.092; 0.018; ; 0.697; 0.037;00 24 16.877;-72 11 49.47
 104;   5277;14.079;12.894;      ; 9.767; -17.95; -18.34;4237;-0.747; 0.155; 0.286; 9.999; ; 0.423; 0.166;00 21 49.909;-72 11 02.20
 104;   5640;14.974;14.015;      ;12.030;  -8.37;  -9.04;4752;-0.831; 0.118; 0.206; 9.999; ; 0.215; 0.022;00 23 01.589;-72 11 00.88
 104;   6092;15.061;14.047;      ;11.540;  -4.12;       ;4627;-0.731; 0.082;      ; 9.999; ; 0.307; 0.066;00 22 30.472;-72 10 43.33
 104;   6808;14.861;13.878;      ;11.227; -10.90; -11.48;4577;-0.743; 0.114; 0.232; 0.069; ; 0.421; 0.063;00 21 34.421;-72 08 53.44
 104;   7711;15.102;14.122;      ;11.627; -11.93; -12.65;4649;-0.739; 0.147; 0.126; 9.999; ; 0.426; 0.022;00 23 10.025;-72 09 48.87
 104;   7904;15.048;14.081;      ;11.553; -26.90; -26.90;4637;-0.738; 0.107; 0.184; 0.043; ; 0.438; 0.111;00 24 02.176;-72 10 15.45
 104;   9163;14.467;13.392;      ;10.575; -10.63;       ;4418;-0.781; 0.157;      ; 9.999; ; 0.526; 0.138;00 26 34.994;-72 06 44.49
 104;   9268;15.441;14.514;      ;12.033;       ; -17.15;4752;-0.733; 0.117;-0.036; 9.999; ; 0.597; 0.003;00 26 18.378;-72 06 36.99
 104;   9518;14.614;13.522;      ;10.809; -15.10; -15.69;4463;-0.725; 0.175; 0.247; 9.999; ; 0.256; 0.097;00 22 52.460;-72 08 55.64
 104;   9717;14.922;13.905;      ;11.299;  -5.92;  -6.43;4585;-0.721; 0.096; 0.340; 0.062; ; 0.334; 0.108;00 24 34.688;-72 09 24.23
 104;  10397;15.176;14.185;      ;11.710;  -9.26;  -9.73;4666;-0.736; 0.181; 0.288; 0.057; ; 0.435; 0.044;00 25 05.170;-72 09 06.05
 104;  10496;15.068;14.096;      ;11.572; -24.75; -25.08;4641;-0.700; 0.154; 0.058; 9.999; ; 0.497; 0.150;00 24 23.287;-72 09 04.78
 104;  10994;14.893;13.889;      ;11.209; -19.35; -19.62;4580;-0.725; 0.113; 0.345; 9.999; ; 0.327; 0.131;00 26 28.877;-72 04 42.10
 104;  11008;15.164;14.181;      ;11.588; -15.30; -15.79;4665;-0.719; 0.085; 0.151; 9.999; ; 0.396; 0.133;00 26 01.695;-72 04 42.05
 104;  11169;15.180;14.207;      ;11.745; -12.41; -13.18;4672;-0.757; 0.103; 0.140; 9.999; ; 0.314; 0.069;00 24 27.980;-72 08 48.58
 104;  11675;15.452;14.515;      ;12.158;  -0.54;  -1.23;4752;-0.795; 0.103; 0.152; 9.999; ; 0.401; 0.131;00 24 40.461;-72 08 37.07
 104;  11709;14.760;13.706;      ;11.034; -13.71; -14.15;4523;-0.757; 0.119; 0.168; 0.080; ; 0.524; 0.136;00 23 28.285;-72 07 57.96
 104;  11756;15.445;14.503;      ;12.070; -12.37; -12.85;4749;-0.735; 0.109; 0.415; 0.096; ; 0.267; 0.183;00 23 48.817;-72 08 35.97
 104;  11927;14.461;13.366;      ;10.538; -21.04; -21.37;4409;-0.722; 0.079;-0.027; 9.999; ; 0.567; 0.077;00 24 13.927;-72 08 31.58
 104;  12128;14.078;12.826;      ; 9.713;  -9.17;       ;4212;-0.753; 0.183;      ; 9.999; ; 0.393; 0.073;00 23 16.150;-72 07 48.02
 104;  12186;13.805;12.472;      ; 9.102; -29.81; -29.84;4076;-0.774; 0.127;      ; 9.999; ; 0.457; 0.067;00 24 45.062;-72 08 25.18
 104;  12272;13.732;12.433;      ; 9.122; -11.96;       ;4061;-0.721; 0.158;      ; 9.999; ; 0.661; 0.154;00 23 55.015;-72 08 23.67
 104;  13047;14.445;13.328;      ;10.486;  -9.03;  -9.69;4396;-0.727; 0.162; 0.312; 0.111; ; 0.349; 0.050;00 23 12.441;-72 07 25.17
 104;  13668;14.906;13.874;      ;11.293; -14.82; -15.33;4576;-0.743; 0.119; 0.282; 0.095; ; 0.229; 0.061;00 22 15.314;-72 07 09.73
 104;  13718;15.484;14.544;      ;12.072; -21.24; -21.18;4759;-0.720; 0.127; 0.196; 9.999; ; 0.404; 0.072;00 24 07.951;-72 07 53.59
 104;  13795;13.813;12.553;      ; 9.431;       ; -28.88;4183;-0.700; 0.079; 0.370; 0.028; ; 0.433; 0.021;00 25 13.285;-72 07 50.43
 104;  13939;15.171;14.213;      ;11.721;       ; -21.39;4674;-0.728; 0.164; 0.127; 0.104; ; 0.481; 0.001;00 23 55.939;-72 07 48.92
 104;  14262;15.296;14.371;      ;11.978; -26.16; -26.45;4716;-0.749; 0.218; 0.207; 9.999; ; 0.245; 0.098;00 23 37.920;-72 06 57.23
 104;  14487;15.467;14.526;      ;12.088; -15.74; -16.29;4754;-0.758; 0.104; 0.350; 0.053; ; 0.356; 0.103;00 24 29.663;-72 07 37.77
 104;  14496;15.471;14.521;      ;12.056;       ; -30.10;4753;-0.666; 0.054; 0.248; 9.999; ; 0.363; 0.092;00 24 52.397;-72 07 37.22
 104;  14583;14.118;12.878;      ; 9.831;       ; -11.90;4231;-0.786; 0.114; 0.205; 0.077; ; 0.402; 0.041;00 22 31.979;-72 06 48.99
 104;  15451;15.167;14.170;      ;11.655;       ; -13.38;4662;-0.810; 0.063; 0.060; 9.999; ; 0.458; 0.034;00 22 17.503;-72 06 28.56
 104;  15552;14.747;13.693;      ;10.962;  -9.79; -10.29;4519;-0.759; 0.122;-0.021; 9.999; ; 0.665; 0.086;00 23 54.811;-72 07 17.89
 104;  15695;15.334;14.383;      ; 0.000; -26.63;       ;4719;-0.692; 0.120;      ; 9.999; ; 0.389; 0.069;00 23 57.161;-72 07 14.98
 104;  16089;15.350;14.438;      ; 0.000;       ;  -6.43;4733;-0.750; 0.173; 0.154; 9.999;<; 0.341; 0.035;00 24 25.069;-72 07 08.00
 104;  16462;15.068;14.074;      ;11.492; -14.89; -15.68;4635;-0.675; 0.148;-0.072; 0.106; ; 0.488; 0.148;00 24 36.416;-72 07 01.52
 104;  16597;15.213;14.255;      ;11.651; -23.29; -23.56;4685;-0.753; 0.173; 0.239; 0.035; ; 0.332; 0.122;00 25 47.018;-71 59 03.50
 104;  16777;14.929;13.922;      ;11.331;  -8.60;  -9.33;4590;-0.729; 0.123;-0.021; 9.999; ; 0.538; 0.122;00 23 54.288;-72 06 55.94
 104;  16829;15.400;14.459;      ;12.105;  -1.66;  -2.38;4738;-0.748; 0.170; 0.187; 9.999; ; 0.371; 0.132;00 23 36.985;-72 05 58.24
 104;  16957;15.042;14.043;      ;11.484;       ;  -7.44;4626;-0.785; 0.137; 0.026; 9.999; ; 0.649; 0.055;00 23 30.706;-72 05 55.33
 104;  17193;13.925;12.689;      ; 9.462;  -8.60;  -9.09;4159;-0.769; 0.138; 0.294; 0.040; ; 0.529; 0.132;00 23 56.996;-72 06 48.66
 104;  17238;15.390;14.470;      ;12.102;  -8.86;  -9.19;4741;-0.767; 0.154; 0.236; 9.999; ; 0.453; 0.130;00 23 49.662;-72 06 48.22
 104;  17526;15.408;14.481;      ;12.094;  -9.44; -10.10;4743;-0.734; 0.188;-0.027; 0.024;<; 0.478; 0.127;00 24 26.662;-72 06 43.34
 104;  17657;13.697;12.252;      ; 8.628; -24.12;       ;3992;-0.762; 0.077;      ; 9.999; ; 0.663; 0.144;00 25 04.269;-72 06 39.87
 104;  17885;14.593;13.535;      ;10.806;  -7.44;       ;4467;-0.778; 0.156;      ; 9.999; ; 0.473; 0.077;00 23 17.536;-72 05 34.42
 104;  17926;14.340;13.216;      ;10.269; -12.77; -13.18;4356;-0.775; 0.098; 0.152; 0.073; ; 0.528; 0.074;00 23 51.069;-72 06 37.07
 104;  18374;15.109;14.163;      ;11.629; -15.83; -16.36;4660;-0.779; 0.097; 0.107; 9.999; ; 0.445; 0.123;00 24 07.264;-72 06 29.19
 104;  18623;14.042;12.802;      ; 9.671; -16.53;       ;4202;-0.762; 0.155;      ; 9.999; ; 0.566; 0.075;00 23 20.972;-72 05 18.25
 104;  18676;15.416;14.484;      ;12.020; -17.19;       ;4744;-0.758; 0.126;      ; 9.999; ; 0.370; 0.010;00 24 46.457;-72 06 23.89
