Name1   Name2   RA  Dec V   $T_{\rmeff}$   logg   $\xi _{\rmt}$  Macro   FeI    FeII   FeaO   Na  Mg  Al
NGC 6752-mg0    PD1 19:10:58    -59:58:07   10.70   3928    0.26    2.7 5.00    5.85    6.00    5.88    7.22    5.36    6.42    5.91
NGC 6752-mg1    B1630   19:11:11    -59:59:51   10.73   3900    0.24    2.7 4.75    5.87    6.05    5.90    7.53    5.09    6.42    5.65
NGC 6752-mg2    B3589   19:10:32    -59:57:01   10.94   3894    0.33    2.5 6.00    5.87    6.09    5.91    7.63    4.91    6.44    5.60
NGC 6752-mg3    B1416   19:11:17    -60:03:10   10.99   4050    0.50    2.2 5.50    5.89    5.94    5.90    7.54    4.93    6.46    5.60
NGC 6752-mg4    ... 19:10:43    -59:59:54   11.02   4065    0.53    2.2 5.50    5.89    5.96    5.90    7.45    5.00    6.43    5.73
NGC 6752-mg5    PD2 19:10:49    -59:59:34   11.03   4100    0.56    2.1 5.00    5.90    5.96    5.91    7.50    5.04    6.48    5.57
NGC 6752-mg6    B2113   19:11:03    -60:01:43   11.22   4154    0.68    2.1 4.50    5.90    5.94    5.91    7.68    4.85    6.51    5.40
NGC 6752-mg8b   ... 19:10:38    -60:04:10   11.47   4250    0.80    2.0 5.00    5.82    5.84    5.82    7.39    4.97    6.38    5.57
NGC 6752-mg9    B3169   19:10:40    -59:58:14   11.52   4288    0.91    1.9 5.00    5.87    5.86    5.87    7.51    4.96    6.44    5.60
NGC 6752-mg10   B2575   19:10:54    -59:57:14   11.54   4264    0.90    1.8 4.75    5.86    5.90    5.87    7.48    4.96    6.44    5.61
NGC 6752-mg12   ... 19:10:58    -59:57:04   11.59   4286    0.94    1.8 5.25    5.87    5.92    5.88    7.71    4.60    6.42    4.92
NGC 6752-mg15   B2196   19:11:01    -59:57:18   11.68   4354    1.02    1.9 5.25    5.90    5.89    5.90    7.47    5.02    6.48    5.55
NGC 6752-mg18   B1518   19:11:15    -60:00:29   11.83   4398    1.11    1.8 4.75    5.90    5.89    5.90    7.53    4.90    6.45    5.42
NGC 6752-mg21   B3805   19:10:28    -59:59:49   11.99   4429    1.20    1.8 5.25    5.90    5.92    5.90    7.08    5.28    6.38    6.01
NGC 6752-mg22   B2580   19:10:54    -60:02:05   11.99   4436    1.20    1.8 5.00    5.89    5.91    5.89    7.25    5.33    6.44    5.82
NGC 6752-mg24   B1285   19:11:19    -60:00:31   12.15   4511    1.31    1.9 5.00    5.88    5.84    5.87    7.69    4.59    6.43    4.95
NGC 6752-mg25   B2892   19:10:46    -59:56:22   12.23   4489    1.33    1.7 5.25    5.90    5.92    5.90    7.66    4.85    6.49    5.34
NGC 6752-702b   B702    19:11:31    -59:54:33   10.83   4050    0.50    2.1 5.50    5.90    5.98    5.92    ... 5.17    6.28    6.05
NGC 6752-708b   B708    19:11:31    -59:54:33   10.58   4050    0.25    2.2 11.00d  5.85    5.95    5.87    7.44    4.91    6.41    5.52
NGC 6752-A88b   A 88    19:10:40    -59:54:33   10.52   4080    0.55    2.4 5.50    5.88    5.95    5.90    7.46    5.01    6.38    5.95
