#Title: Sodium-oxygen anticorrelation and neutron capture elements in 
#       Omega Centauri stellar populations  
#Authors: Marino A.F., Milone A.P., Piotto G., Villanova S., Gratton R., 
#         D'Antona F., Anderson J., Bedin L.R., Bellini A., Cassisi S., 
#         Geisler D., Renzini A., Zoccali M. 
#Table: Coordinates RA and DEC, V magnitude, adopted atmospheric parameters 
#       and measured abundance ratios for the 300 stars in {Omega} Cen
#================================================================================
#Byte-by-byte Description of file: apj383801t1_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label    Explanations
#--------------------------------------------------------------------------------
#   1-  7 A7     ---     ID       Bellini et al. (2009) catalog identifier
#   9- 18 F10.6  deg     RAdeg    Right Ascension in decimal degrees (J2000)
#  20- 29 F10.6  deg     DEdeg    Declination in decimal degrees (J2000)
#  31- 36 F6.3   mag     Vmag     V band magnitude
#  38- 41 I4     K       Teff     Effective temperature
#  43- 46 F4.2   [cm/s2] log(g)   Log of the surface gravity
#  48- 51 F4.2   km/s    Vmicro   Microturbulent velocity
#  53- 57 F5.2   [-]     [Fe/H]   Log of the Fe/H number abundance
#  59- 63 F5.2   [-]     [O/Fe]   ? Log of the O/Fe number abundance
#  65- 69 F5.2   [-]     [Na/Fe]  ? Log of the Na/Fe number abundance
#  71- 75 F5.2   [-]     [Ba/Fe]  Log of the Ba/Fe number abundance
#  77- 81 F5.2   [-]     [La/Fe]  ? Log of the La/Fe number abundance
#--------------------------------------------------------------------------------
109369  201.818386 -47.549133 13.044 4544 1.44 1.70 -1.43  0.75 -0.14  0.56  0.00 
112383  201.834424 -47.534160 12.850 4359 1.24 1.65 -1.62  0.62  0.20  0.40  0.36 
114842  201.817052 -47.522465 12.927 4415 1.31 1.52 -1.90  0.39  0.23 -0.10  0.06 
116394  201.846235 -47.515000 13.777 4663 1.80 1.35 -1.71  0.10  0.30  0.24 -0.07 
119799  201.830431 -47.499341 14.023 4293 1.67 1.40 -0.71  0.14  0.84  0.38  0.58 
120847  201.807438 -47.494576 13.034 4343 1.31 1.55 -1.51  0.47  0.44  0.49  0.47 
121048  201.834524 -47.493559 13.781 4394 1.64 1.48 -1.16  0.69  0.20  0.54  0.53 
126851  201.854789 -47.466319 14.061 4274 1.67 1.55 -0.72  0.49  0.81  0.60  1.24 
131171  201.849422 -47.445934 13.760 4648 1.78 1.60 -1.85             -0.42       
131256  201.823805 -47.445611 13.407 4428 1.51 1.53 -1.34 -0.20  0.39  0.53  0.57 
135553  201.943507 -47.423762 12.683 4361 1.18 1.71 -1.61  0.51  0.18  0.09  0.28 
138268  201.849618 -47.409597 12.323 4227 0.94 1.82 -1.79  0.43 -0.22  0.45  0.49 
203735  201.757052 -47.585988 13.536 4552 1.64 1.60 -1.46  0.00  0.45  0.77  0.66 
206582  201.627089 -47.574434 12.096 4189 0.82 2.00 -1.69 -0.30  0.49  0.95  0.80 
206824  201.731465 -47.573174 11.832 3829 0.38 2.17 -1.56  0.53  0.10  0.39  0.34 
212584  201.711551 -47.551074 12.553 4054 0.90 1.80 -1.26  0.42 -0.29 -0.08 -0.17 
212943  201.669715 -47.549795 13.415 4624 1.63 1.69 -1.82        0.00  0.08  0.08 
214227  201.700979 -47.544814 12.909 4099 1.07 1.98 -1.16  0.21  1.08  1.24  1.05 
214842  201.755003 -47.542394 13.593 4124 1.37 1.80 -0.95  0.60  1.20  1.04  0.81 
215912  201.636970 -47.538646 12.421 4102 0.88 1.92 -1.54  0.60  0.08  0.57  0.58 
216985  201.751396 -47.534475 12.767 4323 1.19 1.74 -1.73  0.62 -0.05  0.02  0.21 
217039  201.727820 -47.534340 13.076 4411 1.37 1.49 -1.53  0.15  0.51  1.22  0.88 
217600  201.778680 -47.531941 11.846 4128 0.68 2.05 -1.85 -0.26  0.30  0.27  0.27 
217650  201.702652 -47.531918 13.277 4248 1.34 1.31 -1.73  0.21  0.43  0.48  0.28 
218472  201.737407 -47.528727 12.535 4302 1.08 1.66 -1.91  0.59  0.10 -0.20  0.05 
222357  201.670820 -47.514508 12.693 4292 1.13 1.95 -1.44  0.04  0.57  0.98  0.91 
223280  201.714621 -47.510955 13.005 4383 1.32 1.47 -1.46 -0.35  0.50  0.60  0.61 
223855  201.651740 -47.508848 12.626 4234 1.07 1.75 -1.49        0.51  0.96  0.73 
224162  201.764782 -47.507526 12.600 4293 1.10 1.77 -1.67  0.19  0.40  0.25  0.39 
224351  201.719377 -47.506923 13.391 4352 1.45 1.60 -1.28  0.18  0.90  1.06  0.96 
224515  201.786785 -47.506104 13.356 4557 1.57 1.38 -1.87  0.70        0.40  0.04 
225055  201.728754 -47.504144 12.389 4335 1.04 1.68 -1.82  0.28  0.10 -0.45 -0.16 
226236  201.700788 -47.499741 12.107 4143 0.79 2.03 -1.72  0.28  0.40  0.54  0.58 
226863  201.746159 -47.497203 12.389 4214 0.96 1.84 -1.69  0.20  0.39  0.41  0.38 
227198  201.688366 -47.495977 12.017 4480 0.99 2.15 -1.34  0.00  0.61  0.20  0.45 
229207  201.611755 -47.488308 13.386 4453 1.52 1.53 -1.44  0.34  0.33  0.40  0.48 
230588  201.601634 -47.483085 12.804 4320 1.20 1.73 -1.55  0.24  0.36  0.52  0.57 
230691  201.692097 -47.482543 11.730 4023 0.54 2.03 -1.95  0.40 -0.05 -0.43 -0.28 
230804  201.733506 -47.482011 13.418 4268 1.41 1.76 -1.16 -0.04  0.94  0.79  0.88 
231867  201.746699 -47.477878 12.851 4204 1.14 1.77 -1.42  0.76  0.21  0.59  0.67 
233742  201.730306 -47.470689 11.657 4202 0.66 2.27 -1.46        0.70  0.53  0.71 
233934  201.649379 -47.470115 12.845 4311 1.21 1.73 -1.43 -0.25  0.50  0.87  0.88 
234159  201.751327 -47.469066 13.626 4279 1.50 1.45 -1.27  1.01  0.34  0.80  0.64 
236180  201.751216 -47.461380 12.751 4072 0.99 1.91 -1.13  0.14  0.98  0.70  0.71 
236533  201.664978 -47.460204 13.771 4247 1.53 1.70 -0.97  0.04  1.00  0.58  0.76 
236599  201.630216 -47.460030 11.882 4061 0.64 2.05 -1.63 -0.19  0.50  0.54  0.54 
236988  201.752248 -47.458272 13.139 4383 1.37 1.45 -1.28 -0.24  0.65  0.69  0.52 
237123  201.703666 -47.457825 13.568 4128 1.36 1.72 -1.00  0.33  1.04  0.90  0.87 
237327  201.654249 -47.457171 12.925 4390 1.29 1.60 -1.46 -0.10  0.59  0.52  0.39 
239113  201.748366 -47.450304 12.744 4332 1.18 1.72 -1.70  0.73  0.02  0.21  0.24 
239444  201.639606 -47.449191 12.454 4214 0.98 1.97 -1.45 -0.35  0.64  0.80  0.83 
239529  201.704422 -47.448706 12.583 4298 1.10 1.72 -1.76  0.64  0.00  0.10  0.00 
239549  201.623229 -47.448759 13.423 4609 1.62 1.42 -1.59  0.19  0.62  0.45  0.30 
240754  201.647906 -47.444097 12.980 4381 1.31 1.67 -1.58  0.05  0.63  0.65  0.66 
241046  201.691673 -47.442939 12.657 4241 1.08 1.90 -1.59  0.63  0.13  0.54  0.67 
241447  201.727987 -47.441281 12.065 4184 0.81 2.04 -1.65  0.54  0.10  0.12  0.36 
243761  201.717443 -47.432801 12.790 4344 1.21 1.72 -1.58        0.50  0.55  0.50 
244640  201.639535 -47.429727 13.461 4514 1.58 1.37 -1.89        0.22  0.02       
244812  201.730474 -47.428860 12.262 4049 0.78 2.31 -1.40 -0.03  0.72  0.46  0.74 
245199  201.657013 -47.427474 12.868 4514 1.35 1.69 -1.74 -0.20  0.30  0.41  0.38 
245829  201.745989 -47.424944 13.444 4520 1.58 1.55 -1.73  0.58       -0.06  0.19 
245870  201.662287 -47.424971 12.975 4596 1.44 1.95 -1.74  0.61        0.65  0.51 
246239  201.701470 -47.423480 13.159 4406 1.40 1.67 -1.37 -0.25  0.62  0.95  0.72 
246259  201.636052 -47.423493 14.019 4339 1.70 1.65 -0.93  0.08  0.80  0.33  0.71 
246677  201.623965 -47.421791 13.473 4422 1.53 1.80 -1.23 -0.13  0.93  0.76  0.76 
246680  201.753165 -47.421539 12.679 4243 1.10 1.90 -1.44        0.81  0.63  0.85 
246861  201.706819 -47.421016 13.827 4276 1.58 1.70 -1.02  0.61  1.01  0.78  1.04 
248374  201.639805 -47.415550 13.506 4583 1.64 1.36 -1.83  0.47  0.17  0.12 -0.23 
248664  201.628407 -47.414446 12.873 4434 1.30 1.78 -1.69  0.39  0.20  0.00  0.34 
249427  201.754839 -47.411193 12.804 4399 1.25 1.71 -1.59 -0.35  0.43  1.17  1.07 
250606  201.778823 -47.406507 13.688 4265 1.51 1.43 -1.00  0.86  0.19  0.59  0.61 
252309  201.695477 -47.400135 14.012 4709 1.92 1.58 -1.67        0.10  0.02  0.10 
254800  201.632617 -47.390278 13.601 4691 1.74 1.42 -1.62  0.00  0.23 -0.01  0.01 
256506  201.732371 -47.383171 12.998 4402 1.33 1.62 -1.58  0.38  0.44  0.56  0.53 
258694  201.737003 -47.373753 14.241 4418 1.84 1.72 -1.00  0.19  1.03  0.87  0.85 
262451  201.665530 -47.356432 14.256 4886 2.11 1.00 -1.54             -0.07       
263340  201.711274 -47.351881 13.763 4300 1.57 1.50 -0.79  0.21  0.76  0.62  0.43 
263410  201.728755 -47.351467 12.537 4424 1.16 1.79 -1.82  0.40  0.00 -0.43 -0.09 
300029  201.494656 -47.602735 12.091 3893 0.56 2.42 -1.25  0.03  0.66  0.65  0.58 
303710  201.501708 -47.575241 12.553 3990 0.84 1.65 -1.34  0.64 -0.04  0.60  0.54 
305654  201.425709 -47.562175 13.429 4109 1.29 1.73 -0.81  0.22  1.11  0.90  0.85 
308639  201.438109 -47.543980 12.211 3969 0.68 2.05 -1.56              0.14  0.33 
320285  201.544593 -47.481104 13.200 4620 1.54 1.78 -1.60  0.33  0.20  0.43  0.63 
321293  201.515987 -47.475759 13.723 4261 1.52 1.55 -0.92  0.11  0.91  0.58  0.65 
328201  201.576373 -47.440457 13.302 4447 1.48 1.59 -1.45  0.00  0.62  0.83  0.77 
509939  201.933557 -47.658310 12.218 4206 0.88 1.96 -1.70  0.56  0.29  0.04  0.23 
710087  201.551079 -47.634071 13.143 4591 1.50 2.25 -1.93  0.42       -0.72       
710121  201.456414 -47.633724 13.253 4484 1.48 1.67 -1.48  0.37  0.08  0.40  0.54 
100981  201.816749 -47.595915 12.021 4163 0.77 1.95 -1.95  0.38 -0.07 -0.50 -0.66 
108685  201.831443 -47.552575 12.538 4387 1.14 1.79 -1.94  0.44 -0.20 -0.69 -0.15 
110885  201.920344 -47.541237 12.537 4271 1.06 1.64 -1.46 -0.50  0.44  0.48  0.50 
112189  201.833568 -47.535065 12.487 4314 1.07 1.77 -1.89  0.42  0.00 -0.58 -0.38 
116584  201.827729 -47.514145 11.836 3920 0.49 2.26 -1.67  0.60  0.06  0.23  0.20 
117319  201.809081 -47.510831 12.401 4260 1.00 1.67 -1.86  0.36  0.10 -0.16 -0.13 
126361  201.848177 -47.468669 12.173 3788 0.46 1.45 -1.03  0.40 -0.13  0.58  0.24 
133985  201.934291 -47.432057 12.582 4391 1.16 1.60 -1.79  0.32 -0.42 -0.44 -0.21 
139870  201.900306 -47.400617 12.317 4257 0.96 1.98 -1.74 -0.40  0.49  1.00  1.08 
141747  201.824615 -47.389330 12.417 4350 1.06 1.80 -1.85        0.27  0.09  0.15 
143572  201.937511 -47.377869 12.083 4264 0.87 1.87 -1.92  0.39 -0.10 -0.64 -0.18 
146096  201.870352 -47.360932 11.917 4143 0.72 2.10 -1.70 -0.30  0.33  0.75  0.70 
146995  201.902822 -47.354268 12.183 4074 0.77 1.90 -1.90  0.50 -0.10 -0.18  0.10 
200041  201.666895 -47.602645 12.135 4209 0.85 1.89 -1.59 -0.60  0.37  0.27  0.48 
203839  201.713467 -47.585667 12.423 4371 1.08 1.73 -1.83 -0.30  0.35 -0.35 -0.04 
204087  201.655656 -47.584651 11.665 4018 0.51 2.25 -1.63  0.43  0.40  0.22  0.34 
208896  201.751406 -47.564878 12.266 4479 1.08 2.01 -1.75  0.25 -0.12 -0.85 -0.12 
209404  201.773314 -47.562780 11.893 3993 0.58 1.96 -1.74  0.47 -0.16 -0.18  0.16 
210517  201.698368 -47.558750 12.048 4082 0.72 2.10 -1.68  0.57  0.14  0.32  0.58 
211516  201.618528 -47.555148 12.079 4211 0.83 1.92 -1.92  0.34 -0.18 -0.62 -0.36 
215367  201.654890 -47.540681 12.428 4393 1.10 1.97 -1.93  0.15  0.18 -0.02  0.15 
216217  201.743349 -47.537334 12.357 4165 0.91 2.00 -1.65        0.44  0.36  0.63 
217134  201.619855 -47.534126 12.070 4302 0.89 2.21 -1.87  0.56  0.20  0.15  0.46 
217404  201.723054 -47.532859 11.963 4041 0.65 2.16 -1.52 -0.17  0.68  0.23  0.69 
218445  201.671424 -47.528951 12.518 4125 0.94 1.82 -1.54  0.50  0.27  0.36  0.54 
220325  201.713855 -47.521948 12.140 4052 0.73 1.90 -1.61  0.00  0.39  0.41  0.53 
222298  201.650527 -47.514798 12.297 4183 0.90 1.86 -1.58 -0.13  0.37  0.90  0.94 
223455  201.670683 -47.510356 11.974 3899 0.52 1.87 -1.45  0.11  0.56  0.44  0.43 
224500  201.648916 -47.506455 12.063 3963 0.62 1.90 -1.51  0.49 -0.05  0.36  0.37 
225246  201.672537 -47.503558 12.174 4212 0.87 1.88 -1.87  0.19  0.13 -0.15  0.07 
225658  201.754809 -47.501790 12.270 4199 0.90 2.28 -1.71  0.75  0.00  0.31  0.57 
227946  201.739353 -47.493055 12.255 4281 0.95 1.75 -1.81  0.03  0.26 -0.19 -0.04 
