#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-04-08T07:26:35 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ516270c82505	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/465/815&tab:{J/A+A/465/815/tablea}&key:source=J/A+A/465/815/tablea&HTTPPRM:&-ref=VIZ516270c82505&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&
#-source=J/A+A/465/815/tablea
#-order=I
#-out=Star
#-out=Ion
#-out=Lambda
#-out=loggf
#-out=r_loggf
#-out=EW
#-out=Abund
#

#RESOURCE=yCat_34650815
#Name: J/A+A/465/815
#Title: Abundances of Sgr dSph stars (Sbordone+, 2007)
#Table	J_A_A_465_815_tablea:
#Name: J/A+A/465/815/tablea
#Title: Equivalent widths and abundances
#Column	Star	(I4)	Star number (G1)	[ucd=meta.id;meta.main]
#Column	Ion	(A4)	Ion name	[ucd=phys.atmol.ionStage]
#Column	Lambda	(F8.4)	Line laboratory wavelength (2)	[ucd=em.wl;spect.line]
#Column	loggf	(F6.3)	line oscillator strength	[ucd=spect.line.intensity]
#Column	r_loggf	(A4)	References for employed loggf	[ucd=meta.ref;pos.frame]
#Column	EW	(F5.2)	? Equivalent width (3)	[ucd=spect.line.eqWidth]
#Column	Abund	(F5.2)	? Abundance	[ucd=phys.abund]
Star;Ion;Lambda;loggf;r_loggf;EW;Abund
 ; ;nm; ; ;pm;
----;----;--------;------;----;-----;-----
 432;OI  ;630.0304;-9.717;STZ ; 0.01; 8.03
 432;NaI ;568.2633;-0.700;KP  ;     ;
 432;NaI ;615.4227;-1.560;KP  ;     ;
 432;NaI ;616.0747;-1.260;KP  ;     ;
 432;MgI ;552.8405;-0.552;GC  ;     ;
 432;MgI ;571.1087;-1.729;GC  ; 7.98; 6.63
 432;MgI ;631.8716;-1.945;GC  ; 2.08; 6.65
 432;MgI ;631.9237;-2.165;GC  ;     ;
 432;AlI ;669.8673;-1.647;NBS ;     ;
 432;SiI ;577.2147;-1.750;GARZ;     ;
 432;SiI ;594.8541;-1.230;GARZ; 6.16; 6.81
 432;SiI ;612.5021;-1.540;ED  ; 1.80; 6.82
 432;SiI ;614.2482;-1.480;ED  ;     ;
 432;SiI ;614.5015;-1.430;ED  ; 1.39; 6.58
 432;SiI ;615.5134;-0.770;ED  ; 3.27; 6.42
 432;CaI ;551.2980;-0.447;SR  ;     ;
 432;CaI ;560.1277;-0.523;SR  ;     ;
 432;CaI ;585.7451; 0.240;SR  ;10.56; 5.52
 432;CaI ;586.7562;-1.490;GC  ; 1.49; 5.42
 432;CaI ;612.2217;-0.315;NIST;14.17; 5.45
 432;CaI ;615.6022;-2.180;NIST;     ;
 432;CaI ;616.1296;-1.266;SR  ; 5.98; 5.58
 432;CaI ;616.2174; 0.100;NBS ;     ;
 432;CaI ;616.6438;-1.142;SR  ; 6.75; 5.60
 432;CaI ;616.9042;-0.797;SR  ; 7.25; 5.36
 432;CaI ;616.9562;-0.270;NBS ;     ;
 432;CaI ;643.9075; 0.390;SR  ;13.16; 5.40
 432;CaI ;645.5597;-1.290;SR  ; 5.86; 5.57
 432;CaI ;649.3781;-0.109;SR  ;11.35; 5.54
 432;CaI ;649.9650;-0.818;SR  ; 7.69; 5.47
 432;CaI ;650.8850;-2.110;NBS ; 1.38; 5.38
 432;CaI ;679.8479;-2.320;K88 ;     ;
 432;ScII;552.6790; 0.130;MFW ; 8.28; 2.04
 432;ScII;632.0852;-1.770;NBS ;     ;
 432;TiI ;488.5078; 0.358;MFW ; 7.06; 4.12
 432;TiI ;491.5229;-1.019;MFW ;     ;
 432;TiI ;499.7097;-2.118;MFW ; 5.51; 3.88
 432;TiI ;508.7058;-0.780;MFW ;     ;
 432;TiI ;586.6450;-0.840;MFW ; 6.43; 4.03
 432;TiI ;612.6215;-1.425;MFW ; 3.45; 4.01
 432;VI  ;573.7059;-0.740;MFW ;     ;
 432;VI  ;613.5361;-0.746;MFW ;     ;
 432;VI  ;615.0157;-1.780;MFW ;     ;
 432;CrII;488.4607;-2.080;MFW ;     ;
 432;MnI ;511.7900;-1.140;MFW ; 0.02; 4.20
 432;FeI ;489.2859;-1.290;FMW ; 4.42; 6.65
 432;FeI ;506.7151;-0.970;FMW ;     ;
 432;FeI ;510.4438;-1.690;FMW ; 2.46; 6.46
 432;FeI ;510.9652;-0.980;FMW ; 6.07; 6.78
 432;FeI ;552.5545;-1.330;FMW ; 3.51; 6.46
 432;FeI ;585.5076;-1.760;FMW ;     ;
 432;FeI ;585.6087;-1.640;FMW ; 2.38; 6.57
 432;FeI ;585.8779;-2.260;FMW ;     ;
 432;FeI ;586.1109;-2.450;FMW ;     ;
 432;FeI ;587.7794;-2.230;FMW ; 1.65; 6.81
 432;FeI ;588.3817;-1.360;FMW ; 5.80; 6.64
 432;FeI ;615.1616;-3.299;FMW ; 6.81; 6.58
 432;FeI ;616.5360;-1.550;FMW ; 4.19; 6.70
 432;FeI ;618.7990;-1.720;FMW ; 4.01; 6.59
 432;FeI ;649.6465;-0.570;FMW ; 3.56; 6.35
 432;FeI ;670.3565;-3.160;FMW ; 4.09; 6.57
 432;FeII;483.3197;-4.780;FMW ; 1.20; 6.67
 432;FeII;492.3927;-1.320;FMW ;14.99; 6.44
 432;FeII;499.3358;-3.650;FMW ; 4.10; 6.53
 432;FeII;510.0664;-4.370;FMW ; 2.08; 6.73
 432;FeII;513.2669;-4.180;FMW ; 2.57; 6.68
 432;FeII;516.1184;-4.483;K88 ;     ;
 432;FeII;525.6937;-4.250;K88 ; 2.57; 6.85
 432;FeII;526.4812;-3.190;FMW ; 4.84; 6.73
 432;FeII;614.9259;-2.724;K88 ; 3.69; 6.75
 432;CoI ;533.1700;-6.473;K88 ; 0.02; 3.79
 432;CoI ;553.0700;-2.060;FMW ; 0.02; 3.58
 432;NiI ;585.7747;-0.636;K88 ;     ;
 432;NiI ;612.8963;-3.330;FMW ; 2.48; 4.89
 432;NiI ;613.0130;-0.960;FMW ;     ;
 432;NiI ;617.5360;-0.530;FMW ;     ;
 432;NiI ;617.6807;-0.260;LW  ; 3.27; 4.92
 432;NiI ;617.7236;-3.500;FMW ;     ;
 432;CuI ;510.5500;-1.516;BIEL; 0.02; 2.29
 432;ZnI ;481.0528;-0.170;BG  ; 5.72; 3.45
 432;YII ;488.3683; 0.070;HL  ; 6.17; 0.86
 432;YII ;498.2130;-1.290;HL  ;     ;
 432;YII ;508.7417;-0.170;HL  ; 4.93; 0.76
 432;YII ;511.9113;-1.360;HL  ; 1.71; 1.01
 432;BaII;649.6896;-0.377;NBS ;13.06; 1.49
 432;LaII;480.4039;-1.490;LA  ;     ;
 432;LaII;511.4558;-1.030;LA  ; 3.91; 0.64
 432;LaII;632.0377;-1.610;ABH ; 1.34; 0.36
 432;CeII;518.7457; 0.130;H   ; 1.64; 0.78
 432;CeII;533.0556;-0.360;H   ;     ;
 432;CeII;546.8372; 0.140;H   ;     ;
 432;CeII;604.3374;-0.430;H   ;     ;
 432;NdII;491.4382;-0.700;HA  ; 4.53; 1.14
 432;NdII;495.9119;-0.800;HA  ; 4.17; 0.76
 432;NdII;496.1387;-0.710;MC' ;     ;
 432;NdII;508.9832;-1.160;MC' ;     ;
 432;NdII;529.3162; 0.100;HA  ; 3.65; 0.63
 432;NdII;543.1515;-0.470;HA  ;     ;
 432;NdII;548.5695;-0.120;HA  ;     ;
 628;OI  ;630.0304;-9.717;STZ ; 0.01; 8.35
 628;NaI ;568.2633;-0.700;KP  ;10.67; 5.79
 628;NaI ;615.4227;-1.560;KP  ; 4.38; 5.72
 628;NaI ;616.0747;-1.260;KP  ; 5.26; 5.56
 628;MgI ;552.8405;-0.552;GC  ;21.74; 7.00
 628;MgI ;571.1087;-1.729;GC  ;12.46; 7.12
 628;MgI ;631.8716;-1.945;GC  ; 5.04; 7.16
 628;MgI ;631.9237;-2.165;GC  ; 4.77; 7.34
 628;AlI ;669.8673;-1.647;NBS ;     ;
 628;SiI ;577.2147;-1.750;GARZ;     ;
 628;SiI ;594.8541;-1.230;GARZ; 8.42; 7.14
 628;SiI ;612.5021;-1.540;ED  ; 4.10; 7.37
 628;SiI ;614.2482;-1.480;ED  ; 4.54; 7.40
 628;SiI ;614.5015;-1.430;ED  ;     ;
 628;SiI ;615.5134;-0.770;ED  ; 8.26; 7.28
 628;CaI ;551.2980;-0.447;SR  ;10.74; 5.86
 628;CaI ;560.1277;-0.523;SR  ;     ;
 628;CaI ;585.7451; 0.240;SR  ;15.85; 5.99
 628;CaI ;586.7562;-1.490;GC  ; 3.86; 5.77
 628;CaI ;612.2217;-0.315;NIST;     ;
 628;CaI ;615.6022;-2.180;NIST;     ;
 628;CaI ;616.1296;-1.266;SR  ;     ;
 628;CaI ;616.2174; 0.100;NBS ;     ;
 628;CaI ;616.6438;-1.142;SR  ;10.81; 6.03
 628;CaI ;616.9042;-0.797;SR  ;13.05; 6.08
 628;CaI ;616.9562;-0.270;NBS ;     ;
 628;CaI ;643.9075; 0.390;SR  ;18.30; 5.74
 628;CaI ;645.5597;-1.290;SR  ; 8.98; 5.84
 628;CaI ;649.3781;-0.109;SR  ;15.17; 5.74
 628;CaI ;649.9650;-0.818;SR  ;10.77; 5.67
 628;CaI ;650.8850;-2.110;NBS ; 2.48; 5.61
 628;CaI ;679.8479;-2.320;K88 ;     ;
 628;ScII;552.6790; 0.130;MFW ; 9.87; 2.19
 628;ScII;632.0852;-1.770;NBS ;     ;
 628;TiI ;488.5078; 0.358;MFW ;10.22; 4.38
 628;TiI ;491.5229;-1.019;MFW ; 3.98; 4.65
 628;TiI ;499.7097;-2.118;MFW ; 9.23; 4.21
 628;TiI ;508.7058;-0.780;MFW ; 7.95; 4.47
 628;TiI ;586.6450;-0.840;MFW ;10.31; 4.35
 628;TiI ;612.6215;-1.425;MFW ; 8.28; 4.57
 628;VI  ;573.7059;-0.740;MFW ; 5.48; 3.49
 628;VI  ;613.5361;-0.746;MFW ; 3.49; 3.14
 628;VI  ;615.0157;-1.780;MFW ; 4.87; 3.43
 628;CrII;488.4607;-2.080;MFW ;     ;
 628;MnI ;511.7900;-1.140;MFW ; 0.02; 4.83
 628;FeI ;489.2859;-1.290;FMW ; 8.28; 7.22
 628;FeI ;506.7151;-0.970;FMW ;10.54; 7.34
 628;FeI ;510.4438;-1.690;FMW ;     ;
 628;FeI ;510.9652;-0.980;FMW ; 9.90; 7.29
 628;FeI ;552.5545;-1.330;FMW ; 7.17; 7.01
 628;FeI ;585.5076;-1.760;FMW ; 4.43; 7.42
 628;FeI ;585.6087;-1.640;FMW ; 6.16; 7.21
 628;FeI ;585.8779;-2.260;FMW ; 2.56; 7.10
 628;FeI ;586.1109;-2.450;FMW ;     ;
 628;FeI ;587.7794;-2.230;FMW ; 4.49; 7.38
 628;FeI ;588.3817;-1.360;FMW ;10.41; 7.28
 628;FeI ;615.1616;-3.299;FMW ;     ;
 628;FeI ;616.5360;-1.550;FMW ;     ;
 628;FeI ;618.7990;-1.720;FMW ;     ;
 628;FeI ;649.6465;-0.570;FMW ; 9.10; 7.21
 628;FeI ;670.3565;-3.160;FMW ; 7.53; 6.99
 628;FeII;483.3197;-4.780;FMW ;     ;
 628;FeII;492.3927;-1.320;FMW ;     ;
 628;FeII;499.3358;-3.650;FMW ; 8.35; 7.43
 628;FeII;510.0664;-4.370;FMW ; 3.76; 7.23
 628;FeII;513.2669;-4.180;FMW ; 4.43; 7.18
 628;FeII;516.1184;-4.483;K88 ;     ;
 628;FeII;525.6937;-4.250;K88 ;     ;
 628;FeII;526.4812;-3.190;FMW ; 7.10; 7.21
 628;FeII;614.9259;-2.724;K88 ; 4.89; 7.09
 628;CoI ;533.1700;-6.473;K88 ; 0.02; 4.18
 628;CoI ;553.0700;-2.060;FMW ; 0.02; 4.11
 628;NiI ;585.7747;-0.636;K88 ;     ;
 628;NiI ;612.8963;-3.330;FMW ; 6.81; 5.59
 628;NiI ;613.0130;-0.960;FMW ; 3.14; 5.77
 628;NiI ;617.5360;-0.530;FMW ; 5.69; 5.58
 628;NiI ;617.6807;-0.260;LW  ; 7.10; 5.55
 628;NiI ;617.7236;-3.500;FMW ; 4.24; 5.54
 628;CuI ;510.5500;-1.516;BIEL; 0.02; 3.06
 628;ZnI ;481.0528;-0.170;BG  ;     ;
 628;YII ;488.3683; 0.070;HL  ;10.65; 1.66
 628;YII ;498.2130;-1.290;HL  ; 5.81; 1.95
 628;YII ;508.7417;-0.170;HL  ; 9.20; 1.54
 628;YII ;511.9113;-1.360;HL  ; 4.82; 1.78
 628;BaII;649.6896;-0.377;NBS ;21.52; 2.27
 628;LaII;480.4039;-1.490;LA  ; 7.18; 1.75
 628;LaII;511.4558;-1.030;LA  ; 9.46; 1.72
 628;LaII;632.0377;-1.610;ABH ;     ;
 628;CeII;518.7457; 0.130;H   ; 5.00; 1.61
 628;CeII;533.0556;-0.360;H   ; 4.30; 1.55
 628;CeII;546.8372; 0.140;H   ; 3.69; 1.57
 628;CeII;604.3374;-0.430;H   ; 2.31; 1.58
 628;NdII;491.4382;-0.700;HA  ; 8.19; 1.80
 628;NdII;495.9119;-0.800;HA  ; 9.71; 1.83
 628;NdII;496.1387;-0.710;MC' ; 5.31; 1.55
 628;NdII;508.9832;-1.160;MC' ; 4.63; 1.35
 628;NdII;529.3162; 0.100;HA  ;     ;
 628;NdII;543.1515;-0.470;HA  ;     ;
 628;NdII;548.5695;-0.120;HA  ;     ;
 635;OI  ;630.0304;-9.717;STZ ; 0.01; 8.33
 635;NaI ;568.2633;-0.700;KP  ; 7.56; 5.33
 635;NaI ;615.4227;-1.560;KP  ; 1.95; 5.21
 635;NaI ;616.0747;-1.260;KP  ; 3.60; 5.26
 635;MgI ;552.8405;-0.552;GC  ;22.55; 7.07
 635;MgI ;571.1087;-1.729;GC  ;10.81; 6.92
 635;MgI ;631.8716;-1.945;GC  ; 5.83; 7.28
 635;MgI ;631.9237;-2.165;GC  ; 3.66; 7.15
 635;AlI ;669.8673;-1.647;NBS ;     ;
 635;SiI ;577.2147;-1.750;GARZ;     ;
 635;SiI ;594.8541;-1.230;GARZ; 8.26; 7.21
 635;SiI ;612.5021;-1.540;ED  ;     ;
 635;SiI ;614.2482;-1.480;ED  ; 3.21; 7.18
 635;SiI ;614.5015;-1.430;ED  ; 3.28; 7.15
 635;SiI ;615.5134;-0.770;ED  ; 5.64; 6.93
 635;CaI ;551.2980;-0.447;SR  ;10.64; 5.91
 635;CaI ;560.1277;-0.523;SR  ;     ;
 635;CaI ;585.7451; 0.240;SR  ;14.22; 5.84
 635;CaI ;586.7562;-1.490;GC  ; 3.22; 5.61
 635;CaI ;612.2217;-0.315;NIST;19.53; 5.82
 635;CaI ;615.6022;-2.180;NIST;     ;
 635;CaI ;616.1296;-1.266;SR  ; 9.33; 5.94
 635;CaI ;616.2174; 0.100;NBS ;     ;
 635;CaI ;616.6438;-1.142;SR  ; 9.54; 5.85
 635;CaI ;616.9042;-0.797;SR  ;10.88; 5.77
 635;CaI ;616.9562;-0.270;NBS ;     ;
 635;CaI ;643.9075; 0.390;SR  ;17.94; 5.78
 635;CaI ;645.5597;-1.290;SR  ; 8.05; 5.71
 635;CaI ;649.3781;-0.109;SR  ;15.03; 5.83
 635;CaI ;649.9650;-0.818;SR  ;10.91; 5.77
 635;CaI ;650.8850;-2.110;NBS ;     ;
 635;CaI ;679.8479;-2.320;K88 ;     ;
 635;ScII;552.6790; 0.130;MFW ;10.42; 2.45
 635;ScII;632.0852;-1.770;NBS ;     ;
 635;TiI ;488.5078; 0.358;MFW ;     ;
 635;TiI ;491.5229;-1.019;MFW ;     ;
 635;TiI ;499.7097;-2.118;MFW ; 7.97; 3.95
 635;TiI ;508.7058;-0.780;MFW ; 5.73; 4.05
 635;TiI ;586.6450;-0.840;MFW ; 9.16; 4.16
 635;TiI ;612.6215;-1.425;MFW ; 6.99; 4.33
 635;VI  ;573.7059;-0.740;MFW ; 3.80; 3.14
 635;VI  ;613.5361;-0.746;MFW ; 3.14; 2.98
 635;VI  ;615.0157;-1.780;MFW ;     ;
 635;CrII;488.4607;-2.080;MFW ; 3.59; 5.31
 635;MnI ;511.7900;-1.140;MFW ; 0.02; 4.60
 635;FeI ;489.2859;-1.290;FMW ;     ;
 635;FeI ;506.7151;-0.970;FMW ; 8.42; 7.01
 635;FeI ;510.4438;-1.690;FMW ; 4.51; 7.02
 635;FeI ;510.9652;-0.980;FMW ; 9.51; 7.33
 635;FeI ;552.5545;-1.330;FMW ; 8.14; 7.26
 635;FeI ;585.5076;-1.760;FMW ; 3.57; 7.26
 635;FeI ;585.6087;-1.640;FMW ; 5.52; 7.13
 635;FeI ;585.8779;-2.260;FMW ; 2.88; 7.15
 635;FeI ;586.1109;-2.450;FMW ;     ;
