#star teff logg vt fe o na mg al si ca sc ti v ni ba eu
#NGC 362                                                             
1401    3875    0.00    1.90    -1.32   0.08    -0.08   0.41    0.17    0.54    0.16    0.00    0.29    0.04    -0.07   0.18    0.62
2115    3900    0.00    2.30    -1.38   0.16    -0.13   0.38    0.14    \ldots  0.11    -0.18   0.31    -0.05   -0.01   0.00    0.53
1423    3950    0.10    2.35    -1.37   -0.04   0.20    0.42    0.47    0.41    0.17    0.03    0.38    -0.02   -0.05   0.26    0.50
V2  3950    0.10    2.70    -1.30   0.21    -0.20   0.48    0.18    \ldots  0.13    -0.15   0.36    -0.10   -0.23   0.73    0.58
1334    3975    0.40    1.95    -1.30   0.18    -0.20   0.33    0.13    0.25    0.20    -0.15   0.27    -0.02   -0.11   0.22    0.50
1441    3975    0.20    1.90    -1.31   -0.09   0.09    0.41    0.37    0.28    0.23    -0.23   0.19    -0.05   -0.11   0.20    0.48
2423    4000    0.40    1.85    -1.32   -0.11   0.16    0.33    0.47    \ldots  0.23    -0.05   0.28    -0.02   -0.04   0.15    0.64
1137    4000    0.70    2.00    -1.37   0.25    -0.15   0.48    0.02    0.39    0.13    0.01    0.21    -0.02   0.02    0.19    0.72
77  4075    0.20    2.50    -1.34   -0.33   0.28    0.44    0.78    0.42    0.25    -0.24   0.30    0.00    -0.02   0.47    0.53
MB2 4100    0.60    2.50    -1.33   -0.01   0.40    0.19    0.40    0.32    0.14    0.07    0.39    -0.03   -0.03   0.63    0.47
2127    4110    0.60    2.25    -1.30   -0.09   0.20    0.21    0.58    0.23    0.12    -0.19   0.21    -0.03   -0.11   0.24    0.62
1159    4125    0.80    1.90    -1.27   0.31    -0.13   0.25    0.01    \ldots  0.24    -0.04   0.41    -0.02   -0.05   0.10    0.67
