oid,ra,dec,snr,v_rad,v_helio,v_gsr,v_err,prior_teff,param_teff,param_logg,param_feh,param_alpha,chi_sq,_r,_RAJ2000,_DEJ2000,mode,cl,SDSS,m_SDSS,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,RAJ2000,DEJ2000,ObsDate,Q,Separation,g-r,g-i,RA2000,DEC2000
511,161.112958333,-0.158166666667,55.6061546377,122.166,122.156,-16.9511,2.216,4261.19,5000.19,2.50004473091,-1.63425378714,0.34869054225,3.11391,2.3E-5,161.112981,-0.158169,1,6,J104427.11-000929.4,,,18.558,0.015,16.907,0.0040,16.25,0.0040,15.95,0.0040,15.823,0.0070,161.112981,-0.158168,1999.2205,3,2.278669383208934E-5,0.6569996,0.9569998,10:44:27.11,-00:09:29.4
167,161.135791667,-0.135816666667,58.9858753948,14.4806,14.4794,-124.532,5.559,5014.85,5255.25,5.0,-1.04899940193,0.4,8.71466,2.0E-5,161.135809,-0.135816,1,6,J104432.59-000808.9,,,18.503,0.014,16.629,0.0040,15.968,0.0040,15.74,0.0040,15.646,0.0060,161.135812,-0.135817,1999.2205,3,1.7345767368002038E-5,0.6609993,0.88899994,10:44:32.59,-00:08:08.9
864,161.137291667,-2.403225,35.011260047,82.0454,82.0395,-63.6565,4.109,4644.6,4500.26,4.04081247114,-2.86909514027,0.390173386303,3.54321,4.2E-5,161.137334,-2.403225,1,6,J104432.96-022411.6,,,18.963,0.02,17.838,0.0060,17.3,0.0050,17.045,0.0050,16.91,0.011,161.137334,-2.403225,2000.116,3,4.229576691060459E-5,0.5380001,0.79299927,10:44:32.95,-02:24:11.6
878,161.138833333,-2.15512222222,38.0400324314,20.5483,20.5468,-124.427,11.952,6808.56,4562.17,4.99999839496,-1.55805870073,0.00228012402395,9.38182,5.3E-5,161.138885,-2.155121,1,6,J104433.33-020918.4,,,19.257,0.028,17.795,0.0060,17.206,0.0050,16.986,0.0060,16.884,0.013,161.138886,-2.155121,2000.1734,1,5.1644919224835907E-5,0.5890007,0.809,10:44:33.32,-02:09:18.4
868,161.145666667,-2.31353055556,38.4174545991,3734.66,3734.39,3588.96,7.587,3257.1,5449.89,0.512318035156,-5.49937970354,0.4,28.714,4.4E-5,161.145711,-2.313531,1,6,J104434.97-021848.7,,,19.189,0.023,17.662,0.0050,17.075,0.0050,16.858,0.0050,16.71,0.01,161.145711,-2.313531,2000.116,3,4.429909324735765E-5,0.5869999,0.80400085,10:44:34.96,-02:18:48.7
158,161.148333333,-0.291088888889,28.6431443459,102.3,102.291,-37.1693,8.738,3893.03,4841.34,4.22900749754,-1.77942803539,0.395793656465,5.66266,3.2E-5,161.148366,-0.291088,1,6,J104435.60-001727.9,,,19.441,0.031,18.062,0.0060,17.563,0.0060,17.371,0.0060,17.289,0.015,161.148365,-0.291089,2001.1455,3,3.267866991512147E-5,0.49900055,0.691,10:44:35.60,-00:17:27.9
862,161.175958333,-2.44384722222,26.1876841245,34.5646,34.5621,-111.203,6.325,4719.36,4672.61,4.9998288606,-1.15495882453,9.88188726025E-5,7.68241,2.1E-5,161.175979,-2.443847,1,6,J104442.23-022637.8,,,20.252,0.047,18.604,0.0080,17.956,0.0060,17.689,0.0070,17.532,0.016,161.175979,-2.443847,2000.116,3,2.064939890937586E-5,0.6480007,0.9150009,10:44:42.23,-02:26:37.8
871,161.177208333,-2.27497777778,51.8709971159,17.3441,17.3429,-127.931,10.742,5063.75,4846.23,4.99999371503,-1.00045020922,6.69169165074E-5,14.6224,4.8E-5,161.177257,-2.274978,1,6,J104442.54-021629.9,,,18.749,0.02,17.019,0.0040,16.391,0.0040,16.173,0.0040,16.087,0.0080,161.177256,-2.274978,2000.1734,1,4.8629149668263614E-5,0.62799835,0.84599876,10:44:42.53,-02:16:29.9
534,161.184333333,0.258291666667,56.033391534,89.919,89.9117,-47.8546,10.389,6456.5,4610.77,3.04960304746,-1.89801862861,0.399999264046,17.8449,4.9E-5,161.184381,0.258289,1,6,J104444.25+001529.8,,,18.229,0.013,16.644,0.0040,16.017,0.0040,15.768,0.0040,15.646,0.0060,161.184382,0.258292,1999.2205,3,4.774104969026314E-5,0.6269989,0.87599945,10:44:44.24,+00:15:29.9
162,161.196375,-0.195219444444,50.1290643809,-1.0296,-1.0295,-140.143,2.209,5408.09,5009.86,4.93996110571,-1.35097864238,0.265014178076,1.8899,1.7E-5,161.196391,-0.19522,1,6,J104447.13-001142.7,,,18.664,0.016,17.069,0.0040,16.491,0.0040,16.256,0.0050,16.148,0.0080,161.196392,-0.195218,1999.2205,3,1.6009549366633878E-5,0.578001,0.8129997,10:44:47.13,-00:11:42.8
858,161.197666667,-2.49600277778,24.0541495758,49.0727,49.0691,-96.8204,5.02,19166.5,4732.55,4.99999826012,-0.781909261243,6.56003210319E-4,6.12785,3.5E-5,161.197701,-2.495997,2,6,J104447.44-022945.5,,,20.795,0.087,18.936,0.01,18.202,0.0080,17.913,0.0080,17.769,0.021,161.197701,-2.495997,2000.1734,1,3.4783646145041845E-5,0.73400116,1.0230007,10:44:47.44,-02:29:45.6
528,161.198,0.14145,51.8813225627,-47.8437,-47.8398,-185.941,9.399,4390.53,4500.0,5.0,-1.5,0.4,11.3284,1.6E-5,161.19802,0.141453,1,6,J104447.52+000829.2,,,19.788,0.042,17.446,0.0050,16.398,0.0040,15.992,0.0040,15.761,0.0070,161.198016,0.141449,2001.1455,3,2.0223688168931314E-5,1.0479984,1.4539995,10:44:47.52,+00:08:29.2
874,161.199125,-2.27202222222,26.405231235,-29.3645,-29.3624,-174.6,12.878,3483.25,4750.0,5.0,-1.5,0.4,7.86546,3.8E-5,161.199163,-2.27202,1,6,J104447.79-021619.2,,,20.593,0.078,18.703,0.0090,17.933,0.0070,17.659,0.0070,17.537,0.021,161.199163,-2.272021,2000.1734,1,3.80350997911298E-5,0.76999855,1.0439987,10:44:47.79,-02:16:19.3
849,161.199791667,-2.63451388889,53.8265182543,93.3872,93.3803,-52.9071,3.624,4051.32,4909.7,3.56463510755,-1.99999928893,0.394131504691,3.81495,4.5E-5,161.199837,-2.634513,1,6,J104447.96-023804.2,,,18.75,0.02,17.076,0.0040,16.44,0.0040,16.167,0.0040,16.035,0.0070,161.199837,-2.634513,2000.1734,1,4.529380889592287E-5,0.6359997,0.9090004,10:44:47.95,-02:38:04.3
192,161.207208333,0.277661111111,36.569094958,127.046,127.035,-10.6438,10.82,4115.3,5230.67,4.07753808066,-0.922495206708,0.368498555325,8.59162,2.6E-5,161.207234,0.277661,1,6,J104449.73+001639.5,,,19.16,0.022,17.509,0.0050,16.946,0.0050,16.757,0.0050,16.72,0.011,161.207234,0.277662,1999.2205,3,2.5666939105249593E-5,0.56300163,0.7520008,10:44:49.73,+00:16:39.6
873,161.210833333,-2.25098333333,38.8529237332,-8.8923,-8.8916,-154.054,12.073,4866.16,4529.31,4.5018677591,-1.84181092864,0.321346170471,8.77355,1.5E-5,161.210848,-2.250983,1,6,J104450.60-021503.5,,,19.106,0.026,17.59,0.0050,17.056,0.0050,16.851,0.0050,16.727,0.012,161.210848,-2.250983,2000.1734,1,1.4659472522349605E-5,0.5340004,0.7390003,10:44:50.60,-02:15:03.5
149,161.211791667,-0.427861111111,49.8553253605,158.741,158.728,18.9377,3.225,4269.6,5000.0,5.0,-1.5,0.4,50.9843,2.6E-5,161.211817,-0.427863,1,6,J104450.83-002540.3,,,19.485,0.028,17.464,0.0050,16.593,0.0040,16.246,0.0050,16.039,0.0070,161.211818,-0.42786,1999.2205,3,2.5402618044849204E-5,0.8710003,1.2180004,10:44:50.83,-00:25:40.3
853,161.215708333,-2.55630833333,39.6909093639,9.1024,9.1017,-136.94,3.041,5305.18,4873.1,4.99999734567,-0.97288737033,1.44922730826E-4,4.5882,4.0E-5,161.215748,-2.556309,1,6,J104451.78-023322.7,,,19.508,0.033,17.724,0.0050,17.057,0.0050,16.81,0.0050,16.66,0.011,161.215748,-2.556309,2000.1734,1,3.963313366223326E-5,0.6670017,0.91400146,10:44:51.77,-02:33:22.7
887,161.2165,-2.02335277778,38.4997082984,35.1978,35.1952,-109.297,10.088,4934.38,4499.25,4.9990250624,-1.00267688028,4.70773617305E-4,9.56667,2.6E-5,161.216526,-2.023352,1,6,J104451.96-020124.0,,,19.746,0.035,17.769,0.0050,16.973,0.0050,16.67,0.0050,16.52,0.01,161.216526,-2.023352,2000.116,3,2.599542766230615E-5,0.7959995,1.098999,10:44:51.96,-02:01:24.1
866,161.217208333,-2.34233333333,29.3641914124,18.1313,18.1299,-127.29,4.194,5620.77,4750.0,5.0,-1.51934427023,0.4,5.98312,3.6E-5,161.217244,-2.342335,1,6,J104452.13-022032.4,,,20.302,0.049,18.345,0.0070,17.546,0.0050,17.247,0.0060,17.044,0.012,161.217244,-2.342335,2000.116,3,3.567615102085339E-5,0.7989998,1.0979996,10:44:52.13,-02:20:32.4
146,161.2265,-0.470463888889,48.5790924438,204.199,204.182,64.2833,3.08,5302.5,6128.98,4.60549221459,-0.894507556251,6.39516399284E-7,5.60911,3.9E-5,161.226539,-0.470463,1,6,J104454.36-002813.6,,,18.568,0.016,17.138,0.0060,16.549,0.0070,16.297,0.0070,16.153,0.0090,161.226539,-0.470463,1999.2205,3,3.900881408177899E-5,0.5890007,0.8409996,10:44:54.36,-00:28:13.7
841,161.229833333,-2.79510555556,20.1116800714,51.5845,51.5806,-95.1327,5.432,17520.1,5000.94,4.3265725204,-0.885939811173,0.399984141746,9.20371,5.2E-5,161.229885,-2.795106,1,6,J104455.17-024742.3,,,21.003,0.105,19.026,0.0090,18.263,0.0080,18.008,0.0080,17.876,0.019,161.229885,-2.795106,2000.116,3,5.160744588164771E-5,0.7629986,1.0179996,10:44:55.16,-02:47:42.4
491,161.237833333,-0.464819444444,44.0820338461,-14.6497,-14.6485,-154.517,17.618,4188.81,5710.1,4.72568015161,-1.57516803452,0.399998080573,9.36052,2.0E-5,161.237852,-0.46482,1,6,J104457.08-002753.3,,,19.231,0.023,17.949,0.0060,17.42,0.0050,17.179,0.0060,17.06,0.011,161.237853,-0.464819,1999.2205,3,1.8674651218751302E-5,0.5289993,0.76999855,10:44:57.08,-00:27:53.3
