#ID Teff logg vt [Fe/H] [Fe/H]_err [Mg/Fe] [Mg/Fe]_err [K/Fe] [K/Fe]_err [Ti/Fe] [Ti/Fe]_err [Ca/Fe] [Ca/Fe]_err
Iba11_54 3989 0.33 2.05 -1.93 0.13 0.24 0.14 0.09 0.21 0.54 0.19 0.24 0.04
Iba11_29 4150 0.52 2.01 -2.09 0.11 0.52 0.12 0.51 0.17 0.27 0.10 0.41 0.05
Iba11_83 4150 0.53 2.01 -2.29 0.12 0.48 0.13 0.63 0.17 0.25 0.13 0.58 0.03
Iba11_57 4159 0.57 2.00 -2.06 0.11 0.49 0.12 0.36 0.17 0.33 0.11 0.44 0.03
Iba11_28 4201 0.60 1.99 -2.09 0.11 -0.74 0.14 1.41 0.17 0.23 0.10 0.50 0.02
Iba11_3 4224 0.62 1.99 -2.16 0.13 0.40 0.13 0.58 0.18 0.25 0.15 0.53 0.02
Iba11_52 4216 0.63 1.99 -2.05 0.11 0.15 0.13 0.67 0.19 0.05 0.11 0.44 0.03
Iba11_21 4323 0.72 1.96 -2.05 0.12 -0.38 0.14 0.67 0.19 0.21 0.14 0.44 0.02
Iba11_44 4274 0.72 1.96 -2.15 0.11 -0.40 0.14 1.26 0.18 0.25 0.13 0.55 0.03
Iba11_159 4381 0.80 1.95 -2.09 0.13 -0.72 0.13 1.88 0.18 0.36 0.12 0.55 0.04
Iba11_36 4387 0.88 1.93 -2.13 0.12 -0.57 0.15 1.64 0.20 0.50 0.13 0.56 0.03
Iba11_112 4380 0.88 1.93 -1.97 0.13 -0.07 0.16 1.46 0.19 0.25 0.10 0.37 0.03
Iba11_164 4414 0.91 1.92 -2.10 0.12 0.50 0.13 0.58 0.20 0.34 0.16 0.43 0.05
Iba11_39 4309 0.90 1.92 -2.17 0.16 0.36 0.18 0.83 0.26 0.22 0.26 0.41 0.05
Iba11_6 4442 1.00 1.90 -2.05 0.13 0.81 0.19 1.01 0.21 0.32 0.21 0.42 0.02
Iba11_82 4471 1.04 1.89 -2.27 0.14 -0.66 0.18 1.30 0.20 0.36 0.25 0.70 0.03
Iba11_35 4460 1.03 1.89 -2.19 0.13 0.49 0.20 0.24 0.21 0.14 0.29 0.53 0.06
Iba11_51 4497 1.05 1.89 -2.15 0.13 0.32 0.18 0.87 0.22 0.25 0.16 0.51 0.05
Iba11_45 4466 1.04 1.89 -2.12 0.14 0.74 0.19 -0.14 0.21 0.17 0.18 0.42 0.08
Iba11_4 4497 1.07 1.88 -1.99 0.13 0.23 0.17 -0.03 0.22 0.03 0.14 0.33 0.03
Iba11_101 4567 1.10 1.88 -1.98 0.14 -1.02 0.19 1.55 0.23 0.12 0.12 0.43 0.05
Iba11_7 4525 1.09 1.88 -1.92 0.13 -0.33 0.21 1.40 0.23 0.41 0.13 0.39 0.04
Iba11_160 4508 1.10 1.88 -2.12 0.13 -0.52 0.24 1.16 0.25 0.34 0.26 0.53 0.02
Iba11_66 4506 1.13 1.87 -2.20 0.13 0.38 0.22 1.25 0.26 0.27 0.18 0.58 0.05
Iba11_119 4499 1.13 1.87 -2.06 0.15 0.14 0.20 0.12 0.23 0.21 0.17 0.42 0.03
Iba11_72 4536 1.14 1.87 -1.95 0.12 -1.33 0.20 1.31 0.23 0.29 0.16 0.43 0.07
Iba11_121 4567 1.17 1.86 -2.17 0.14 0.39 0.23 1.33 0.23 0.29 0.12 0.53 0.06
Iba11_32 4549 1.17 1.86 -1.98 0.13 -0.73 0.22 1.48 0.24 0.37 0.13 0.39 0.03
Iba11_43 4561 1.18 1.86 -2.10 0.12 -0.21 0.19 0.90 0.26 0.41 0.14 0.59 0.02
Iba11_148 4549 1.19 1.86 -2.24 0.14 0.74 0.26 0.29 0.25 0.44 0.17 0.56 0.05
Iba11_89 4610 1.23 1.85 -2.30 0.14 0.82 0.23 0.52 0.26 0.58 0.15 0.53 0.04
Iba11_96 4563 1.21 1.85 -2.18 0.13 nan 0.44 0.23 0.38 0.11 0.47 0.05
Iba11_11 4565 1.22 1.85 -2.01 0.14 -0.53 0.22 1.24 0.24 0.29 0.16 0.41 0.03
Iba11_88 4569 1.24 1.84 -2.30 0.12 0.78 0.25 0.20 0.26 0.25 0.23 0.54 0.04
Iba11_69 4651 1.28 1.84 -2.23 0.13 0.61 0.19 1.50 0.24 0.51 0.14 0.44 0.03
Iba11_10 4645 1.29 1.83 -2.00 0.15 -0.73 0.21 1.91 0.24 0.29 0.14 0.53 0.05
Iba11_134 4563 1.26 1.84 -2.02 0.15 0.66 0.22 0.41 0.27 0.22 0.17 0.26 0.09
Iba11_74 4571 1.27 1.84 -2.24 0.13 0.40 0.24 0.80 0.26 0.34 0.21 0.51 0.07
