# oid ra            dec              verr   vgsr               ew      b                  l                  u         g         r         i         z         err_u       err_g        err_r        err_i        err_z        dered_u   dered_g   dered_r   dered_i   dered_z   EW_8542 EW_8662 [Fe/H]_cat           [Fe/H]_iso [Fe/H]_adopted upperlim
  691 162.897625    0.0128861111111  8.66   66.70809475097658  0.1279  50.45739358381923  251.2619142189945  19.478094 18.096529 17.488182 17.198172 17.058632 0.03817208  0.0065988796 0.0058780643 0.006223849  0.013739522  19.257854 17.934479 17.37065  17.10905  16.995443 1.312   1.852   -1.38                -2.10 -2.10 0
  675 162.305708333 0.0677277777778  5.408  65.31516582031239  0.2516  50.08118366405678  250.54184441657267 19.139616 17.98359  17.486116 17.25263  17.182806 0.031121034 0.0062848367 0.005683604  0.0060280985 0.014125513  18.929472 17.828966 17.373972 17.167595 17.122515 1.443   1.133   -1.74                -2.28 -1.74 1
  991 162.600958333 -1.81815277778   25.371 109.90709169921874 0.1513  48.927871133521826 252.8844211239636  19.520185 18.104698 17.516523 17.256727 17.14801  0.031884104 0.0064282552 0.0055875136 0.006071823  0.013499241  19.302378 17.944437 17.40029  17.16859  17.08552  1.686   2.076   -1.0582233432699488  -1.73 -1.06 0
  917 161.775583333 -1.93441388889   17.591 74.88620500488281  0.4517  48.27698889504893  252.09803773623332 20.337643 18.914501 18.32757  18.072187 17.923386 0.05098061  0.008965954  0.007838321  0.008584506  0.023746442  20.10432  18.742825 18.203056 17.977772 17.856443 1.563   1.717   -1.1175830143465078  -1.40 -1.40 0
  604 162.087       0.442894444444   11.716 118.84700952148438 0.4668  50.19121454589844  249.88645167651495 19.45122  18.037512 17.443346 17.189741 17.055872 0.029611299 0.0061635575 0.0053004525 0.005925539  0.012702749  19.232868 17.876852 17.326822 17.101385 16.993225 1.415   1.301   -1.645856516134432   -1.73 -1.65 0 
  571 161.591375    0.722719444444   9.328  73.31139694824219  0.2725  50.03232068960486  249.03420378311822 18.947472 17.681667 17.137865 16.91759  16.79868  0.018852392 0.0053715114 0.0050692665 0.005367962  0.009914146  18.727224 17.519611 17.020329 16.828465 16.735489 1.375   1.25    -1.783525631127618   -2.28 -1.78 1 
  768 162.185083333 -2.88577777778   9.013  108.14819243164061 0.1827  47.86228977801394  253.5181614007168  20.017292 18.514116 17.85195  17.610687 17.481249 0.045842636 0.0072857244 0.006283089  0.006503218  0.014145806  19.792301 18.34857  17.731882 17.519644 17.416698 2.107   1.55    -1.0114014401436047  -1.17 -1.17 0 
  76  162.195375    -0.541061111111  8.08   109.29939487304688 0.3242  49.570405916548225 251.08306531579558 19.062834 18.008785 17.50639  17.30564  17.225492 0.021453455 0.0059794895 0.0054929513 0.0057678707 0.012545446  18.849867 17.852087 17.392738 17.219461 17.16439  0.9533  0.7052  -2.371878409640779   -2.28 -2.37 1 
  264 162.115875    0.923333333333   6.719  124.52789853515623 0.1817  50.54837553022649  249.38061666874046 19.324768 17.893858 17.335455 17.114613 16.98168  0.030440701 0.0058332225 0.005314264  0.0056366106 0.012852084  19.082914 17.715904 17.206388 17.016745 16.91229  1.564   1.514   -1.4798610250266666  -2.28 -1.48 1
  672 162.64075     0.205305555556   5.834  97.46570402832032  0.5964  50.4147620010769   250.76250295301264 19.616999 17.988712 17.34382  17.05558  16.903847 0.042206857 0.0062815347 0.005490711  0.0056504114 0.012361762  19.390844 17.822311 17.223133 16.964066 16.838963 2.202   1.933   -0.8976066808138129  -1.43 -0.90 0
  143 161.622041667 -0.327366666667  5.202  78.37149316406249  0.1263  49.31856043037332  250.22542657348924 19.259079 17.926868 17.320711 17.051136 16.916979 0.027643733 0.005915164  0.0052665737 0.005557511  0.012014206  19.051044 17.7738   17.209692 16.966953 16.857292 1.558   1.22    -1.6344562533863207  -1.68 -1.63 0
# 625 162.132791667 0.0599083333333  5.116  105.13519462890628 0.2341  49.95357332976182  250.3598067034772  18.68695  17.174839 16.557877 16.293425 16.142979 0.020052014 0.0043879296 0.004163194  0.004551584  0.008588465  18.483059 17.024818 16.449068 16.210918 16.08448  2.142   1.969   -1.116147249340753   -2.10 -1.12 0
  642 162.554416667 0.564627777778   5.09   94.6515            0.3912  50.6086006648285   250.2677350382241  17.97127  16.301683 15.678336 15.403016 15.2746   0.014217405 0.0041162963 0.0035674998 0.003792758  0.0055868793 17.743557 16.134134 15.556815 15.31087  15.209268 2.087   1.624   -1.5419757585494183  -2.28 -1.54 1
  685 162.832208333 0.087625         4.966  82.56259316406249  0.1983  50.46514525674971  251.10639501604282 19.614782 17.967968 17.275541 16.978504 16.835443 0.040570743 0.0062070806 0.00527733   0.00563787   0.01154341   19.399393 17.809486 17.160597 16.891346 16.773647 1.72    1.903   -1.164867895231557   -1.20 -1.16 0 
  337 162.284708333 0.0333916666667  4.636  81.49284140625011  0.03437 50.042015203762205 250.5563342613904  17.91567  16.422047 15.76352  15.456988 15.288946 0.015174713 0.0042656832 0.0039037303 0.004114918  0.0059362566 17.704584 16.266731 15.650872 15.371571 15.228384 0.9165  0.7745  -2.69504797283434    -2.28 -2.70 1 
  492 161.710041667 -0.220991666667  3.989  76.95979316406249  0.4158  49.455980430041684 250.20515341334925 18.82372  17.481544 16.935274 16.7087   16.592535 0.020970503 0.004916154  0.0046505746 0.004918403  0.009753906  18.624321 17.334827 16.828863 16.628012 16.535326 1.904   1.671   -1.3089156775593827  -2.28 -1.31 1
  169 161.875541667 -0.0234861111111 3.449  83.61969353027345  0.1228  49.71262579717678  250.1695368412608  18.84404  17.398256 16.74928  16.503798 16.323593 0.01855743  0.0048638373 0.004501898  0.004736978  0.008312731  18.64626  17.252731 16.643734 16.423765 16.26685  1.667   1.353   -1.623872519131136   -1.68 -1.62 0
# 514 161.875541667 -0.0234861111111 3.228  83.41919768066407  0.1989  49.71262579717678  250.1695368412608  18.84404  17.398256 16.74928  16.503798 16.323593 0.01855743  0.0048638373 0.004501898  0.004736978  0.008312731  18.64626  17.252731 16.643734 16.423765 16.26685  1.271   1.816   -1.5873952341512318  -1.68 -1.59 0
# 232 161.8235      0.418813888889   3.045  79.237505859375    0.2148  49.98657482694903  249.62497164645816 18.062841 16.246904 15.479513 15.149781 14.953528 0.012328747 0.0039872914 0.0037912773 0.003980284  0.0052044583 17.843739 16.085691 15.362588 15.06112  14.890667 1.754   1.522   -1.7728635009279885  -1.80 -1.77 0
  284 162.132791667 0.0599083333333  2.882  107.22819658203125 0.2518  49.95357332976182  250.3598067034772  18.68695  17.174839 16.557877 16.293425 16.142979 0.020052014 0.0043879296 0.004163194  0.004551584  0.008588465  18.483059 17.024818 16.449068 16.210918 16.08448  2.244   1.783   -1.1579664202470945  -2.10 -1.16 0
