# Dist    Mv    CL   Typ    LTef    logg   Age   Mass   B-V     U-B       V-I     V-K     V        mux       g-V                   muy       Vr       UU        VV        g-i                     WW        [Fe/H]   l           b      Av      Mbol    Vgsr          g                   
  0.111   8.0   5    6.64   3.638   4.75   8     0.57   1.165   0.884     1.304   2.824   13.323   -30.746   0.6099499759674072    -23.073   11.55    -80.43    -140.51   1.395224029660225       -121.47   -0.86    251.19999   49.3   0.057   7.368   -127.45       13.93294993019104   
  0.111   6.4   5    5.93   3.716   4.66   8     0.7    0.758   0.132     0.864   2.031   11.643   -30.194   0.35354001021385195   -13.723   17.91    -103.22   -107.35   0.743584033191204       -92.4     -1.19    251.19999   49.3   0.057   6.148   -121.09       11.996539659261703  
  0.137   5.4   5    5.15   3.763   4.55   8     0.79   0.549   -0.167    0.719   1.611   11.207   -13.2     0.2218700156211853    0.108     15.35    -76.06    -32.13    0.5288389731645584      -27.0     -1.21    251.19999   49.3   0.065   5.272   -123.65       11.428869794368744  
  0.166   8.4   5    6.9    3.604   4.69   3     0.63   1.367   1.316     1.654   3.333   14.588   0.365     0.737209989786148     2.374     -13.09   -3.92     22.69     1.9135740649700166      0.12      0.12     251.19999   49.3   0.072   7.03    -152.09       15.325210287332535  
  0.196   8.8   5    7.0    3.593   4.7    4     0.6    1.412   1.232     1.745   3.651   15.4     -0.9      0.7655599627494812    -2.407    12.39    1.19      -26.44    2.0483450070619584      -4.85     -0.21    251.19999   49.3   0.077   7.366   -126.61       16.165559581279755  
  0.196   7.6   5    6.5    3.63    4.66   2     0.71   1.289   1.243     1.401   3.158   14.073   -3.902    0.6880700216293335    0.29      15.29    -35.29    -17.28    1.5388810338974         -3.68     0.03     251.19999   49.3   0.077   6.325   -123.71       14.761069975852966  
  0.196   5.4   5    5.6    3.728   4.53   4     0.95   0.819   0.45      0.859   1.948   11.885   1.029     0.3919700036048889    0.17      7.98     5.66      -1.17     0.7361790402531625      11.15     0.15     251.19999   49.3   0.077   4.683   -131.02       12.276970232486725  
  0.226   9.0   5    7.0    3.587   4.75   6     0.59   1.431   1.23      1.789   3.726   15.867   -0.234    0.7775299963951111    -1.459    21.96    0.87      -25.78    2.1135090508461         8.22      -0.2     251.19999   49.3   0.079   7.566   -117.04       16.644529622554778  
  0.226   8.8   5    7.0    3.593   4.7    4     0.6    1.414   1.28      1.741   3.712   15.726   0.655     0.7668200216293335    -3.078    4.51     21.05     -25.24    2.0424210833311083      -8.76     0.03     251.19999   49.3   0.079   7.366   -134.49       16.492819853782652  
  0.226   8.6   5    7.0    3.598   4.71   6     0.62   1.4     1.259     1.698   3.648   15.442   6.669     0.7579999849796295    -7.843    19.07    97.46     -54.46    1.9787379322052003      7.83      -0.09    251.19999   49.3   0.079   7.198   -119.93       16.20000037407875   
  0.226   7.5   5    6.5    3.633   4.62   4     0.7    1.276   1.23      1.375   3.12    14.391   -2.226    0.6798800144195557    0.865     -2.21    -24.26    1.75      1.500375                -8.22     0.03     251.19999   49.3   0.079   6.225   -141.21       15.070879808425904  
  0.226   7.5   5    6.5    3.633   4.63   4     0.71   1.275   1.217     1.372   3.157   14.398   1.166     0.6792499849796295    -0.645    -11.94   16.47     5.66      1.4959319689273833      -6.58     -0.01    251.19999   49.3   0.079   6.225   -150.94       15.077249748468398  
  0.226   6.4   5    6.3    3.678   4.58   7     0.81   0.998   0.729     1.01    2.449   13.185   -1.715    0.5047400162220002    0.99      -3.57    -19.99    5.06      0.9598099858760833      -6.14     -0.55    251.19999   49.3   0.079   5.425   -142.57       13.689740435838699  
  0.226   4.8   5    5.3    3.75    4.38   7     0.97   0.689   0.158     0.773   1.722   11.692   3.81      0.310070006608963     -4.769    11.47    57.06     -33.75    0.6088130028247833      3.46      -0.17    251.19999   49.3   0.079   4.115   -127.53       12.002070395708085  
  0.256   9.0   5    7.0    3.587   4.75   3     0.59   1.427   1.266     1.783   3.785   16.091   -0.29     0.7750100288391113    -2.759    -11.19   15.66     -18.76    2.104622988700867       -25.7     0.03     251.19999   49.3   0.081   7.566   -150.19       16.866009632110597  
  0.256   8.9   5    7.0    3.59    4.72   3     0.6    1.425   1.256     1.763   3.771   16.115   -0.843    0.773749969959259     -0.257    17.52    -10.84    -15.89    2.0750030169487         7.17      -0.07    251.19999   49.3   0.081   7.466   -121.479996   16.888749741077422  
  0.256   6.7   5    6.4    3.664   4.58   3     0.77   1.137   1.059     1.142   2.654   13.775   -2.948    0.5923099777698517    1.697     7.92     -42.01    0.62      1.1553019406795502      -0.69     0.06     251.19999   49.3   0.081   5.595   -131.08       14.367309596300124  
