# Dist     Mv     CL   Typ    LTef    logg   Age   Mass   B-V     U-B       V-I     V-K     V        mux       g-V                   muy      Vr       UU        VV        g-i                  WW        [Fe/H]   l           b      Av      Mbol     Vgsr          g                   
  0.406    7.6    5    6.51   3.655   4.73   8     0.6    1.074   0.67      1.155   2.669   15.752   0.149     0.5526200006008148    -0.087   5.69     2.04      -3.97     1.1745549576282501   4.84      -1.32    251.19999   49.3   0.081   7.078    -133.31       16.30461985564232   
  0.436    7.5    5    6.5    3.633   4.62   5     0.7    1.266   1.188     1.371   3.121   15.824   -2.579    0.6735800204277038    -1.426   61.69    -43.77    -74.25    1.4944510762691499   8.78      -0.09    251.19999   49.3   0.081   6.225    -77.31        16.497580379009246  
  0.436    8.0    5    6.64   3.638   4.75   8     0.57   1.184   0.936     1.314   2.862   16.344   -3.615    0.6219200096130371    1.213    50.66    -86.1     -33.0     1.4100340155363085   16.08     -0.71    251.19999   49.3   0.081   7.368    -88.34        16.965919872283937  
  0.465    7.5    5    6.5    3.633   4.62   4     0.7    1.258   1.161     1.369   3.087   15.896   -2.697    0.6685400102138519    0.764    22.24    -63.33    -17.4     1.491488937854767    -2.39     -0.16    251.19999   49.3   0.081   6.225    -116.76       16.56453991866112   
  0.465    7.6    5    6.5    3.63    4.66   5     0.71   1.278   1.191     1.397   3.166   16.063   -1.693    0.6811399981975556    0.895    13.88    -44.21    -4.1      1.532956933617592    2.71      -0.11    251.19999   49.3   0.081   6.325    -125.12       16.74413972353935   
  0.495    8.0    5    6.64   3.638   4.75   8     0.57   1.175   0.9       1.314   2.849   16.493   -3.34     0.6162499699592591    -5.384   56.96    -16.94    -149.8    1.4100340155363085   -51.53    -0.83    251.19999   49.3   0.081   7.368    -82.04        17.109250000476838  
  0.536    7.5    5    6.5    3.633   4.63   6     0.71   1.22    1.037     1.362   2.934   16.15    -2.839    0.6446000180244446    1.91     66.28    -98.73    -24.61    1.4811219830513003   40.01     -0.49    251.19999   49.3   0.081   6.225    -72.72        16.794599636554718  
  0.536    6.9    5    6.5    3.656   4.59   4     0.76   1.166   1.063     1.199   2.749   15.691   0.117     0.6105800054073334    0.461    3.32     -3.88     7.42      1.2397190014123918   9.34      -0.12    251.19999   49.3   0.081   5.73     -135.68       16.301579990148543  
  0.536    7.2    5    6.37   3.674   4.71   8     0.63   0.982   0.585     1.016   2.462   15.941   -0.0040   0.4946599957942963    0.865    21.43    -15.29    2.97      0.9686960480213167   26.45     -1.13    251.19999   49.3   0.081   6.779    -117.57       16.435659980535508  
  0.586    7.4    5    6.5    3.637   4.62   6     0.72   1.244   1.148     1.343   3.036   16.329   -0.741    0.6597199735641479    -0.394   15.28    -15.33    -23.08    1.4529830805063249   -2.89     -0.16    251.19999   49.3   0.081   6.125    -123.72       16.98872044658661   
  0.586    7.1    5    6.5    3.648   4.64   7     0.75   1.16    0.974     1.249   2.809   16.027   -2.562    0.6067999789714813    -0.06    22.95    -64.35    -34.68    1.3137689307928087   -15.8     -0.48    251.19999   49.3   0.081   5.93     -116.05       16.633800406217574  
  0.586    6.8    5    6.4    3.66    4.61   5     0.77   1.123   0.965     1.16    2.687   15.671   -2.192    0.5834900162220001    2.383    53.86    -95.17    -0.86     1.1819599505662919   43.97     -0.29    251.19999   49.3   0.081   5.695    -85.14        16.25448954319954   
  0.586    7.8    5    6.58   3.647   4.74   8     0.59   1.136   0.857     1.238   2.78    16.732   -2.455    0.591680023431778     0.12     100.73   -80.6     -78.2     1.2974780522584917   46.85     -0.84    251.19999   49.3   0.081   7.224    -38.269997    17.323680374383926  
  0.586    7.2    5    6.37   3.674   4.71   8     0.63   1.008   0.722     1.034   2.489   16.153   -3.206    0.5110400102138519    -1.872   -6.78    -48.76    -58.37    0.9953540579080582   -69.98    -0.69    251.19999   49.3   0.081   6.779    -145.78       16.664039888143538  
  0.636    7.1    5    6.5    3.648   4.63   7     0.74   1.171   1.009     1.252   2.825   16.13    -2.322    0.6137300024032593    -0.887   19.79    -50.51    -50.93    1.318211961865425    -29.37    -0.38    251.19999   49.3   0.081   5.93     -119.21       16.74372916316986   
  0.636    6.6    5    6.12   3.705   4.67   8     0.68   0.828   0.295     0.9     2.138   15.634   -4.649    0.39764000570774083   0.533    46.31    -136.38   -54.69    0.7968999646902084   -21.25    -1.0     251.19999   49.3   0.081   6.31     -92.69        16.031639830231665  
  0.686    7.1    5    6.5    3.648   4.64   5     0.75   1.218   1.171     1.271   2.872   16.3     0.688     0.6433400342464447    -1.116   -3.42    37.36     -18.63    1.3463510409593582   -9.33     0.05     251.19999   49.3   0.081   5.93     -142.42       16.943339271306993  
  0.686    6.7    5    6.4    3.664   4.58   5     0.76   1.137   1.054     1.141   2.653   15.885   -0.616    0.5923099777698517    -0.622   -2.44    -6.63     -18.85    1.1538210480213167   -20.42    0.05     251.19999   49.3   0.081   5.595    -141.44       16.477310206651687  
  0.686    6.4    5    6.3    3.678   4.55   6     0.78   1.066   0.945     1.037   2.479   15.689   -1.45     0.5475799903869629    0.568    21.49    -53.47    -12.41    0.999796912431717    3.41      0.06     251.19999   49.3   0.081   5.36     -117.51       16.23658012008667   
  0.686    6.3    5    6.3    3.682   4.56   6     0.82   1.038   0.877     1.013   2.42    15.583   -1.393    0.5299399921894073    -0.32    13.62    -36.2     -28.37    0.9642530169487      -15.18    0.01     251.19999   49.3   0.081   5.325    -125.38       16.112940175294877  
  0.686    6.2    5    6.2    3.687   4.59   7     0.85   0.987   0.744     0.985   2.355   15.485   -1.885    0.4978099927902222    -0.95    -9.51    -34.95    -33.55    0.922785021185875    -49.55    -0.22    251.19999   49.3   0.081   5.29     -148.51       15.982809649467468  
  0.686    7.2    5    6.37   3.674   4.71   8     0.63   0.984   0.603     1.017   2.465   16.467   0.654     0.4959200171232223    0.454    65.3     -2.89     -23.64    0.9701769406795502   66.08     -1.07    251.19999   49.3   0.081   6.779    -73.7         16.9629190710783    
  0.686    7.0    5    6.29   3.684   4.7    8     0.65   0.963   0.654     0.987   2.375   16.17    -1.688    0.4826899996995926    0.541    42.94    -64.14    -28.39    0.9257469830513001   15.75     -0.59    251.19999   49.3   0.081   6.625    -96.06        16.652690075993537  
  0.686    6.8    5    6.21   3.695   4.68   8     0.66   0.89    0.456     0.934   2.235   16.029   0.283     0.4366999909877777    -0.424   -3.8     15.32     -5.35     0.8472540225982668   -5.13     -0.82    251.19999   49.3   0.081   6.469    -142.8        16.465699319601057  
  0.736    6.8    5    6.4    3.66    4.61   3     0.77   1.16    1.091     1.177   2.71    16.198   -0.474    0.6067999789714813    -0.661   12.06    -5.33     -28.95    1.2071370677948      -9.14     0.05     251.19999   49.3   0.081   5.695    -126.94       16.804799933195113  
  0.736    6.7    5    6.4    3.664   4.59   6     0.79   1.107   0.954     1.128   2.636   16.094   -1.434    0.5734099957942963    -0.03    27.4     -47.65    -31.23    1.1345680310726167   -2.5      -0.23    251.19999   49.3   0.081   5.595    -111.6        16.667409858465195  
  0.736    6.5    5    6.3    3.673   4.58   7     0.8    1.018   0.745     1.04    2.502   15.893   -1.83     0.5173400042057037    0.799    11.49    -70.11    -3.81     1.0042399435043337   -7.38     -0.62    251.19999   49.3   0.081   5.46     -127.51       16.410339653253555  
  0.736    6.2    5    6.2    3.687   4.59   7     0.84   0.974   0.701     0.981   2.35    15.664   -0.798    0.4896199855804444    1.131    14.03    -45.75    12.94     0.9168610091805458   16.36     -0.34    251.19999   49.3   0.081   5.29     -124.97       16.15361954307556   
  0.736    7.6    5    6.51   3.655   4.73   8     0.6    1.085   0.748     1.162   2.692   17.047   -1.386    0.5595500240325928    -1.865   59.66    -21.86    -97.98    1.184921912431717    -7.15     -1.05    251.19999   49.3   0.081   7.078    -79.34        17.606550909042358  
  0.736    7.4    5    6.44   3.665   4.72   8     0.62   1.03    0.654     1.085   2.57    16.909   -1.562    0.5248999819755554    -0.993   25.53    -34.71    -56.1     1.0708850564956667   -21.63    -1.13    251.19999   49.3   0.081   6.93     -113.47       17.43390037870407   
  0.736    6.8    5    6.21   3.695   4.68   8     0.66   0.879   0.408     0.929   2.23    16.201   -0.819    0.429770005106926     -0.506   21.79    -20.2     -34.24    0.839849029660225    -4.73     -0.98    251.19999   49.3   0.081   6.469    -117.21       16.63077021872997   
  0.786    6.7    5    6.4    3.664   4.57   7     0.75   1.102   0.936     1.125   2.633   16.316   -0.137    0.5702599987983704    -1.2     46.19    7.73      -62.9     1.130125             11.85     -0.28    251.19999   49.3   0.081   5.595    -92.81        16.88625998353958   
  0.786    6.7    5    6.4    3.664   4.58   6     0.77   1.108   0.955     1.128   2.636   16.232   -0.83     0.5740400252342224    -0.066   -6.63    -23.62    -6.11     1.1345680310726167   -20.27    -0.22    251.19999   49.3   0.081   5.595    -145.63       16.80604037618637   
  0.786    6.8    5    6.4    3.66    4.62   7     0.78   1.093   0.865     1.148   2.669   16.438   -1.67     0.5645900342464447    0.312    6.1      -59.69    -12.05    1.1641880028247833   -18.31    -0.57    251.19999   49.3   0.081   5.695    -132.9        17.00258975958824   
  0.786    6.3    5    6.3    3.682   4.56   7     0.82   1.004   0.771     1.002   2.408   15.855   -1.901    0.5085199675559997    0.106    -8.62    -60.15    -10.96    0.9479619618654251   -36.96    -0.28    251.19999   49.3   0.081   5.325    -147.62       16.36351950979233   
  0.786    6.1    5    6.2    3.692   4.56   6     0.85   0.961   0.686     0.963   2.295   15.65    -0.298    0.48143001592159274   -1.293   25.26    8.74      -54.17    0.8902029992938043   -8.37     -0.23    251.19999   49.3   0.081   5.19     -113.74       16.131429634451866  
  0.786    5.8    5    6.0    3.707   4.55   5     0.89   0.908   0.611     0.915   2.15    15.411   0.319     0.4480399951934815    0.783    32.63    -10.98    4.6       0.8191150317788125   43.75     0.01     251.19999   49.3   0.081   5.02     -106.369995   15.8590402469635    
  0.836    6.7    5    6.4    3.664   4.59   6     0.78   1.108   0.956     1.128   2.636   16.341   -1.681    0.5740400252342224    0.017    32.05    -63.53    -37.35    1.1345680310726167   -5.75     -0.22    251.19999   49.3   0.081   5.595    -106.95       16.915039628505706  
  0.836    6.7    5    6.4    3.664   4.59   7     0.78   1.07    0.83      1.113   2.616   16.37    -1.21     0.550100033044815     -1.065   38.37    -28.15    -67.85    1.1123530522584917   -12.43    -0.57    251.19999   49.3   0.081   5.595    -100.630005   16.920100872278212  
  0.836    6.1    5    6.2    3.692   4.56   4     0.84   0.968   0.709     0.965   2.298   15.743   -1.449    0.4858399966955185    0.522    14.72    -61.82    -9.36     0.8931649611592294   -5.35     -0.16    251.19999   49.3   0.081   5.19     -124.28       16.228840027213096  
  0.836    6.1    5    6.2    3.692   4.56   7     0.84   0.944   0.627     0.958   2.289   15.826   -2.734    0.47072000360488897   1.841    59.45    -139.83   -12.19    0.8827980063557626   29.74     -0.39    251.19999   49.3   0.081   5.19     -79.55        16.296720217227936  
  0.836    5.8    5    6.0    3.707   4.55   7     0.88   0.872   0.482     0.909   2.139   15.4     -1.533    0.425359986782074     0.048    -12.74   -49.76    -7.18     0.8102289696335794   -36.45    -0.34    251.19999   49.3   0.081   5.02     -151.74       15.825359605312347  
  0.836    7.2    5    6.37   3.674   4.71   8     0.63   0.985   0.608     1.017   2.466   16.859   -1.945    0.49655000901222235   2.479    -17.47   -109.44   62.42     0.9701769406795502   -2.55     -1.06    251.19999   49.3   0.081   6.779    -156.47       17.355549261331557  
  0.836    7.0    5    6.29   3.684   4.7    8     0.65   0.968   0.677     0.99    2.379   16.792   -5.328    0.4858399966955185    -1.0     4.4      -160.6    -89.19    0.9301900141239168   -111.34   -0.52    251.19999   49.3   0.081   6.625    -134.6        17.27783981359005   
  0.886    7.0    5    6.5    3.652   4.6    6     0.73   1.169   1.035     1.225   2.792   16.891   -3.252    0.6124700186252594    0.314    32.66    -129.05   -47.43    1.2782250353097917   -31.31    -0.26    251.19999   49.3   0.081   5.83     -106.34       17.503470766305924  
  0.886    6.9    5    6.4    3.656   4.62   4     0.77   1.159   1.04      1.198   2.746   16.743   -0.341    0.6061700246334076    0.434    -8.44    -19.22    14.79     1.2382379322052002   -4.42     -0.18    251.19999   49.3   0.081   5.795    -147.44       17.349170055150985  
  0.886    6.7    5    6.4    3.664   4.59   5     0.78   1.152   1.109     1.155   2.664   16.529   0.364     0.6017599687576294    -1.319   6.69     38.51     -40.87    1.1745549576282501   -13.78    0.18     251.19999   49.3   0.081   5.595    -132.31       17.13075929737091   
  0.886    6.7    5    6.4    3.664   4.59   6     0.79   1.111   0.964     1.129   2.638   16.563   -1.746    0.575929963350296     0.605    -15.24   -71.31    8.32      1.1360489237308502   -33.1     -0.2     251.19999   49.3   0.081   5.595    -154.24       17.138929688692095  
  0.886    5.9    5    6.1    3.701   4.53   6     0.83   0.9     0.54      0.922   2.18    15.677   -1.761    0.44299998497962956   0.257    36.91    -75.68    -34.85    0.8294819865822793   -0.67     -0.33    251.19999   49.3   0.081   5.055    -102.09       16.120000030755996  
  0.886    6.2    5    6.2    3.687   4.59   7     0.84   0.977   0.711     0.982   2.351   16.106   0.492     0.4915099987983703    0.0020   23.04    12.62     -8.57     0.9183419901132583   26.92     -0.31    251.19999   49.3   0.081   5.29     -115.96       16.597510899066926  
  0.886    6.0    5    6.1    3.697   4.57   7     0.87   0.937   0.638     0.942   2.236   15.874   -0.988    0.466309985280037     -0.222   9.96     -32.72    -24.28    0.8591019583344459   -15.7     -0.21    251.19999   49.3   0.081   5.155    -129.04       16.340309580922128  
  0.886    5.7    5    6.0    3.712   4.55   7     0.92   0.867   0.504     0.898   2.102   15.567   -0.953    0.4222099897861481    0.638    9.45     -48.95    3.11      0.7939380028247833   1.43      -0.13    251.19999   49.3   0.081   4.92     -129.55       15.98921037888527   
  0.886    7.2    5    6.37   3.674   4.71   8     0.63   1.015   0.756     1.04    2.496   17.103   -0.596    0.5154499909877777    -0.862   47.34    -13.56    -62.74    1.0042399435043337   7.59      -0.59    251.19999   49.3   0.081   6.779    -91.66        17.61845063185692   
  0.886    7.0    5    6.29   3.684   4.7    8     0.65   0.968   0.675     0.99    2.378   16.83    0.247     0.4858399966955185    -0.733   33.05    16.85     -40.33    0.9301900141239168   15.42     -0.52    251.19999   49.3   0.081   6.625    -105.95       17.315839920401572  
  0.936    6.8    5    6.4    3.66    4.61   4     0.77   1.153   1.058     1.17    2.701   16.724   -0.749    0.6023899981975556    -0.182   11.77    -26.73    -22.22    1.1967699364423752   -9.98     -0.04    251.19999   49.3   0.081   5.695    -127.229996   17.326390928983688  
  0.936    6.6    5    6.3    3.669   4.6    4     0.79   1.125   1.064     1.119   2.605   16.621   -0.759    0.58475               0.179    0.32     -32.45    -3.45     1.121238937854767    -11.39    0.16     251.19999   49.3   0.081   5.56     -138.68       17.205750289916992  
  0.936    6.2    5    6.2    3.687   4.58   6     0.82   1.005   0.8       0.99    2.361   16.204   1.076     0.5091499969959259    -1.443   -33.64   78.7      -13.56    0.9301900141239168   -33.59    -0.06    251.19999   49.3   0.081   5.29     -172.64       16.713150470018387  
  0.936    5.9    5    6.1    3.701   4.54   7     0.84   0.875   0.444     0.916   2.172   15.829   -1.074    0.42725               0.736    32.71    -63.17    -8.98     0.820596012711525    18.32     -0.61    251.19999   49.3   0.081   5.055    -106.29       16.25625047302246   
