# oid   ra              dec                verr     vgsr                  ew        b                    l                    u           g           r_cone       i            z            err_u         err_g         err_r         err_i         err_z         dered_u     dered_g     dered_r      dered_i      dered_z     
  1     162.802208333   -0.0183833333333   2.931    -81.50679931030271    0.8393    50.368374865868276   251.1890481586792    18.285753   16.519732   15.865203    15.646023    15.55684     0.013129598   0.0041104956  0.0040904162  0.0042724023  0.006114121   18.060448   16.353954   15.744967    15.554852    15.492198   
  2     163.088875      -0.0463722222222   4.215    -66.49710177001953    0.5773    50.54817260540138    251.54254224528057   19.796652   17.917734   17.12187     16.835573    16.681953    0.03785341    0.0058131213  0.005036366   0.0053912564  0.009693331   19.573528   17.753561   17.002798    16.745285    16.617937   
  3     162.782375      -0.0438083333333   3.834    -95.50369870605468    0.7234    50.33631649895661    251.1946458389168    19.059885   16.756329   15.784451    15.38926     15.2066      0.019586623   0.0042371834  0.003975078   0.0040809647  0.0054317894  18.830275   16.587383   15.661918    15.296348    15.140723   
  4     162.998375      -0.0881638888889   7.416    156.80510170898438    0.2888    50.4551776734253     251.48602752354842   18.690481   17.346771   16.745253    16.530506    16.416533    0.01610567    0.004917867   0.0047101374  0.0051189614  0.008589778   18.463606   17.179838   16.624178    16.4387      16.35144    
  5     162.671458333   -0.0527944444444   3.171    -156.0486008239746    1.269     50.25234937716131    251.08042065751533   19.79939    17.620451   16.788652    16.539202    16.40633     0.030638527   0.0052619474  0.0044241725  0.0050667427  0.008624273   19.587036   17.464203   16.675327    16.453272    16.345404   
  6     162.775916667   -0.0754472222222   2.283    -123.09000004882813   0.8396    50.30918939145979    251.22206183332068   18.63375    16.436943   15.577834    15.30371     15.157571    0.015298442   0.004039305   0.0039248765  0.0041406886  0.0053784754  18.398544   16.26388    15.452314    15.208532    15.090089   
  7     162.718291667   -0.0888444444444   2.748    -103.24739943237304   0.6718    50.25933434743083    251.17219391197108   17.587786   15.938132   15.309828    15.106262    15.02256     0.009437675   0.0037908733  0.0038180002  0.004159291   0.005196803   17.361977   15.771984   15.189323    15.014888    14.957774   
  8     162.865958333   -0.122155555556    6.669    -62.30830096435548    0.5715    50.3385613001276     251.37412889538004   19.242828   17.596785   16.962833    16.745367    16.640774    0.02156571    0.005147361   0.004832559   0.005115926   0.009420847   19.002075   17.419641   16.834354    16.647945    16.571701   
  9     162.452333333   -0.0644194444444   3.359    -141.38190002717974   0.5686    50.09044512300189    250.84914902912118   17.853321   16.282082   15.715026    15.476489    15.427763    0.010612639   0.0038916238  0.0036098291  0.004293086   0.0059736944  17.63153    16.118889   15.596665    15.38674     15.36413    
  10    162.807208333   -0.142563888889    2.687    -142.40509999923708   1.012     50.282970182663796   251.33047596323632   19.543146   17.029507   16.00003     15.649567    15.464572    0.0255583     0.004440132   0.0041256975  0.0042818156  0.0058946013  19.301163   16.851458   15.870894    15.551647    15.395145   
  11    162.719875      -0.130566666667    2.242    -122.31870043029787   0.6997    50.230587971923235   251.21954093265467   17.757364   15.910153   15.233816    15.0105915   14.916396    0.009864445   0.0038144211  0.0038115052  0.004155765   0.0049812775  17.529297   15.742344   15.112106    14.918303    14.850963   
  12    162.770083333   -0.155405555556    4.377    -71.99289803466797    0.5698    50.24787381234719    251.30288508100944   18.78857    17.310911   16.695305    16.463005    16.361729    0.016511543   0.004734915   0.0045080297  0.004814444   0.00828867    18.549973   17.135353   16.567976    16.366455    16.293274   
  13    162.639791667   -0.150758333333    3.802    -119.93920077514649   0.6457    50.16017367926383    251.15210683969616   19.239288   17.498379   16.866423    16.63397     16.529692    0.021887407   0.0050503644  0.004529572   0.0051328666  0.009115577   19.022095   17.33857    16.750515    16.546082    16.467377   
