# oid ra            dec              verr   vgsr                ew                   b                  l                  u         g         r         i         z         err_u       err_g        err_r        err_i        err_z        dered_u   dered_g   dered_r   dered_i   dered_z  
  502 161.409625    -0.284933333333  6.915  -39.07550109863283  -0.16914999961853028 49.197798156680896 249.9498981384752  19.315735 17.77808  17.12255  16.872768 16.745457 0.029025188 0.0054588094 0.005046223  0.005142658  0.010577384  19.099388 17.618895 17.007093 16.785223 16.683386
  823 161.513958333 -2.94558055556   11.227 -13.844602563476542 -0.21227000236511231 47.36260701593873  252.8496587977893  19.146563 18.117273 17.655909 17.429544 17.376696 0.029750502 0.006822847  0.005973174  0.006241633  0.015476545  18.939323 17.964788 17.545315 17.345684 17.317238
  184 161.60475     0.0807138888889  2.739  20.320794140624997  -0.12739000082015992 49.59355870168442  249.76082843692035 18.712357 16.722878 15.895878 15.557134 15.359882 0.020544086 0.003960982  0.0037757494 0.0038315987 0.00584757   18.505909 16.570974 15.785706 15.473594 15.300652
  525 161.60475     0.0807138888889  2.733  19.823502319335944  -0.1273300004005432  49.59355870168442  249.76082843692035 18.712357 16.722878 15.895878 15.557134 15.359882 0.020544086 0.003960982  0.0037757494 0.0038315987 0.00584757   18.505909 16.570974 15.785706 15.473594 15.300652
  155 161.678375    -0.161633333333  4.12   51.80559487304686   -0.1411999988555908  49.475418895422834 250.10605335925084 19.419626 17.914698 17.289549 17.021515 16.881529 0.025263978 0.0057705236 0.0052911146 0.0055320496 0.011157484  19.215605 17.76458  17.180672 16.938955 16.822994
  813 161.733958333 -2.95031666667   14.184 -40.032299816894536 -0.2418400001525879  47.5090270013095   253.09186816014113 19.58165  18.364075 17.848692 17.643599 17.548916 0.04065864  0.0073550236 0.0065740044 0.0069088265 0.018747965  19.380804 18.216293 17.741508 17.562325 17.491291
  886 161.759083333 -2.25420277778   8.959  -77.37310050048826  -0.18958999633789064 48.03382747870926  252.41035939619985 20.162176 18.781628 18.235535 18.054255 18.027784 0.054675423 0.009025702  0.008032456  0.008868321  0.031373408  19.93697  18.615923 18.11535  17.963123 17.963171
  917 161.775583333 -1.93441388889   17.591 74.88620500488281   -0.2759099960327148  48.27698889504893  252.09803773623332 20.337643 18.914501 18.32757  18.072187 17.923386 0.05098061  0.008965954  0.007838321  0.008584506  0.023746442  20.10432  18.742825 18.203056 17.977772 17.856443
  482 161.785083333 -0.208472222222  4.71   -59.248102832031236 -0.14710000038146973 49.51795282916346  250.27311403319104 19.52826  17.893349 17.247938 16.95936  16.783348 0.030209849 0.0058008987 0.0051120287 0.005343468  0.010772933  19.335258 17.75134  17.144941 16.881262 16.727976
  798 161.812375    -3.25108055556   8.984  109.51589707031252  -0.18984000205993654 47.341471918808224 253.47876613257912 20.01923  18.785736 18.209398 17.986425 17.849482 0.040022098 0.009159811  0.0075224633 0.008368161  0.019231504  19.845861 18.658173 18.116879 17.916271 17.799742
  570 161.8235      0.418813888889   3.299  79.2034959716797    -0.13299000024795532 49.98657482694903  249.62497164645816 18.062841 16.246904 15.479513 15.149781 14.953528 0.012328747 0.0039872914 0.0037912773 0.003980284  0.0052044583 17.843739 16.085691 15.362588 15.06112  14.890667
  932 161.871125    -2.03961111111   29.815 93.1531068359375    -0.3981500053405762  48.26660859775711  252.31090881006116 19.210722 18.050243 17.529612 17.298325 17.138088 0.023440067 0.0059991363 0.0056077735 0.005887588  0.013590011  18.958752 17.864845 17.395145 17.196363 17.065796
  595 161.893666667 0.953111111111   3.785  13.74919353027343   -0.1378500008583069  50.40976285823556  249.10377357472385 19.080214 17.499569 16.825552 16.557255 16.419186 0.025025355 0.004992151  0.0042887647 0.004550047  0.009308286  18.847385 17.328257 16.701302 16.46304  16.352386
  98  161.904458333 -0.929308333333  5.882  -73.16909691162108  -0.15881999969482422 49.08944135057366  251.1807263850993  18.840176 17.57829  17.085567 16.850887 16.744925 0.018917117 0.005121057  0.0048005604 0.0049774307 0.009483148  18.637798 17.429384 16.977568 16.768993 16.686861
  587 161.922416667 0.491725         5.415  -8.965356337890611  -0.15414999961853026 50.10825377974998  249.65190479646878 18.519358 17.11774  16.588785 16.354958 16.232601 0.017395929 0.0044098655 0.0040945373 0.0044170325 0.0076909447 18.296913 16.954067 16.470076 16.264944 16.168781
  952 162.085833333 -1.53571111111   6.156  -48.626298828125    -0.16156000137329102 48.77950061012141  252.02080951592433 20.147257 18.30731  17.557964 17.217323 17.032238 0.04240925  0.0067593446 0.0054650106 0.005836149  0.011318942  19.93741  18.152908 17.445978 17.132408 16.972033
  604 162.087       0.442894444444   11.716 118.84700952148438  -0.21715999603271485 50.19121454589844  249.88645167651495 19.45122  18.037512 17.443346 17.189741 17.055872 0.029611299 0.0061635575 0.0053004525 0.005925539  0.012702749  19.232868 17.876852 17.326822 17.101385 16.993225
  955 162.130875    -1.55735         8.188  64.94650732421877   -0.18187999725341797 48.794946023312235 252.0929066074106  20.080568 18.752378 18.272175 18.056938 17.961107 0.03960616  0.008318563  0.007486683  0.008886686  0.020912752  19.875717 18.60165  18.162855 17.974043 17.902334
  424 162.195375    -0.541061111111  14.06  101.8972146484376   -0.240600004196167   49.570405916548225 251.08306531579558 19.062834 18.008785 17.50639  17.30564  17.225492 0.021453455 0.0059794895 0.0054929513 0.0057678707 0.012545446  18.849867 17.852087 17.392738 17.219461 17.16439 
  74  162.203791667 -0.329908333333  11.173 -181.24939884643555 -0.2117300033569336  49.726892780155524 250.86373186147512 19.136824 17.961826 17.439323 17.185455 17.06845  0.026523404 0.005938234  0.005396509  0.0057827276 0.013757295  18.928062 17.808222 17.327917 17.100979 17.008556
  420 162.203791667 -0.329908333333  12.941 -183.14894140625006 -0.22940999984741212 49.726892780155524 250.86373186147512 19.136824 17.961826 17.439323 17.185455 17.06845  0.026523404 0.005938234  0.005396509  0.0057827276 0.013757295  18.928062 17.808222 17.327917 17.100979 17.008556
