# g      r     
  12.196 10.88 
  11.139 10.007
  10.493 9.444 
  10.048 9.054 
  9.665  8.717 
  9.31   8.405 
  8.877  8.024 
  8.411  7.626 
  7.842  7.151 
  7.237  6.652 
  7.068  6.513 
  6.734  6.236 
  6.44   5.992 
  6.176  5.77  
  5.931  5.563 
  5.698  5.363 
  5.473  5.167 
  5.247  4.968 
  5.001  4.749 
  4.96   4.712 
  4.791  4.559 
  4.615  4.399 
  4.406  4.207 
  4.169  3.989 
  4.099  3.924 
  4.033  3.862 
  4.014  3.843 
  3.942  3.775 
  3.662  3.495 
  3.499  3.312 
  3.369  3.145 
  3.299  3.029 
  3.262  2.938 
  3.239  2.856 
  3.235  2.843 
  3.151  2.719 
  3.017  2.564 
  2.878  2.414 
  2.733  2.259 
  2.587  2.107 
  2.441  1.956 
  2.281  1.79  
  2.127  1.63  
  1.991  1.488 
  1.843  1.332 
  1.705  1.186 
  1.571  1.045 
  1.438  0.904 
  1.307  0.766 
  1.172  0.622 
  1.045  0.487 
  0.92   0.352 
  0.798  0.22  
  0.68   0.092 
  0.564  -0.033
  0.455  -0.151
  0.399  -0.211
  0.452  -0.151
  0.314  -0.303
  0.183  -0.447
  0.043  -0.601
  -0.088 -0.748
  -0.232 -0.909
  -0.367 -1.062
  -0.489 -1.2  
  -0.625 -1.357
  -0.749 -1.501
  -0.886 -1.664
  -0.997 -1.795
  -1.113 -1.936
  -1.229 -2.075
  -1.344 -2.218
  -1.442 -2.342
  -1.547 -2.477
  -1.649 -2.61 
  -1.727 -2.713
  -1.824 -2.843
  -1.908 -2.963
  -1.985 -3.067
