# g      r     
  12.36  10.979
  11.293 10.11 
  10.597 9.518 
  10.12  9.108 
  9.691  8.736 
  9.317  8.411 
  8.865  8.018 
  8.388  7.611 
  7.815  7.135 
  7.211  6.637 
  7.082  6.531 
  6.754  6.26  
  6.463  6.018 
  6.203  5.8   
  6.023  5.648 
  5.871  5.517 
  5.652  5.328 
  5.441  5.143 
  5.223  4.951 
  4.965  4.719 
  4.8    4.569 
  4.715  4.492 
  4.489  4.286 
  4.177  3.999 
  4.096  3.923 
  4.021  3.853 
  4.009  3.841 
  3.948  3.781 
  3.648  3.484 
  3.467  3.279 
  3.332  3.1   
  3.262  2.956 
  3.252  2.874 
  3.179  2.765 
  3.083  2.645 
  2.947  2.495 
  2.817  2.355 
  2.681  2.212 
  2.542  2.068 
  2.396  1.916 
  2.259  1.774 
  2.113  1.623 
  1.967  1.47  
  1.823  1.319 
  1.685  1.173 
  1.547  1.028 
  1.409  0.883 
  1.286  0.753 
  1.159  0.617 
  1.042  0.492 
  0.921  0.363 
  0.811  0.244 
  0.701  0.127 
  0.601  0.018 
  0.501  -0.091
  0.421  -0.177
  0.342  -0.262
  0.337  -0.268
  0.386  -0.212
  0.23   -0.382
  0.08   -0.548
  -0.069 -0.713
  -0.209 -0.87 
  -0.361 -1.04 
  -0.499 -1.196
  -0.639 -1.356
  -0.782 -1.521
  -0.937 -1.704
  -1.071 -1.864
  -1.205 -2.024
  -1.341 -2.19 
  -1.489 -2.377
  -1.619 -2.543
  -1.746 -2.706
  -1.874 -2.88 
  -1.993 -3.042
  -2.012 -3.069
