# g       r     
  12.155  10.857
  11.096  9.983 
  10.445  9.416 
  10.003  9.027 
  9.621   8.691 
  9.277   8.387 
  8.843   8.005 
  8.382   7.609 
  7.817   7.137 
  7.204   6.634 
  7.08    6.531 
  6.752   6.26  
  6.461   6.018 
  6.201   5.8   
  6.019   5.645 
  5.868   5.517 
  5.65    5.327 
  5.438   5.142 
  5.219   4.948 
  4.961   4.716 
  4.794   4.565 
  4.707   4.486 
  4.481   4.279 
  4.165   3.989 
  4.082   3.912 
  4.006   3.84  
  3.993   3.828 
  3.933   3.769 
  3.637   3.476 
  3.457   3.271 
  3.322   3.093 
  3.252   2.949 
  3.241   2.867 
  3.17    2.759 
  3.074   2.639 
  2.939   2.489 
  2.808   2.348 
  2.672   2.205 
  2.532   2.06  
  2.386   1.908 
  2.248   1.765 
  2.102   1.614 
  1.956   1.461 
  1.811   1.309 
  1.672   1.163 
  1.534   1.017 
  1.396   0.871 
  1.272   0.74  
  1.144   0.604 
  1.027   0.479 
  0.905   0.349 
  0.794   0.23  
  0.684   0.111 
  0.583   0.0010
  0.481   -0.108
  0.4     -0.196
  0.32    -0.283
  0.315   -0.288
  0.363   -0.233
  0.208   -0.402
  0.058   -0.568
  -0.09   -0.732
  -0.23   -0.888
  -0.381  -1.058
  -0.519  -1.213
  -0.658  -1.372
  -0.8    -1.536
  -0.953  -1.717
  -1.088  -1.877
  -1.22   -2.035
  -1.355  -2.2  
  -1.501  -2.384
  -1.63   -2.548
  -1.755  -2.71 
  -1.883  -2.882
  -2.0    -3.042
  -2.019  -3.068
