# g      r      
  7.151  6.607  
  7.059  6.531  
  6.736  6.262  
  6.447  6.021  
  6.187  5.8    
  5.978  5.622  
  5.851  5.513  
  5.629  5.32   
  5.412  5.129  
  5.187  4.93   
  4.919  4.688  
  4.744  4.53   
  4.636  4.432  
  4.407  4.224  
  4.054  3.901  
  3.96   3.813  
  3.872  3.73   
  3.857  3.716  
  3.802  3.663  
  3.539  3.402  
  3.37   3.208  
  3.24   3.036  
  3.165  2.892  
  3.144  2.804  
  3.092  2.707  
  3.003  2.591  
  2.87   2.439  
  2.736  2.294  
  2.594  2.145  
  2.452  1.996  
  2.304  1.843  
  2.16   1.693  
  2.008  1.535  
  1.859  1.38   
  1.711  1.226  
  1.569  1.077  
  1.423  0.924  
  1.282  0.774  
  1.151  0.636  
  1.018  0.495  
  0.897  0.367  
  0.77   0.23   
  0.651  0.104  
  0.534  -0.022 
  0.424  -0.14  
  0.313  -0.26  
  0.219  -0.36  
  0.129  -0.458 
  0.124  -0.463 
  0.166  -0.416 
  0.016  -0.579 
  -0.132 -0.741 
  -0.274 -0.899 
  -0.408 -1.048 
  -0.553 -1.21  
  -0.687 -1.361 
  -0.821 -1.512 
  -0.954 -1.666 
  -1.098 -1.835 
  -1.227 -1.985 
  -1.354 -2.135 
  -1.477 -2.284 
  -1.61  -2.449 
  -1.728 -2.597 
  -1.841 -2.74  
  -1.957 -2.893 
  -2.064 -3.035 
  -2.081 -3.058 
