#oid vrad verr R
16 -9.3807 7.799 0.77
730 202.7359 12.233 0.64
736 29.5655 11.134 0.55
841 49.6891 12.149 0.68
848 21.4439 7.291 0.83
854 27.1514 4.049 0.94
863 -2.9968 4.335 0.9
883 40.4679 4.005 0.93
912 48.9522 8.064 0.89
921 10.494 4.806 0.93
985 197.1304 8.06 0.88
1001 73.7503 7.851 0.79
23 50.5927 3.037 0.95
137 -6.7495 4.984 0.91
523 153.452 4.063 0.86
78 -6.7796 4.514 0.94
148 -3.6297 2.175 0.94
28 -3.4261 6.417 0.84
198 234.4379 7.232 0.74
97 39.7733 26.689 0.72
162 -6.1858 2.96 0.95
629 -3983.567 297.085 0.01
512 -7.4995 3.314 0.93
90 0.3843 3.216 0.93
969 97.413 11.546 0.75
243 133.354 5.13 0.91
601 40.535 3.947 0.91
634 -14.1261 3.151 0.94
253 50.4677 3.773 0.93
517 107.8209 3.157 0.95
586 23.8248 4.021 0.91
507 34.3446 4.833 0.93
1000 89.5157 18.263 0.62
205 48.3544 8.422 0.86
773 65.3404 5.39 0.88
289 11.5031 5.23 0.89
637 17.025 3.194 0.95
346 107.1853 3.856 0.93
234 -6.1248 3.879 0.95
786 24.4687 15.688 0.78
856 54.6087 9.367 0.89
710 9.3908 19.187 0.69
655 10.5417 7.42 0.79
809 -16.6788 4.122 0.93
796 42.7793 10.667 0.72
764 122.1646 10.156 0.76
489 41.8957 3.59 0.93
495 55.4111 2.736 0.94
497 17.6305 5.574 0.9
302 -29.6968 3.262 0.96
303 1.7388 4.701 0.94
500 2.3372 3.412 0.93
504 40.1944 2.739 0.93
308 55.0331 2.383 0.94
314 74.5612 6.514 0.89
760 10.8283 19.656 0.67
514 221.1798 3.228 0.91
515 13.2958 5.098 0.92
516 64.0444 6.497 0.88
328 -33.5866 5.488 0.87
765 205.7183 4.363 0.88
525 157.6096 2.733 0.93
528 -53.7075 2.655 0.95
532 -13.6309 3.181 0.95
538 55.1905 3.793 0.92
540 129.2132 8.366 0.83
541 46.0456 5.845 0.85
770 73.7038 16.212 0.7
348 68.9948 4.535 0.87
542 38.9199 6.205 0.89
549 4.7909 4.766 0.89
352 31.298 2.57 0.95
551 19.315 2.327 0.95
1009 38.8395 9.573 0.72
552 -14.2603 2.745 0.95
366 18.0549 2.995 0.94
11 14.6516 2.242 0.96
557 -40.3884 5.231 0.92
778 -41.7557 6.99 0.88
7 33.6009 2.748 0.94
318 -10.787 3.544 0.95
329 189.3192 6.208 0.85
558 81.813 8.519 0.78
783 12.4241 7.493 0.78
331 25.2214 4.244 0.94
63 18.4456 3.437 0.93
332 -6.6521 3.557 0.95
118 16.8641 5.756 0.92
570 215.6981 3.299 0.93
345 1.983 1.72 0.95
347 19.3378 4.806 0.93
60 1.326 3.98 0.94
53 44.3078 4.496 0.9
575 -5.3721 2.781 0.95
584 -27.5434 4.643 0.91
785 78.8474 3.802 0.9
351 17.4524 2.367 0.95
356 3.9024 2.759 0.96
587 127.1744 5.415 0.85
593 18.3175 2.951 0.94
1034 68.5115 5.024 0.87
359 43.4344 4.366 0.91
364 37.0821 2.519 0.95
106 13.449 4.008 0.94
596 26.8587 3.21 0.94
126 -9.3811 3.799 0.93
599 56.644 4.546 0.92
602 17.6018 2.161 0.95
792 23.3288 4.396 0.86
603 -8.0209 4.166 0.93
605 41.3311 3.478 0.93
806 72.463 9.14 0.77
812 -20.9492 4.135 0.92
606 133.2975 3.208 0.91
611 124.4389 3.927 0.95
816 -23.5186 5.688 0.87
818 -2.3367 4.373 0.87
614 142.8659 4.377 0.93
627 25.4019 6.355 0.9
628 52.7411 8.61 0.82
633 37.4829 7.316 0.87
639 -12.1553 9.66 0.73
640 46.9124 8.172 0.88
643 20.9906 2.728 0.96
823 132.955 11.227 0.47
825 48.3584 5.682 0.84
644 4.4662 2.865 0.96
649 45.9919 4.569 0.88
662 50.0754 4.108 0.91
665 -9.7911 3.823 0.94
669 -15.772 2.8 0.95
678 22.8153 5.747 0.88
682 -55.078 4.708 0.87
827 200.4904 6.598 0.81
829 40.8507 12.361 0.7
683 105.4558 8.339 0.74
72 7.8752 5.245 0.92
685 218.7484 4.966 0.87
832 81.825 9.751 0.82
687 141.9494 4.151 0.91
690 313.4429 9.694 0.56
691 203.0311 8.66 0.81
693 -18.3892 7.423 0.87
700 -35.7008 11.449 0.8
712 29.7223 18.479 0.81
727 27.6358 6.809 0.92
836 -18.0894 18.247 0.65
731 9.975 7.026 0.91
734 376.5786 51.866 0.53
839 70.3539 9.035 0.78
737 107.6712 8.084 0.77
740 206.3559 19.412 0.55
743 25.1492 10.386 0.73
749 -38.4933 8.642 0.79
840 25.8018 22.98 0.69
843 -2.8412 3.646 0.92
846 36.5101 7.345 0.83
851 30.0284 3.191 0.94
857 51.0632 6.022 0.89
860 19.0255 4.099 0.91
869 83.5717 6.886 0.93
870 4.0758 3.067 0.94
128 41.1342 2.36 0.94
877 22.4152 6.088 0.83
880 -30.7612 3.729 0.92
886 67.1134 8.959 0.73
887 31.8444 4.709 0.91
888 252.3738 7.074 0.81
893 116.3018 5.69 0.85
896 161.6019 5.915 0.79
898 2.1607 9.378 0.82
900 37.2629 7.196 0.66
903 94.296 13.343 0.73
905 44.1028 6.475 0.83
909 74.7962 10.997 0.79
913 7.68 6.619 0.91
916 31.7906 4.762 0.92
919 72.8809 5.889 0.85
932 236.8854 29.815 0.33
88 8.2348 3.214 0.95
935 99.2095 4.676 0.91
936 5.5647 4.465 0.9
942 25.1149 8.651 0.75
946 104.481 9.796 0.81
951 22.0685 4.853 0.88
954 52.4895 9.981 0.58
956 108.0818 4.625 0.92
266 18.2991 1.892 0.96
959 322.6658 6.624 0.88
962 227.0986 15.43 0.69
970 156.091 5.822 0.82
973 127.085 5.343 0.91
977 61.9004 7.253 0.87
980 13.2322 7.645 0.83
992 145.644 8.606 0.74
1003 51.7176 19.728 0.72
335 8.3478 5.025 0.88
949 -20.0602 2.438 0.94
976 126.2589 6.495 0.84
1015 135.7266 9.552 0.84
73 -29.2626 7.837 0.82
33 51.105 5.851 0.88
39 14.8244 2.949 0.95
219 -7446.957 354.524 0.1
