# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.1500000060    0.1500  -2.3331 3.5781  5.2056  10.603  15.233  12.512  11.076  10.512  10.185  0.4787  0.0000  0.0 1   -17.817 1.9609395266
    10.00   0.2000000030    0.2000  -2.0360 3.6003  5.1221  9.860   13.729  11.446  10.196  9.719   9.444   0.4787  0.0000  0.0 1   -17.692 2.2217822075
    10.00   0.2500000000    0.2500  -1.8409 3.6116  5.0693  9.372   13.055  10.846  9.668   9.223   8.968   0.4787  0.0000  0.0 1   -17.573 2.4080901146
    10.00   0.3000000119    0.3000  -1.6902 3.6205  5.0332  8.996   12.534  10.381  9.260   8.840   8.601   0.4787  0.0000  0.0 1   -16.636 2.5475041866
    10.00   0.3499999940    0.3500  -1.5647 3.6280  5.0047  8.682   12.096  9.993   8.919   8.520   8.295   0.4787  0.0000  0.0 1   -15.843 2.6555202007
    10.00   0.4000000060    0.4000  -1.4240 3.6353  4.9513  8.330   11.618  9.568   8.543   8.166   7.954   0.4787  0.0000  0.0 1   -15.157 2.7413372993
    10.00   0.4499999881    0.4500  -1.2940 3.6445  4.9092  8.005   11.134  9.150   8.186   7.836   7.641   0.4787  0.0000  0.0 1   -14.551 2.8109800816
    10.00   0.5000000000    0.5000  -1.1433 3.6567  4.8531  7.628   10.539  8.657   7.770   7.453   7.279   0.4787  0.0000  0.0 1   -14.009 2.8684780598
    10.00   0.5500000119    0.5500  -0.9711 3.6749  4.7950  7.198   9.778   8.061   7.283   7.011   6.868   0.4787  0.0000  0.0 1   -13.519 2.9166350365
    10.00   0.5732127428    0.5732  -0.8817 3.6866  4.7704  6.974   9.351   7.753   7.033   6.784   6.657   0.4787  0.0000  0.0 1   -13.307 2.9363682270
    10.00   0.6000000238    0.5998  -0.7851 3.6992  4.7438  6.733   8.892   7.422   6.763   6.539   6.430   0.4787  0.0000  0.0 1   -13.073 2.9573988914
    10.00   0.6231289506    0.6229  -0.6947 3.7120  4.7213  6.507   8.471   7.125   6.521   6.318   6.226   0.4787  0.0000  0.0 1   -12.879 2.9742228985
    10.00   0.6504932046    0.6502  -0.5883 3.7271  4.6937  6.241   7.985   6.781   6.239   6.061   5.988   0.4787  0.0000  0.0 1   -12.659 2.9926881790
    10.00   0.6749825478    0.6746  -0.4926 3.7405  4.6676  6.002   7.583   6.486   5.997   5.840   5.783   0.4787  0.0000  0.0 1   -12.469 3.0079846382
    10.00   0.6973566413    0.6969  -0.4044 3.7525  4.6416  5.781   7.224   6.217   5.775   5.638   5.594   0.4787  0.0000  0.0 1   -12.302 3.0210480690
    10.00   0.6999999881    0.6996  -0.3939 3.7539  4.6384  5.755   7.185   6.186   5.750   5.614   5.572   0.4787  0.0000  0.0 1   -12.282 3.0225379467
    10.00   0.7081880569    0.7077  -0.3607 3.7581  4.6269  5.672   7.066   6.090   5.669   5.540   5.502   0.4787  0.0000  0.0 1   -12.226 3.0270845890
    10.00   0.7274254560    0.7269  -0.2815 3.7670  4.5948  5.474   6.790   5.863   5.475   5.359   5.332   0.4787  0.0000  0.0 1   -12.090 3.0373759270
    10.00   0.7452796102    0.7446  -0.2060 3.7755  4.5639  5.285   6.529   5.646   5.291   5.188   5.169   0.4787  0.0000  0.0 1   -11.963 3.0464661121
    10.00   0.7621221542    0.7614  -0.1326 3.7833  4.5312  5.102   6.307   5.442   5.113   5.022   5.012   0.4787  0.0000  0.0 1   -11.846 3.0546624660
    10.00   0.7786174417    0.7777  -0.0577 3.7905  4.4946  4.914   6.084   5.235   4.931   4.851   4.849   0.4787  0.0000  0.0 1   -11.739 3.0623562336
    10.00   0.7964899540    0.7955  0.0288  3.7981  4.4480  4.698   5.834   4.997   4.719   4.650   4.657   0.4787  0.0000  0.0 1   -11.638 3.0703434944
    10.00   0.8000000119    0.7989  0.0466  3.7995  4.4379  4.654   5.783   4.948   4.676   4.609   4.618   0.4787  0.0000  0.0 1   -11.621 3.0718705654
    10.00   0.8077498674    0.8066  0.0861  3.8026  4.4148  4.555   5.677   4.841   4.578   4.517   4.529   0.4787  0.0000  0.0 1   -11.586 3.0751943588
    10.00   0.8187348247    0.8174  0.1453  3.8064  4.3768  4.407   5.523   4.682   4.432   4.377   4.393   0.4787  0.0000  0.0 1   -11.547 3.0797948837
