oid,RA2000,DEC2000,dered_g,dered_r,g-r,v_helio,v_gsr,v_err,ew,[Fe/H]_cat,[Fe/H]_iso,[Fe/H]_adopted
571,10:46:21.930,+00:43:21.8,17.52,17.02,0.50,216.8,80.9,14.9,0.273,-1.78,-2.28,-1.78
143,10:46:29.290,-0:19:38.500,17.77,17.21,0.56,221.3,82.3,3.7,0.126,-1.63,-1.68,-1.63
492,10:46:50.410,-0:13:15.600,17.33,16.83,0.51,219.0,80.5,2.3,0.416,-1.31,-2.28,-1.31
917,10:47:06.140,-1:56:03.900,18.74,18.20,0.54,224.8,81.2,9.0,0.452,-1.12,-1.4,-1.4
798,10:47:14.970,-3:15:03.900,18.66,18.12,0.54,256.2,108.9,5.0,-0.190,-1.85,-1.43,-1.43
570,10:47:17.640,+00:25:07.7,16.09,15.36,0.72,221.3,84.8,9.4,0.212,-1.84,-1.8,-1.84
932,10:47:29.070,-2:02:22.600,17.86,17.40,0.47,235.3,91.6,15.9,-0.398,-2.82,-2.28,-2.82
169,10:47:30.130,-0:01:24.500,17.25,16.64,0.61,222.2,84.5,2.3,0.123,-1.62,-1.68,-1.62
604,10:48:20.880,+00:26:34.4,17.88,17.33,0.55,256.4,120.3,7.2,0.467,-1.65,-1.73,-1.65
264,10:48:27.810,+00:55:24.0,17.72,17.21,0.51,263.4,128.8,11.7,0.182,-1.48,-2.28,-1.48
625,10:48:31.870,+00:03:35.7,17.02,16.45,0.58,247.6,110.5,8.2,0.234,-1.12,-2.1,-1.12
768,10:48:44.420,-2:53:08.800,18.35,17.73,0.62,262.5,116.7,4.8,0.183,-1.01,-1.17,-1.17
76,10:48:46.890,-0:32:27.800,17.85,17.39,0.46,245.6,106.7,5.3,0.324,-2.37,-2.28,-2.37
337,10:49:08.330,+00:02:00.2,16.27,15.65,0.62,1372.2,1235.1,9.3,0.034,-2.70,-2.28,-2.7
642,10:50:13.060,+00:33:52.7,16.13,15.56,0.58,236.6,101.5,9.8,0.391,-1.54,-2.28,-1.54
991,10:50:24.230,-1:49:05.400,17.94,17.40,0.54,256.2,114.1,16.5,0.151,-1.06,-1.73,-1.06
672,10:50:33.780,+00:12:19.1,17.82,17.22,0.60,234.5,98.5,12.5,0.596,-0.90,-1.43,-0.9
685,10:51:19.730,+00:05:15.5,17.81,17.16,0.65,226.0,89.9,11.2,0.198,-1.16,-1.2,-1.16
