oid_1,ra,dec,snr,v_rad,v_helio,v_gsr,v_err,prior_teff,param_teff,param_logg,param_feh,param_alpha,chi_sq,oid_2,vrad,verr,R,absverr,delta_vgsr,vgsr
1,162.802208333,-0.0183833333333,64.6365628256,59.3457,59.3403,-77.1828,2.305,5235.52,4997.06,4.61552941385,-1.00003417668,0.351050414233,4.13466,1,55.0217,2.931,0.94,2.930999994277954,-136.52849931030272,-81.50679931030271
2,163.088875,-0.0463722222222,31.982971429,75.4065,75.3995,-60.8285,2.518,4361.27,4749.78,4.79518370429,-1.5153386196,0.349610173078,2.31829,2,69.7379,4.215,0.91,4.215000152587891,-136.23500177001952,-66.49710177001953
3,162.782375,-0.0438083333333,73.4355385376,45.5468,45.5425,-91.083,2.534,4589.35,4336.11,4.56518237115,-0.743250954762,0.0676374074292,4.8949,3,41.1261,3.834,0.94,3.8340001106262207,-136.6297987060547,-95.50369870605468
4,162.998375,-0.0881638888889,38.5415694502,298.267,298.24,161.766,4.974,5294.99,5081.7,1.42509371713,-1.33463174432,0.192281510747,4.79724,4,293.3061,7.416,0.86,7.415999889373779,-136.50099829101563,156.80510170898438
5,162.671458333,-0.0527944444444,33.4978773669,-16.439,-16.4374,-153.236,3.083,4342.12,4989.58,4.99999738662,-0.358986653597,0.0830632632477,2.30517,5,-19.2516,3.171,0.92,3.1710000038146973,-136.7970008239746,-156.0486008239746
6,162.775916667,-0.0754472222222,69.3546634044,17.5513,17.5497,-119.179,1.962,4753.78,4804.75,4.99971929518,-0.752457445826,0.13453179532,4.01506,6,13.6403,2.283,0.95,2.2829999923706055,-136.73030004882813,-123.09000004882813
7,162.718291667,-0.0888444444444,81.8359401104,37.0677,37.0643,-99.7806,2.59,5031.47,5000.02,4.67904781211,-1.49719265391,0.39704908904,7.1791,7,33.6009,2.748,0.94,2.747999906539917,-136.84829943237304,-103.24739943237304
8,162.865958333,-0.122155555556,39.689926722,79.2788,79.2715,-57.4789,3.299,5973.17,4563.59,3.49928222886,-1.99873632792,0.398195938883,2.81396,8,74.4494,6.669,0.91,6.669000148773193,-136.75770096435548,-62.30830096435548
9,162.452333333,-0.0644194444444,64.986912745,0.5465,0.5465,-136.573,2.062,5095.07,5198.85,4.73188493061,-1.00000047912,0.210982822127,1.7981,9,-4.2624,3.359,0.95,3.3589999675750732,-137.11950002717973,-141.38190002717974
10,162.807208333,-0.142563888889,67.6073690337,0.0783,0.0783,-136.811,2.281,4502.41,4451.71,4.27754934516,-0.503591307774,0.0511769897898,2.7127,10,-5.5158,2.687,0.95,2.687000036239624,-136.88929999923707,-142.40509999923708
11,162.719875,-0.130566666667,85.8081284734,20.0263,20.0244,-116.944,1.68,5275.56,4759.59,4.24343469674,-1.18637814312,0.266244450883,3.33887,11,14.6516,2.242,0.96,2.242000102996826,-136.97030043029787,-122.31870043029787
12,162.770083333,-0.155405555556,41.0838762497,67.2633,67.2571,-69.7193,2.083,5016.0,4750.0,5.0,-2.0,0.4,2.1252,12,64.9897,4.377,0.93,4.376999855041504,-136.98259803466797,-71.99289803466797
13,162.639791667,-0.150758333333,35.6013764876,24.0097,24.0075,-113.126,3.386,4945.83,4999.83,3.89039607249,-0.909277662349,0.334925713899,1.87103,13,17.1965,3.802,0.93,3.802000045776367,-137.1357007751465,-119.93920077514649
14,162.799208333,-0.206036111111,58.8495727835,43.4465,43.4425,-93.6473,1.91,5130.89,5068.85,4.29431757381,-1.44373683324,0.399999928221,1.97726,14,38.0893,2.466,0.95,2.4660000801086426,-137.0937988708496,-99.0044988708496
15,162.724666667,-0.193847222222,62.7826693779,43.8249,43.8209,-93.3304,1.902,4364.86,4404.64,4.00000449353,-0.624067840214,0.0963322680788,3.068,15,38.6732,2.084,0.96,2.0840001106262207,-137.15530158081054,-98.48210158081054
