# RA         Dec           u             uerr            g              gerr             r               rerr            i               ierr            z               zerr      v      verr
10:09:14.95  +15:59:48.4  19.267515	0.026527	17.997324	0.006626	17.49456	0.0060037	17.261816	0.0064151	17.181866	0.011942   307    10
10:07:40.13  +16:03:09.7  21.08013	0.089418	19.965363	0.018666	19.550907	0.015681	19.4478	        0.018326	19.408895	0.052662   298	  10
10:06:59.01  +15:44:18.8  20.916262	0.087582	19.721201	0.013761	19.332644	0.013768	19.143881	0.016287	19.053816	0.04021    307	  10
10:06:51.80  +15:49:41.5  21.27927	0.122237	20.364634	0.021784	20.048532	0.024539	19.910931	0.030137	19.936848	0.088261   300	  10
10:06:19.95  +15:46:12.7  21.139296	0.104938	20.094162	0.0175	        19.785507 	0.018864	19.67874	0.024294	19.484928	0.056225   315	  10
10:06:12.02  +15:45:48.4  20.959642	0.092051	20.080185	0.038863	19.626076	0.017436	19.616327	0.022965	19.429129	0.053625   327	  10
10:05:30.59  +15:54:18.1  20.798431	0.071998	19.831228	0.016837	19.493195	0.015005	19.314478	0.017076	19.264549	0.046868   305	  10
10:06:27.73  +15:54:08.6  21.122913	0.091841	20.154507	0.021311	19.88018	0.019666	19.71102	0.022538	19.659109	0.064634   300	  10
10:06:47.74  +16:13:30.1  21.078011	0.128565	20.010553	0.018548	19.704443	0.020615	19.515505	0.021627	19.439434	0.068233   300	  10
10:06:58.49  +16:20:45.6  20.703295	0.078632	19.839504	0.01611	        19.379366	0.014496	19.186892	0.014052	19.074909	0.040375   295	  10
10:08:39.66  +16:28:26.7  20.301889	0.057829	19.168787	0.010927	18.738712	0.010015	18.608255	0.010176	18.619385	0.029349   288	  10
10:06:00.16  +16:05:18.6  21.289967	0.136288	20.219877	0.020862	19.688053	0.018455	19.51766	0.0215	        19.448315	0.068782   242    10
10:06:18.74  +16:03:39.0  23.771814	1.126614	21.678207	0.066309	21.146521	0.062847	20.906139	0.070894	20.911039	0.274846   268.6  3.1
10:06:19.99  +16:00:42.1  22.224203	0.227626	21.705114	0.068402	21.416658	0.061393	21.179821	0.069043	21.291924	0.240925   305.5  4.3
10:06:30.89  +16:15:12.1  22.563692	0.444731	21.47904	0.050849	21.131157	0.060691	20.951893	0.064753	20.848402	0.224781   321.0  8.8
10:06:42.76  +15:57:09.3  22.497597	0.280322	21.561983	0.061866	21.23246	0.05365	        21.028481	0.060921	21.67902	0.332467   291.9  6.4
10:06:46.78  +16:06:08.3  21.395306	0.160763	20.533529	0.026667	20.22126	0.030373	20.075766	0.032036	20.22505	0.133397   294.5  2.9 
10:06:48.52  +16:09:58.1  21.096699	0.129155	20.278608	0.023132	19.980135	0.02662	        19.797527	0.027557	19.746805	0.094356   306.0  2.6
10:06:50.83  +16:03:51.2  23.14847	0.453135	22.136465	0.102073	21.952347	0.099747	21.837799	0.117597	22.143761	0.431746   312.6  11.9
10:06:54.23  +15:55:20.7  23.16201	0.491068	22.127403	0.103474	21.532541	0.071553	21.29014	0.08117	        21.559805	0.324467   268.5  6.2
10:06:56.13  +16:06:60.0  22.764235	0.533604	21.346622	0.050791	21.098497	0.065359	20.993675	0.074216	20.717468	0.212862   302.0  2.6
10:06:58.54  +15:57:48.9  22.675203	0.352884	21.561676	0.068642	21.095598	0.053739	20.840418	0.059622	20.626114	0.165491   290.5  3.6
10:07:04.58  +16:01:30.8  21.738321	0.149606	21.229303	0.048831	20.813663	0.039577	20.762337	0.049945	21.131414	0.227198   295.8  3.9
10:07:04.63  +16:08:12.6  22.193066	0.336148	21.087708	0.041691	20.850828	0.050797	20.742685	0.061552	20.915659	0.246807   296.9  3.4
10:07:08.37  +15:56:46.3  23.340765	0.544172	22.038729	0.092679	21.56148	0.070533	21.458212	0.089018	21.827536	0.372354   286.3  5.4
10:07:09.07  +16:04:36.6  23.754787	0.709219	22.291521	0.115586	21.888956	0.092459	21.576212	0.094254	21.565392	0.300577   312.7  6.4
